Gene_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,2345195,167,1,2334792,0
0,5893,36,1,1,0
0,1174010,190,2,1168695,0
0,563694,143,1,556752,1
0,89016,118,1,78604,1
0,487135,85,1,478468,1
0,3341,191,2,3,0
0,5467,73,2,2,0
0,6015,148,2,103,1
0,6046,79,2,2,1
0,24830,102,1,14646,1
0,548110,154,1,541838,0
0,8611,117,1,3,0
0,940675,89,1,930293,1
1,566844,204,3,556376,0
0,94486,147,1,84056,1
0,19647,54,1,9304,1
0,1142692,88,2,1136952,1
0,17336,67,1,6891,1
1,6309,70,3,1,1
0,6144,62,1,3,0
0,818767,120,1,810066,0
0,252780,212,1,242332,0
1,6275,17,3,3,0
1,9243,23,3,3028,1
0,230403,211,1,222871,0
0,638425,173,1,628055,0
0,54812,5,1,50482,1
1,5690,78,3,3,0
0,6239,135,2,3,1
1,47046,57,3,36631,0
0,1352921,107,1,1342479,0
0,536745,47,1,531839,0
1,1415129,7,3,1406220,0
0,53597,31,1,43140,1
0,6877,30,1,2,0
0,82139,164,1,71676,1
1,571446,182,3,561022,1
0,97751,80,2,91272,1
1,40882,92,3,30431,1
0,64329,98,1,53935,0
0,19778,83,1,9420,0
0,409474,181,1,399029,1
0,501262,103,1,494255,0
0,1441553,106,1,1431102,0
0,796416,189,1,789632,0
0,18102,16,1,7759,0
0,635740,96,1,625292,0
0,29124,136,1,18715,1
0,510863,221,1,500484,0
0,347622,84,1,337195,0
1,8750,10,3,352,0
1,12299,146,3,2049,1
0,816094,66,1,805796,0
0,746001,145,1,735628,0
0,18044,37,1,13358,1
0,902706,95,1,892584,0
0,656937,157,1,646543,0
0,406298,26,1,400980,0
0,490459,111,1,480062,0
0,188433,128,1,178087,1
0,34480,144,1,24017,1
0,400877,71,2,396354,0
0,571102,15,1,563645,0
0,508446,160,1,497998,0
0,22907,1,2,17262,1
1,192236,129,3,185259,1
0,7036,196,1,1,1
0,1048694,137,1,1038261,0
1,14711,134,3,4479,1
0,5905,53,1,1,1
1,8139,179,3,1,1
1,15047,122,3,4680,1
0,610602,140,1,600223,0
0,46671,99,1,36289,1
0,138943,49,2,131411,0
0,682115,114,1,675892,0
0,656716,87,1,646334,0
0,56068,177,1,45617,0
0,2370774,165,1,2360422,0
0,107347,18,1,100946,1
1,364951,59,3,356759,1
1,79790,209,3,69342,1
0,698669,82,1,688299,0
0,545365,222,1,535076,0
0,7213,72,1,1,1
1,12287,132,3,1776,1
0,572820,184,1,566630,0
0,1301475,104,1,1291027,1
0,53674,205,1,43286,1
0,7785,139,2,1726,0
0,1049310,58,1,1038856,0
0,22220,224,1,11901,1
1,934030,203,3,926063,1
0,243214,169,1,232769,0
0,76316,29,2,71757,1
0,5029,28,2,2,1
0,780586,126,1,770171,0
0,12152,206,1,4158,1
0,102066,45,1,91621,1
0,19621,51,1,13649,1
0,72152,149,1,61794,1
0,600090,183,1,589645,1
1,9497,187,3,3,0
0,364064,56,1,353619,1
