EncodedProtein,OrthologId,GenomicEndPosition,GeneDbId,ChromosomeId,GenomicStartPosition
1,8,4281472,154,0,4280290
1,2,1618754,204,5,1617789
1,1,826843,176,2,825971
1,8,3392268,112,0,3391673
1,8,4574073,161,0,4573255
1,8,2360029,62,0,2359047
1,8,3986597,145,0,3986148
1,8,713930,3,0,712959
1,8,3076129,99,0,3075227
1,8,3654541,124,0,3653626
1,0,3130797,232,10,3129888
1,8,3178574,102,0,3177557
1,0,35088,222,10,34091
1,0,3096667,225,10,3095699
1,8,3293385,107,0,3292469
1,8,2379851,67,0,2378994
1,8,1218576,30,0,1217713
1,0,3100508,226,10,3099590
1,2,1606577,202,5,1605587
0,8,2949277,94,0,2948707
1,8,3635309,123,0,3634361
1,8,3791837,126,0,3791328
1,3,1722743,211,6,1721734
1,8,4357200,155,0,4356532
1,1,889564,180,2,888848
1,8,2321136,58,0,2320393
1,8,4672465,162,0,4671570
1,8,2564895,74,0,2563960
1,2,1569787,200,5,1568882
1,8,870727,11,0,869853
1,8,1251779,34,0,1250937
1,8,1214186,29,0,1213213
1,8,3630502,122,0,3629473
1,8,4396545,157,0,4395898
1,3,1730683,213,6,1729945
1,8,3946818,138,0,3946348
1,8,1799441,47,0,1798627
1,8,2819209,82,0,2818421
1,1,810302,172,2,809406
1,11,50281,183,3,49319
1,8,1474816,40,0,1474233
1,8,2723923,78,0,2723008
1,2,1630504,206,5,1629542
1,8,3487893,117,0,3486897
1,8,1198292,26,0,1197318
2,14,886301,179,2,885423
1,8,3605579,121,0,3604775
2,6,37246,192,4,36216
1,8,706356,1,0,705402
1,0,3166097,234,10,3165117
1,8,2837856,87,0,2836889
1,13,1527077,218,8,1526144
2,3,3289870,106,0,3288906
1,9,3289,221,9,2476
1,8,2831118,85,0,2830191
1,8,1289899,35,0,1288988
1,8,2277459,55,0,2276564
1,8,3856099,128,0,3855436
1,2,1535834,197,5,1534863
1,2,1623017,205,5,1622000
1,2,1599674,201,5,1598787
1,8,867371,10,0,866391
2,12,1610485,203,5,1609781
1,0,3162441,233,10,3161514
1,8,1209985,28,0,1208980
1,10,1066,189,4,97
1,8,750322,5,0,749314
1,8,3202332,104,0,3201416
1,8,1238650,32,0,1237682
1,5,38255,168,1,37374
1,8,3958817,141,0,3957831
1,1,813663,173,2,812738
1,4,2228516,216,7,2227599
1,8,3598785,119,0,3598376
1,8,2292995,56,0,2292070
1,8,3484725,116,0,3483913
1,8,3337829,108,0,3336940
2,3,4392476,156,0,4391482
1,8,817233,8,0,816237
1,8,2363229,63,0,2362303
1,0,3126460,231,10,3125490
1,8,2318302,57,0,2317439
1,8,1487516,42,0,1486532
1,2,1531659,196,5,1530673
1,8,3925106,134,0,3924162
1,8,1470924,39,0,1470038
1,8,3253701,105,0,3252689
1,0,3089002,223,10,3088123
1,8,3879177,131,0,3878232
1,8,1135405,23,0,1134492
1,0,3116397,228,10,3115586
2,3,2127533,52,0,2126698
1,8,2517420,72,0,2516791
1,11,46423,182,3,45432
1,11,121633,186,3,120728
1,8,1382865,38,0,1381870
1,2,1566639,199,5,1565667
2,16,1009605,171,1,1008886
1,13,1525569,217,8,1524684
1,1,822698,175,2,821677
1,8,967539,15,0,966566
1,8,1605990,43,0,1605094
1,8,2815583,81,0,2814647
1,0,3121885,230,10,3121014
2,3,1040606,18,0,1039800
1,1,835336,177,2,834360
1,8,3954615,140,0,3953625
1,8,1483126,41,0,1482386
1,10,63777,193,4,62796
1,8,3658680,125,0,3657775
1,8,4739055,166,0,4738454
1,10,1515860,194,4,1514896
1,3,1718127,210,6,1717211
1,8,745630,4,0,744707
1,8,2883682,92,0,2882695
1,8,1860672,49,0,1859648
1,8,3471297,113,0,3470331
1,8,710413,2,0,709282
1,8,3391129,111,0,3390208
1,8,2876969,90,0,2875871
1,8,1612962,45,0,1612027
1,8,3963135,142,0,3962225
1,8,2503866,70,0,2502987
1,11,38718,181,3,37728
1,8,1247370,33,0,1246604
2,3,963298,14,0,962347
1,8,813072,7,0,812093
1,8,4054409,149,0,4053370
1,1,817549,174,2,817059
2,3,1164370,24,0,1163401
1,8,2971478,95,0,2970900
1,8,2732709,79,0,2731745
1,8,2557700,73,0,2556763
1,8,3341774,109,0,3340903
1,8,1856079,48,0,1855124
1,4,1564,214,7,573
1,8,874894,12,0,873910
1,8,2719470,77,0,2718746
1,8,3983006,144,0,3982127
2,6,4163,190,4,3357
1,8,3475811,114,0,3474883
2,3,3883348,132,0,3882399
1,4,16470,215,7,15481
1,8,2121499,50,0,2120598
1,8,1649617,46,0,1648674
1,8,4092305,151,0,4092003
1,8,4698031,165,0,4697363
1,8,4674500,163,0,4674023
1,8,4045564,147,0,4044548
1,8,2241711,54,0,2240825
1,8,1609685,44,0,1608659
1,2,1643801,208,5,1642894
1,0,3092504,224,10,3091527
1,8,1084006,22,0,1083168
1,8,3949671,139,0,3948636
2,3,2510002,71,0,2509226
1,8,4769513,167,0,4768631
1,0,3120182,229,10,3119289
1,8,3851936,127,0,3851292
1,8,3344923,110,0,3344054
1,8,3871709,129,0,3870942
1,8,2834062,86,0,2833074
1,8,2604167,76,0,2603329
1,11,128626,188,3,127746
1,8,3193314,103,0,3192405
2,15,1531532,219,8,1530570
1,8,1080374,21,0,1079384
1,8,4685863,164,0,4685216
1,8,2368035,64,0,2367171
1,8,2930278,93,0,2929420
2,3,1195244,25,0,1194248
1,8,2844528,89,0,2843538
