MaintainingAuthority,AdministrativeArea,GoogleKnowledgeGraphId,InceptionDate,RoadType,ConnectingRoutes
4,16,124,18,3,118
4,16,126,2,3,19
4,23,182,18,3,60
4,5,119,6,3,14
4,17,111,18,3,111
4,20,159,3,3,90
4,20,104,15,3,110
4,12,56,18,3,43
1,6,238,4,3,2
4,20,220,15,3,13
4,8,236,2,3,49
4,8,217,6,3,19
4,10,5,2,3,60
4,17,57,18,3,69
4,20,112,15,3,107
4,12,174,18,3,41
4,20,78,18,3,64
4,0,200,9,3,14
4,20,68,18,0,19
4,20,235,18,3,11
4,13,175,2,3,5
4,23,0,16,3,36
4,5,188,2,3,11
4,22,15,2,3,19
4,18,170,18,3,19
4,12,158,2,3,19
4,20,199,18,3,104
4,13,149,2,3,77
4,20,152,18,3,19
4,20,1,18,1,19
4,20,98,18,3,50
4,13,80,2,3,103
4,23,189,18,3,112
4,20,53,15,3,70
4,16,47,2,3,76
4,20,137,18,3,26
4,0,95,2,3,29
4,16,86,2,3,73
4,13,102,18,3,5
4,23,91,18,3,112
4,12,71,18,3,42
4,17,11,18,3,106
4,20,40,18,3,26
4,19,201,8,3,118
4,20,165,2,3,19
4,18,83,18,3,107
4,20,21,18,3,66
4,20,234,18,3,19
4,21,238,18,4,19
4,0,232,2,3,27
4,20,222,3,3,57
4,18,190,2,3,53
4,20,65,2,3,114
4,17,19,18,3,0
4,20,115,2,3,19
