Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Genomic_Start_Position
0,795045,186,186,794215
0,587282,66,66,586959
1,3080,51,51,735
0,478396,132,132,477242
0,822273,208,208,821002
0,2334536,193,193,2334039
0,4194,214,214,3232
1,957,164,164,103
1,13228,190,190,10472
0,3052,53,53,605
0,640440,112,112,637990
1,963,72,72,103
0,216862,122,122,214952
1,360854,44,44,358083
0,9773,226,226,7086
1,346850,200,200,346512
1,56420,153,153,55923
1,23155,181,181,22973
0,663276,130,130,662509
1,1902,41,41,1699
0,17064,74,74,15238
0,250640,169,169,247890
1,944659,157,157,941918
0,23344,161,161,21104
1,40883,49,49,38052
1,557,86,86,3
0,1132750,113,113,1130948
1,45867,21,21,45670
0,2029693,136,136,2028950
0,821170,95,95,818471
0,805101,138,138,802591
1,15156,24,24,14362
1,66037,90,90,63011
0,7310,233,233,4494
0,586872,175,175,586129
1,10829,77,77,8487
1,182518,42,42,180932
1,207218,117,117,204852
0,2035,126,126,1445
0,870832,50,50,869711
