Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Genomic_Start_Position
1,807166,149,149,806492
1,874302,272,272,873739
1,281,8,8,3
0,16035,340,340,15472
1,311595,410,410,311224
1,6125,9,9,5631
0,582243,75,75,581596
0,1670681,27,27,1670067
0,544317,144,144,543658
0,285006,243,243,284026
0,482096,251,251,481446
0,16573,162,162,15977
0,1236,123,123,691
1,2152710,104,104,2152117
0,218124,163,163,217234
1,505974,292,292,505327
0,314714,121,121,314181
0,729959,94,94,729363
1,358436,275,275,358038
1,594102,229,229,593512
1,22696,71,71,22061
0,1261581,322,322,1260970
0,160801,401,401,160181
0,10872,102,102,10210
1,412598,277,277,411981
1,517192,291,291,516578
1,53893,304,304,53279
0,253563,285,285,252895
0,237931,283,283,237338
0,266589,174,174,265723
0,1078119,190,190,1077559
1,468817,294,294,467864
1,1243238,184,184,1242540
0,1176204,397,397,1175530
0,6197,385,385,5628
1,47042,78,78,46335
0,374682,40,40,374062
0,1420673,89,89,1420101
1,388432,192,192,388043
0,70633,57,57,70109
0,11230,372,372,10535
0,694973,305,305,694383
0,1677970,116,116,1677395
0,5761,373,373,5141
0,1886263,214,214,1885670
1,320021,420,420,319437
1,282372,171,171,281740
0,456160,319,319,455483
1,36542,383,383,35961
1,602338,318,318,601643
1,377041,361,361,376496
1,1142859,407,407,1142287
1,1481322,91,91,1480762
1,1306828,205,205,1306226
1,1739,5,5,1236
0,410649,138,138,410251
0,1587490,208,208,1586741
1,2442,282,282,1612
1,333597,422,422,332944
0,1411596,20,20,1410949
0,260483,175,175,259935
0,917604,271,271,916954
1,371048,274,274,370350
1,11470,45,45,11081
0,377176,139,139,376607
0,1943209,7,7,1942577
1,7470,266,266,6853
0,120884,33,33,120498
1,21243,13,13,20602
1,617680,230,230,617066
0,340144,411,411,339536
0,862102,239,239,861431
0,1875155,215,215,1874526
1,633183,231,231,632827
0,59685,47,47,58891
0,1611491,328,328,1610868
0,31626,355,355,31012
1,76266,276,276,75574
0,430625,11,11,430509
0,288480,173,173,287506
0,1187163,344,344,1186465
0,1200244,310,310,1199621
0,18926,388,388,18276
1,2115566,24,24,2114982
1,1109679,314,314,1109041
1,1559,49,49,987
0,413954,416,416,413337
1,159847,65,65,159101
1,1139142,313,313,1138561
1,462219,362,362,461563
1,1348,165,165,512
0,1344856,196,196,1344239
1,203566,68,68,203195
1,3660,193,193,3085
0,1001979,93,93,1001410
0,1671935,117,117,1671336
1,3008,160,160,2760
0,17644,346,346,17072
0,393310,278,278,392783
0,1025055,189,189,1024453
1,1654543,29,29,1654004
1,11006,12,12,10434
0,1840810,108,108,1840178
1,1182146,311,311,1181541
1,356421,429,429,355831
0,398667,246,246,398035
1,1235855,185,185,1235211
0,1806636,335,335,1806064
0,7249,51,51,6641
0,452612,279,279,451995
0,425782,137,137,425384
0,1121,1,1,531
1,725245,148,148,724664
0,7534,341,341,7151
0,14571,375,375,14272
0,244449,286,286,243556
0,622513,25,25,621803
0,261062,172,172,260553
0,253089,176,176,252442
0,305429,370,370,304515
0,690105,145,145,689434
1,26110,303,303,25487
0,55203,79,79,54550
1,6670,224,224,6140
0,467996,363,363,467418
0,1079,125,125,750
1,1784731,331,331,1784156
0,1392058,306,306,1391459
1,174019,63,63,173294
1,44727,393,393,44119
0,978860,273,273,978390
0,7294,259,259,6638
0,9111,129,129,8734
1,641578,81,81,640880
0,2852,15,15,2211
0,1610144,113,113,1609563
1,225709,67,67,225092
1,873,4,4,262
1,504309,425,425,503911
0,1707,376,376,1054
0,570400,73,73,569783
0,897457,270,270,896894
1,528985,290,290,528356
1,930600,240,240,929947
0,459742,247,247,459083
0,8892,374,374,8245
0,410431,179,179,409799
1,95645,62,62,95094
1,296809,419,419,296102
1,438791,31,31,438168
0,302673,242,242,302005
0,332148,409,409,331510
0,22912,56,56,22523
1,20624,72,72,19953
0,276224,133,133,275592
1,605996,236,236,605367
1,631273,155,155,630704
1,893116,237,237,892445
1,9993,32,32,9376
1,1448091,87,87,1447573
1,12594,195,195,11959
0,389569,245,245,388676
0,28027,42,42,27344
1,426818,134,134,426186
0,32545,260,260,31979
0,11424,39,39,10828
0,474095,352,352,473496
1,891600,269,269,891058
1,1570983,119,119,1570405
1,487260,199,199,486679
0,28680,127,127,27985
0,478938,100,100,478315
0,1109266,396,396,1108595
0,21792,343,343,21193
1,652493,234,234,651543
1,538452,143,143,537880
0,21840,227,227,21079
0,567898,122,122,567485
0,53116,395,395,52718
0,308712,368,368,308044
1,641268,232,232,640657
0,1591262,329,329,1590720
0,559332,141,141,558976
0,643220,197,197,642618
1,588625,154,154,587969
0,269583,418,418,268954
0,1591401,209,209,1590901
1,1060193,187,187,1059636
0,272757,178,178,271798
0,21892,337,337,21179
1,400683,54,54,400036
0,11825,43,43,11139
1,610947,365,365,610288
0,1183104,323,323,1182499
0,1871216,107,107,1870641
1,1100102,405,405,1099440
0,223254,287,287,222562
1,2130876,103,103,2130250
1,5418,228,228,4696
1,274287,170,170,273715
1,212591,428,428,211887
0,253619,168,168,252897
1,190891,64,64,190256
1,33533,389,389,32910
0,66227,299,299,65685
1,1038285,188,188,1037734
0,1299223,183,183,1298663
0,555039,76,76,554104
1,1790185,216,216,1789544
1,110877,152,152,110344
0,70385,296,296,69732
0,406686,135,135,406078
1,1894275,109,109,1893637
0,48963,356,356,48349
0,63431,61,61,62859
0,563485,92,92,563114
1,1947,14,14,1330
1,849658,22,22,849029
0,17246,264,264,16593
1,11667,257,257,10975
1,1192370,312,312,1191744
1,789660,147,147,789061
0,484940,353,353,484143
0,551183,223,223,550740
0,1665163,28,28,1664528
0,15815,359,359,15231
0,423275,201,201,422700
0,50225,394,394,49587
0,23909,360,360,23259
0,1935320,212,212,1934724
1,1439745,88,88,1439215
0,1646736,210,210,1646206
1,5356,348,348,4736
0,281837,177,177,281250
0,217404,21,21,216745
0,462632,136,136,462006
0,565167,380,380,564760
1,4939,6,6,4241
0,497547,249,249,496699
0,2159962,324,324,2159390
1,1722444,336,336,1721857
1,627125,83,83,626559
0,510533,430,430,509916
1,2103139,217,217,2102468
0,211634,417,417,211245
1,34921,265,265,34262
0,1578872,118,118,1578312
0,602022,158,158,601444
1,9539,194,194,8904
1,497850,293,293,497083
0,465000,351,351,464038
0,283286,423,423,282588
0,1863,41,41,1279
0,1337715,207,207,1337152
1,10499,37,37,10110
0,6256,128,128,5888
0,77237,58,58,76545
0,1685667,115,115,1685527
1,584282,131,131,583626
0,1212108,309,309,1211533
1,8071,391,391,7124
1,636879,156,156,636250
1,1357417,308,308,1356881
1,1413348,206,206,1412725
0,897652,238,238,897068
1,102031,0,0,101630
0,460277,280,280,459570
1,550961,288,288,550314
1,2082607,34,34,2081918
1,673589,182,182,672981
0,262590,284,284,261997
0,1069989,191,191,1069351
1,54130,398,398,53294
1,238595,169,169,237978
1,2039757,326,326,2039173
0,55031,263,263,54300
1,42738,390,390,42403
1,698962,95,95,698387
1,1037760,367,367,1037092
0,522585,431,431,522157
1,1653046,111,111,1652444
0,610905,153,153,610333
0,9693,358,358,9067
0,331967,150,150,331098
1,57983,60,60,57381
0,488252,248,248,487683
0,152203,400,400,151562
1,7816,166,166,6941
0,473006,250,250,472107
1,8984,253,253,8412
0,296422,241,241,295724
0,786,371,371,88
0,541203,101,101,540331
1,1896,252,252,1198
0,433446,202,202,432955
0,297265,220,220,296609
0,421453,415,415,420860
1,10738,161,161,10142
0,422988,180,180,422386
0,739582,268,268,738989
0,741926,198,198,741234
1,2021354,35,35,2020752
0,22510,52,52,21845
0,12963,339,339,12349
1,1279824,186,186,1279111
0,2141017,325,325,2140400
1,213605,69,69,212727
1,649380,233,233,648745
1,1773473,332,332,1772775
1,542828,289,289,542232
1,3185,159,159,2544
1,1094415,316,316,1093786
0,548259,140,140,547909
0,4704,225,225,4066
0,67780,413,413,67067
0,288418,219,219,287768
1,498188,427,427,497556
1,633393,80,80,632488
0,606832,84,84,606242
1,11303,48,48,10641
1,667099,3,3,666332
