Gene_Type,Gene_Description,Genomic_Start_Position,Strand_Orientation,Gene_Db_Id,Gene_Classification,Genomic_End_Position
1,0,1149578,1,180,1,1152001
0,0,1005114,1,206,0,1007699
0,0,1144757,1,168,0,1147282
0,0,694046,0,75,0,696919
0,0,1154469,0,236,0,1156973
0,0,218443,1,141,0,221070
0,0,460986,0,82,0,463778
0,0,8450,0,5,0,11062
0,0,1550629,1,182,0,1553361
0,0,278046,0,66,0,280853
0,0,543824,0,48,0,546370
0,0,396772,0,238,0,399549
0,0,54284,0,58,0,57145
0,0,814468,0,80,0,817323
1,0,405750,0,18,1,408107
0,0,57859,1,227,0,60414
0,0,985546,1,207,0,988200
0,0,5274,1,11,0,7898
0,0,242583,0,50,0,245264
0,0,2051,0,124,0,4732
0,0,18858,0,61,0,21506
0,0,20358,1,127,0,23129
0,0,425663,0,71,0,428401
0,0,948302,1,133,0,950785
0,0,31414,0,62,0,34218
0,0,2099463,1,103,0,2102129
0,0,12226,0,157,0,15093
0,0,1248512,0,181,0,1251196
0,0,350182,1,249,0,352788
0,0,563344,1,140,0,565683
0,0,7772,1,7,0,10603
0,0,211077,1,0,0,212927
0,0,1197396,0,193,0,1200167
0,0,649424,0,97,0,652210
0,0,8359,1,93,0,10893
0,0,2067,1,32,0,4709
0,0,116878,0,255,0,119436
0,0,11776,1,230,0,14331
0,0,1648582,1,13,0,1650945
0,0,4541,0,123,0,7054
0,0,453903,1,17,0,456596
0,0,942,1,211,0,3590
0,0,1814429,0,189,0,1816759
0,0,2008033,1,110,0,2010450
0,0,526820,1,176,0,529696
0,0,269451,0,67,0,272153
0,0,421607,1,68,0,423886
1,0,406415,1,139,1,408724
0,0,1187140,0,225,0,1189938
0,0,22858,0,10,0,25731
0,0,32438,0,53,0,35248
0,0,3,1,3,0,2099
0,0,864531,0,116,0,867065
0,0,457457,1,148,0,460231
0,0,2169063,1,183,0,2171498
0,0,780839,0,79,0,783613
0,0,32611,1,191,0,35322
0,0,504105,0,20,0,506933
0,0,38613,1,219,0,41459
0,0,581721,0,175,0,584285
0,0,402317,0,161,0,404953
0,0,13142,0,112,0,16042
1,0,571897,1,147,1,574686
0,0,594229,1,96,0,596823
1,0,69066,0,154,1,71558
0,0,1099539,0,226,0,1102343
0,0,553878,0,252,0,556640
0,0,20457,0,146,0,22835
0,0,62846,0,26,0,65602
0,0,318503,0,171,0,321121
0,0,313,1,87,0,3099
0,0,2198634,1,56,0,2201057
1,0,1879670,0,105,1,1882048
1,0,2062416,0,102,1,2065088
0,0,5538,1,144,0,8030
0,0,51787,1,29,0,54570
0,0,9926,1,229,0,12466
0,0,1743231,0,14,0,1745786
0,0,1179322,0,224,0,1181628
0,0,578836,1,95,0,580806
0,0,563163,1,85,0,565358
0,0,877992,1,134,0,880730
0,0,4482,1,94,0,7331
0,0,153649,1,35,0,156435
0,0,246272,1,74,0,249052
0,0,341906,1,15,0,344245
0,0,191840,1,248,0,194602
0,0,533287,0,256,0,536061
0,0,1848668,0,107,0,1851640
0,0,448496,1,69,0,450835
0,0,12235,0,22,0,14547
0,0,415123,0,137,0,417885
0,0,234584,1,73,0,237391
0,0,4884,0,24,0,7271
0,0,1541,0,2,0,3982
0,0,18763,1,155,0,21057
0,0,385492,0,239,0,388287
0,0,9187,0,42,0,11601
0,0,182502,0,25,0,185153
0,0,107374,0,228,0,110238
0,0,765323,0,78,0,768058
0,0,6039,1,215,0,8573
0,0,4757,1,4,0,7513
0,0,188965,1,115,0,191757
0,0,202903,1,246,0,205713
0,0,1406588,1,100,0,1409461
0,0,773208,1,131,0,775880
0,0,10087,1,240,0,12861
0,0,733043,0,129,0,735391
0,0,1728183,0,190,0,1731005
0,0,169443,0,231,0,171302
0,0,185057,1,247,0,187696
0,0,2178147,1,55,0,2180588
0,0,14579,1,39,0,17047
0,0,219359,0,178,0,222070
0,0,1166769,0,223,0,1169591
1,0,113,1,51,1,2776
0,0,932427,1,132,0,935144
0,0,5819,0,126,0,8596
0,0,22032,0,64,0,24923
1,0,39222,0,199,1,42017
1,0,1147775,1,192,1,1150558
0,0,662586,1,76,0,665447
1,0,274223,0,210,1,276688
1,0,394090,1,250,1,396615
0,0,378301,0,237,0,381075
1,0,2111357,0,54,1,2113696
1,0,253126,0,19,1,255561
0,0,19278,1,241,0,22052
0,0,196225,0,128,0,198843
0,0,761305,0,130,0,763632
0,0,418704,0,160,0,421319
0,0,164778,1,38,0,167573
0,0,9554,1,34,0,11536
1,0,595705,1,1,1,597333
