Gene_Type,Gene_Description,Genomic_Start_Position,Strand_Orientation,Gene_Db_Id,Gene_Classification,Genomic_End_Position
1,0,370655,1,230,1,372955
1,0,1202680,0,198,1,1204656
1,0,8994,1,143,1,11060
1,0,747,1,147,1,2096
0,0,2,0,5,0,1138
1,0,6340,1,103,1,8253
1,0,1186812,0,189,1,1189025
1,0,495853,0,102,1,496899
0,0,101,1,16,0,1474
0,0,1037046,0,77,0,1039862
0,0,17801,1,69,0,20107
0,0,11819,1,58,0,14203
0,0,389746,1,7,0,391932
0,0,1401,0,163,0,3932
0,0,914149,0,63,0,915393
0,0,243822,0,159,0,244454
0,0,393970,0,20,0,394758
0,0,572120,0,170,0,574603
1,0,2628,1,41,1,4883
1,0,517492,1,205,1,519612
0,0,781,0,165,0,2976
0,0,1157084,0,145,0,1159648
0,0,5259,1,53,0,7454
1,0,652312,1,76,1,654471
0,0,667,0,35,0,2907
0,0,2230,1,1,0,4593
0,0,1703299,1,90,0,1705791
0,0,921,1,129,0,3230
0,0,38,0,9,0,2152
0,0,505363,0,192,0,507624
1,0,456733,0,174,1,459000
1,0,121439,0,232,1,123424
1,0,803291,0,180,1,805063
0,0,535,1,42,0,3147
0,0,5362,0,55,0,7548
0,0,9210,0,110,0,11573
0,0,80040,1,4,0,81116
0,0,704929,0,48,0,707127
0,0,350539,1,201,0,351915
0,0,4843,1,23,0,6111
1,0,297915,1,227,1,299939
1,0,462621,1,167,1,464804
0,0,2,1,14,0,1036
1,0,760970,0,84,1,763015
1,0,545198,0,136,1,547726
0,0,17227,0,200,0,19404
0,0,50910,1,223,0,53099
0,0,2188577,1,89,0,2191081
1,0,50840,0,184,1,52834
1,0,11750,1,123,1,13918
1,0,16122,1,135,1,18062
1,0,434816,0,177,1,436942
1,0,32440,1,92,1,34512
0,0,3845,0,57,0,5683
1,0,1833030,0,208,1,1835456
1,0,729406,0,31,1,731499
0,0,479794,0,113,0,482055
1,0,86993,1,210,1,89110
0,0,90979,1,141,0,92121
0,0,5258,1,186,0,7735
0,0,2351474,0,132,0,2352753
1,0,2943,0,217,1,5117
0,0,119534,1,187,0,120751
0,0,7252,0,213,0,9642
0,0,26043,0,111,0,28514
0,0,101,1,87,0,1699
1,0,1570,0,18,1,3774
1,0,465892,0,39,1,468090
0,0,1680,1,164,0,3637
1,0,617003,0,206,1,619207
0,0,367785,0,61,0,369971
1,0,8418,1,27,1,10067
1,0,1,0,162,1,1108
0,0,1171,0,71,0,3468
0,0,1006986,0,78,0,1009265
0,0,558551,0,181,0,560608
0,0,26538,1,82,0,28523
0,0,386,1,25,0,2650
0,0,4559,1,185,0,6868
0,0,47909,1,190,0,50074
0,0,485538,0,30,0,487691
1,0,14941,1,108,1,17178
0,0,666635,0,134,0,669010
0,0,101,1,171,0,2335
0,0,1,1,168,0,798
1,0,1165567,0,146,1,1167843
0,0,140096,1,228,0,140815
1,0,16673,1,46,1,18493
0,0,3207,1,139,0,5471
0,0,3093,1,21,0,5333
0,0,57738,1,95,0,59387
0,0,476586,0,199,0,477141
0,0,3223,0,99,0,5583
1,0,40377,1,204,1,40877
1,0,634829,0,80,1,636865
0,0,178343,0,120,0,180595
0,0,3,0,13,0,827
1,0,119982,1,229,1,122003
0,0,14709,1,194,0,16433
1,0,33460,1,196,1,35613
1,0,14127,0,74,1,16106
0,0,192110,0,126,0,194620
0,0,84366,1,66,0,85349
0,0,301437,1,216,0,303473
0,0,701787,0,73,0,703891
0,0,4853,0,106,0,7225
0,0,2560,1,60,0,3201
0,0,14774,1,138,0,17152
0,0,40902,1,158,0,43304
0,0,49749,1,104,0,52112
0,0,313945,1,226,0,316113
0,0,1446,1,22,0,3704
1,0,10912,1,114,1,12933
1,0,58898,1,148,1,60946
1,0,1,0,19,1,1287
0,0,824,1,52,0,3133
0,0,21104,0,236,0,23314
0,0,16532,1,34,0,18709
1,0,410220,0,36,1,411395
0,0,64094,1,233,0,66424
1,0,466913,0,33,1,469090
0,0,1923,1,235,0,4184
0,0,752403,0,175,0,754574
0,0,313523,1,215,0,315631
1,0,478171,0,207,1,480279
1,0,607077,0,79,1,609383
0,0,375522,0,98,0,377705
0,0,398004,0,26,0,400277
0,0,702547,0,150,0,703107
1,0,367296,1,62,1,369509
0,0,3963,1,43,0,5540
0,0,525222,0,38,0,526037
0,0,112891,1,161,0,115059
1,0,26358,1,221,1,28472
1,0,754,1,211,1,3258
1,0,959689,0,156,1,961848
1,0,13717,1,179,1,16197
0,0,2,1,47,0,1669
1,0,397290,0,93,1,399311
0,0,644707,0,183,0,646569
1,0,24993,1,68,1,27218
0,0,2150273,0,191,0,2152465
1,0,3723,0,0,1,5726
1,0,1907460,1,131,1,1909430
0,0,1832923,0,67,0,1835184
0,0,24536,1,142,0,27070
0,0,309482,1,214,0,311650
0,0,4204,1,193,0,6765
0,2,1,1,59,0,1518
1,0,475453,0,153,1,477984
1,0,16912,1,105,1,19107
1,0,3,1,151,1,2336
1,0,466540,0,85,1,468765
0,0,1968,1,97,0,4334
0,0,68619,1,140,0,71096
0,0,907241,0,75,0,909502
1,0,1113876,0,155,1,1116077
1,0,60651,1,152,1,62927
0,0,55348,1,127,0,57522
0,0,3,0,15,0,1333
1,0,808763,0,212,1,811009
0,0,3,0,2,0,1475
0,0,470270,0,220,0,471716
0,0,2121408,0,88,0,2123600
1,0,667156,0,188,1,669243
1,0,250869,0,133,1,252998
0,0,5838,1,137,0,6479
0,0,66007,1,149,0,68193
