GeneSubclass,GeneDescription,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,GeneType,OrthologousGene,GenomicStartPosition,StrandOrientation,HostTaxon
0,0,1378834,3,6,5,0,34,1364903,0,0
0,0,639154,111,105,5,0,54,636371,0,7
0,0,1600122,30,30,0,0,1,1587397,0,2
0,0,529652,22,23,5,0,2,515655,1,2
0,0,731930,26,26,0,0,12,718563,1,2
0,0,695805,100,94,6,0,60,694381,1,7
0,0,164301,60,0,0,0,27,151603,1,5
0,0,964483,126,118,8,0,59,950707,0,9
0,0,410325,2,5,5,0,8,397522,0,0
0,0,510792,21,22,9,0,25,506053,1,2
0,0,916536,66,61,9,0,38,911647,0,6
0,0,173849,70,65,5,0,35,160050,1,6
0,0,70420,98,92,6,0,46,68651,0,8
0,0,560969,93,87,5,0,22,549849,1,8
0,0,85425,69,64,5,0,35,72727,1,6
0,0,1294761,63,58,5,0,13,1282333,0,6
0,0,634757,35,35,5,0,33,620481,0,3
0,0,792589,72,66,5,0,56,778640,0,6
0,0,876422,118,110,6,0,18,870384,0,7
0,0,581361,0,3,9,0,15,576625,1,0
0,0,834098,123,115,8,0,11,819223,0,9
1,0,550185,82,76,4,1,48,543043,0,8
0,0,74933,77,71,5,0,6,73406,0,8
0,0,1514650,18,19,5,0,45,1500713,0,1
0,0,1627490,19,20,5,0,5,1614765,0,1
0,0,581702,95,89,5,0,28,580836,0,8
0,0,381319,36,36,5,0,30,367262,0,3
0,0,233750,87,81,5,0,23,219942,1,8
0,0,231783,38,38,5,0,41,218968,1,3
0,0,2389547,104,98,5,0,40,2377083,0,7
0,0,644056,13,15,5,0,36,629783,0,1
0,0,638624,33,33,5,0,39,624630,1,3
0,0,1775289,40,40,0,0,0,1762564,0,3
0,0,709031,46,44,5,0,9,695619,1,4
0,0,4078385,105,99,9,0,58,4076808,0,7
0,0,669741,16,17,5,0,10,656374,1,1
0,0,391876,10,12,5,0,41,379364,0,0
0,0,381521,20,21,5,0,17,369003,0,1
0,0,69098,112,106,5,0,34,55130,0,7
0,0,707427,101,95,5,0,40,696322,1,7
0,0,715633,84,78,5,0,62,711587,1,8
0,0,2272990,67,62,5,0,38,2260532,0,6
0,0,1487406,29,29,5,0,1,1473469,0,2
0,0,957695,103,97,9,0,40,952806,0,7
0,0,910191,65,60,5,0,38,896215,0,6
0,0,580734,75,69,6,0,24,579673,0,8
0,0,3524450,53,52,5,0,25,3523044,1,5
0,0,951898,102,96,5,0,40,948374,0,7
0,0,1039784,27,27,4,0,3,1026768,0,2
0,0,324762,6,9,5,0,29,310609,0,0
0,0,305767,45,2,2,0,53,293630,0,4
0,0,636389,24,25,5,0,32,622116,0,2
0,0,231261,59,56,5,0,26,217342,0,5
0,0,1261917,109,103,5,0,57,1249471,0,7
0,0,304422,7,2,2,0,1,292291,0,0
0,0,731926,92,86,5,0,33,730488,1,8
0,0,217766,89,83,6,0,51,210390,1,8
0,0,718258,125,117,5,0,52,705344,1,9
0,0,579571,76,70,5,0,47,578176,0,8
0,0,553661,94,88,9,0,25,548838,1,8
0,0,1820,80,74,5,0,31,3,0,8
0,0,374703,31,31,5,0,49,362185,0,2
0,0,493101,52,51,5,0,25,482755,1,5
0,0,884467,119,111,6,0,18,876683,0,7
0,0,213239,74,68,6,0,42,212181,1,8
0,0,1098171,39,39,5,0,26,1085494,1,3
0,0,544581,91,85,5,0,31,539891,0,8
0,0,717905,88,82,6,0,13,712659,1,8
