GeneSubclass,GeneDescription,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,GeneType,OrthologousGene,GenomicStartPosition,StrandOrientation,HostTaxon
0,0,1294761,64,60,5,0,12,1282333,0,6
0,0,5454,74,69,6,0,6,1,1,8
0,0,3094462,98,93,5,0,59,3081740,0,7
0,0,4078385,103,98,9,0,57,4076808,0,7
0,0,157361,69,65,5,0,40,143442,0,6
1,0,139548,94,89,4,1,5,137248,1,8
0,0,3193108,128,121,8,0,51,3180295,0,9
0,0,1378834,3,6,5,0,33,1364903,0,0
0,0,635517,110,105,6,0,53,626020,0,7
0,0,1600122,30,30,0,0,2,1587397,0,2
0,0,529652,22,23,5,0,3,515655,1,2
0,0,731930,26,26,0,0,11,718563,1,2
0,0,1261917,109,104,5,0,56,1249471,0,7
0,0,164301,60,0,0,0,26,151603,1,5
0,0,964483,126,119,8,0,58,950707,0,9
0,0,410325,2,5,5,0,7,397522,0,0
0,0,510792,21,22,9,0,24,506053,1,2
0,0,910191,67,63,5,0,37,896215,0,6
0,0,85425,70,66,5,0,34,72727,1,6
0,1,75479,95,90,5,0,49,74337,0,8
0,0,6427643,106,101,10,0,2,6425472,0,7
0,0,614264,42,42,5,0,13,599991,0,4
0,0,1580859,50,49,5,0,20,1568134,0,4
0,0,634757,35,35,5,0,32,620481,0,3
0,0,199249,72,2,2,0,44,186911,1,6
0,0,210224,117,2,3,0,39,202224,1,7
0,0,581361,0,3,9,0,14,576625,1,0
0,0,834098,123,116,8,0,10,819223,0,9
1,0,550185,81,76,4,1,47,543043,0,8
0,0,73304,77,72,5,0,18,72098,0,8
0,0,1514650,18,19,5,0,45,1500713,0,1
0,0,1627490,19,20,5,0,6,1614765,0,1
0,0,581702,93,88,5,0,27,580836,0,8
0,0,381319,36,36,5,0,29,367262,0,3
0,0,233750,86,81,5,0,22,219942,1,8
0,0,231783,38,38,5,0,41,218968,1,3
0,0,957695,102,97,9,0,40,952806,0,7
0,0,644056,13,15,5,0,35,629783,0,1
0,0,638624,33,33,5,0,39,624630,1,3
0,0,1775289,40,40,0,0,1,1762564,0,3
0,0,305767,44,2,2,0,52,293630,0,4
0,0,884467,119,112,6,0,17,876683,0,7
0,0,669741,16,17,5,0,9,656374,1,1
0,0,391876,10,12,5,0,41,379364,0,0
0,0,381521,20,21,5,0,16,369003,0,1
0,0,639154,111,106,5,0,53,636371,0,7
0,0,695805,99,94,6,0,59,694381,1,7
0,0,715633,83,78,5,0,61,711587,1,8
0,0,916536,68,64,9,0,37,911647,0,6
0,0,1487406,29,29,5,0,2,1473469,0,2
0,0,951898,101,96,5,0,40,948374,0,7
0,0,685191,66,62,5,0,37,672268,1,6
0,0,580734,76,71,6,0,23,579673,0,8
0,0,493101,52,52,5,0,24,482755,1,5
0,0,948248,100,95,6,0,59,945084,0,7
0,0,1039784,27,27,4,0,4,1026768,0,2
0,0,324762,6,9,5,0,28,310609,0,0
0,0,370561,43,43,5,0,21,356453,0,4
0,0,636389,24,25,5,0,31,622116,0,2
0,0,231261,59,57,5,0,25,217342,0,5
0,0,2983364,65,61,5,0,38,2970636,0,6
0,0,304422,7,2,2,0,2,292291,0,0
0,0,731926,91,86,5,0,32,730488,1,8
0,0,217766,88,83,6,0,50,210390,1,8
0,0,718258,125,118,5,0,51,705344,1,9
0,0,224159,82,77,5,0,31,211680,0,8
0,0,4445734,104,99,6,0,57,4440768,0,7
0,0,1820,79,74,5,0,30,3,0,8
0,0,374703,31,31,5,0,48,362185,0,2
0,0,482385,51,51,5,0,24,480673,1,5
0,0,876422,118,111,6,0,17,870384,0,7
0,0,213239,75,70,6,0,42,212181,1,8
0,0,1098171,39,39,5,0,25,1085494,1,3
0,0,544581,90,85,5,0,30,539891,0,8
0,0,717905,87,82,6,0,12,712659,1,8
