GENDER,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,SOCIAL_MEDIA_FOLLOWERS,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_NAME,MEMOIRE_DU_CYCLISME_CYCLIST_ID,BIOGRAPHY,NATIONALITY,SPORT_TYPE,BIRTH_PLACE,UCI_RIDER_ID,LANGUAGES,PROFESSION,WEIGHT_KG,BIRTH_DATE,OLYMPEDIA_PEOPLE_ID,LAST_NAME,FIRST_NAME,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,EVENTS_PARTICIPATED,HEIGHT_CM,FREEBASE_ID,SPORT_COUNTRY
1,12,,31634.0,5,,262718.0,5,,14,3,3,28,112281.0,4,1,,34,,4,5,170457.0,57961.0,12,184.0,27,9
1,0,28095.0,12823.0,33,,137337.0,34,45429.0,0,0,5,0,58891.0,3,2,71.0,14,123794.0,9,32,34412.0,2322.0,17,182.0,12,0
1,19,48143.0,21971.0,19,205449.0,168754.0,20,,10,8,1,14,79462.0,7,0,,31,145562.0,40,18,64280.0,16672.0,14,184.0,26,8
1,32,49272.0,17881.0,31,13864.0,140294.0,31,55349.0,27,13,3,9,76092.0,0,1,56.0,13,,6,29,38092.0,4863.0,17,169.0,24,13
1,6,69634.0,26526.0,35,5000.0,194619.0,36,,22,11,3,15,149727.0,10,1,66.0,37,146565.0,26,34,115790.0,45992.0,13,176.0,27,11
1,2,47885.0,18123.0,21,21399.0,139801.0,22,55661.0,7,7,3,40,68832.0,7,1,71.0,19,1303133.0,35,20,58401.0,6309.0,17,179.0,2,3
1,15,43387.0,14321.0,15,,140505.0,13,54516.0,29,13,3,25,422366.0,0,1,60.0,8,133661.0,18,14,24864.0,2977.0,4,173.0,22,13
1,33,71935.0,28298.0,2,,192457.0,2,,16,5,3,4,98774.0,6,1,66.0,38,,8,2,114071.0,45987.0,14,176.0,27,6
1,28,41892.0,19165.0,24,16935.0,137797.0,25,,11,8,1,39,66315.0,7,1,73.0,22,,34,23,43238.0,11313.0,9,184.0,3,9
1,35,57346.0,21244.0,36,17154.0,153344.0,37,65966.0,1,1,3,10,77502.0,7,1,72.0,27,141008.0,3,35,59352.0,16786.0,9,190.0,27,1
0,25,39004.0,,30,47028.0,138497.0,30,65024.0,12,3,2,30,66298.0,4,1,,20,125024.0,11,28,60878.0,89540.0,2,,23,9
1,6,69634.0,26526.0,35,5000.0,194619.0,36,,22,11,3,15,149727.0,10,1,66.0,37,146565.0,26,34,115790.0,45992.0,13,176.0,27,11
