Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Orthologous_Gene,Genomic_Start_Position
0,63431,61,61,126,62859
0,563485,92,92,18,563114
1,1947,15,15,140,1330
1,849658,22,22,122,849029
0,17246,265,265,43,16593
1,11667,258,258,43,10975
1,1192370,313,313,160,1191744
1,789660,147,147,58,789061
0,484940,354,354,51,484143
0,551183,224,224,161,550740
0,1665163,28,28,150,1664528
0,15815,360,360,50,15231
0,423275,201,201,5,422700
0,50225,395,395,101,49587
0,23909,361,361,141,23259
0,1935320,213,213,122,1934724
1,1439745,88,88,57,1439215
0,1646736,211,211,19,1646206
1,5356,349,349,134,4736
0,281837,177,177,99,281250
0,217404,21,21,23,216745
0,431207,426,426,144,430704
0,565167,381,381,80,564760
1,4939,6,6,1,4241
0,497547,250,250,23,496699
0,2159962,325,325,70,2159390
1,1722444,337,337,21,1721857
1,627125,83,83,170,626559
1,636879,156,156,128,636250
1,2103139,218,218,57,2102468
0,211634,418,418,8,211245
1,34921,266,266,126,34262
0,1578872,118,118,17,1578312
0,596495,157,157,135,595866
1,9539,194,194,94,8904
1,497850,294,294,43,497083
0,465000,352,352,2,464038
0,283286,424,424,135,282588
0,1863,41,41,130,1279
0,1337715,208,208,30,1337152
1,10499,37,37,93,10110
0,6256,128,128,130,5888
0,77237,58,58,130,76545
0,1685667,115,115,160,1685527
1,584282,131,131,6,583626
0,1212108,310,310,17,1211533
1,8071,392,392,86,7124
1,631273,155,155,97,630704
1,1357417,309,309,146,1356881
1,1413348,207,207,13,1412725
0,897652,239,239,163,897068
1,102031,0,0,103,101630
0,460277,281,281,57,459570
1,550961,289,289,15,550314
1,2082607,34,34,57,2081918
1,673589,182,182,12,672981
0,262590,285,285,131,261997
0,1069989,191,191,57,1069351
1,54130,399,399,52,53294
1,238595,169,169,31,237978
1,2039757,327,327,169,2039173
0,55031,264,264,130,54300
1,42738,391,391,86,42403
1,698962,95,95,96,698387
1,1037760,368,368,168,1037092
0,510533,431,431,44,509916
1,1653046,111,111,57,1652444
0,602022,158,158,144,601444
0,9693,359,359,141,9067
0,331967,150,150,133,331098
1,57983,60,60,130,57381
0,488252,249,249,131,487683
0,152203,401,401,91,151562
1,7816,166,166,126,6941
0,473006,251,251,133,472107
1,8984,254,254,76,8412
0,296422,242,242,133,295724
0,786,372,372,35,88
0,521226,205,205,112,520573
1,1896,253,253,76,1198
0,433446,202,202,5,432955
0,297265,221,221,157,296609
0,421453,416,416,160,420860
1,10738,161,161,130,10142
0,422988,180,180,63,422386
0,739582,269,269,70,738989
0,741926,198,198,46,741234
1,2021354,35,35,17,2020752
0,22510,52,52,157,21845
0,12963,340,340,53,12349
1,1279824,186,186,17,1279111
0,2141017,326,326,48,2140400
1,213605,69,69,47,212727
1,649380,234,234,6,648745
1,1773473,333,333,120,1772775
1,542828,290,290,6,542232
1,3185,159,159,126,2544
1,1094415,317,317,57,1093786
0,548259,140,140,72,547909
0,4704,226,226,126,4066
0,67780,414,414,31,67067
0,288418,220,220,110,287768
1,498188,429,429,68,497556
1,633393,80,80,59,632488
0,606832,84,84,48,606242
1,11303,48,48,76,10641
1,667099,3,3,6,666332
