StrandOrientation,OrthologId,GenomicEndPosition,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition
1,97,6217,319,1,13,3602
0,18,265804,203,1,10,263906
0,5,496864,170,0,6,494066
1,148,1709527,109,1,58,1707056
0,122,905310,39,1,44,902803
1,30,5025,157,1,126,2677
0,106,474181,193,1,4,471830
1,117,20670,140,0,124,18052
0,146,1434052,154,0,51,1432280
0,131,2327020,265,1,57,2324351
1,107,30617,150,1,65,28410
0,55,791878,122,0,35,790079
1,2,10460,79,1,110,8049
0,7,764760,204,0,29,762982
1,26,21822,317,1,13,18838
0,99,411543,245,1,29,408877
0,44,706189,15,1,27,704129
0,185,496021,27,1,1,493463
1,26,145152,315,1,13,142906
1,171,4421,32,0,75,3684
1,102,117865,211,0,2,115973
1,28,19013,46,1,34,16263
1,21,174847,195,1,9,172793
1,4,8963,176,1,130,6399
0,164,6840,285,0,145,3826
1,150,34372,2,0,49,33320
1,139,110366,250,1,63,107442
0,41,7278,98,1,115,4399
1,177,67475,297,0,55,65139
0,39,1140600,197,0,45,1138639
0,33,1174681,78,1,47,1172813
1,49,1443,20,1,70,1
1,98,7112,283,0,144,4374
1,13,1113039,296,1,57,1110685
1,80,7245,290,1,146,4687
1,81,12451,175,1,129,9695
0,68,2274,51,0,77,1
1,85,2194888,108,1,58,2192474
1,135,16715,188,1,45,14439
0,181,750304,209,0,35,747923
0,43,214887,306,1,9,212992
1,13,44770,26,1,49,42977
1,22,56555,323,1,41,54387
1,78,18751,111,1,83,16475
0,131,2149200,267,1,57,2146741
1,64,13820,29,0,23,12766
0,8,645301,277,0,11,642806
1,81,19819,124,1,0,16985
0,8,392186,224,0,11,389424
1,24,58458,116,0,16,55432
0,116,447897,286,0,45,446350
0,105,598524,95,0,7,596251
1,148,342240,153,1,58,339421
0,176,130785,106,1,18,128263
0,125,2892,68,1,105,97
0,20,478312,10,0,11,477440
0,31,46833,77,1,109,44356
0,85,670094,37,1,58,667467
0,144,2028848,179,0,55,2027736
1,27,68416,263,1,2,66416
0,94,4460,129,1,86,2295
0,0,655728,168,0,17,653962
0,108,201254,158,1,59,198909
1,52,4289,171,1,36,3018
1,63,3538,292,1,97,857
0,147,12394,304,1,149,9605
0,6,396132,246,1,29,393928
1,129,14564,61,1,80,12819
1,185,39476,270,0,142,36720
0,101,13956,215,1,89,10954
1,87,68621,192,1,56,67503
0,96,390438,239,0,12,389477
1,5,5678,130,1,121,4257
0,156,458839,17,1,11,457553
0,69,825842,311,1,38,823350
1,110,38223,31,0,41,36197
0,155,968,8,0,152,3
1,102,11541,325,1,41,8509
1,181,12865,289,0,37,9965
0,12,606712,238,0,12,603989
1,121,79885,230,1,11,77750
1,151,2982,72,1,108,445
1,163,22938,88,1,55,21226
0,131,1573917,166,1,57,1571158
0,42,531490,33,0,3,528650
0,25,4734,125,0,85,2191
0,181,729858,202,0,35,727477
0,100,367390,216,0,61,364778
0,57,966472,30,0,42,963723
0,88,18183,234,0,138,15433
0,37,4073,5,1,68,1218
1,50,15577,71,1,107,12521
0,13,2071578,164,1,57,2068987
0,124,27589,110,1,82,25172
1,73,22430,44,1,32,19944
1,9,181574,314,1,28,180063
0,127,801320,82,1,32,798915
1,77,11142,113,0,119,8839
0,92,16034,127,1,22,13233
1,79,10610,173,1,128,8169
0,51,553364,251,0,17,550602
0,72,16963,49,1,99,14936
0,150,1171911,148,0,48,1168945
0,15,585311,228,1,26,582390
0,34,1820,9,1,154,189
0,46,485801,34,1,3,483723
1,22,26744,324,1,41,24147
1,110,71684,295,1,15,69120
1,64,22871,4,0,23,21810
0,148,2325261,42,1,58,2323705
0,70,10910,91,1,112,8910
0,126,663320,260,0,22,660522
