GeneClassification,OrthologId,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
1,14,353345,137,137,1,58,350952,0
1,139,16574,221,221,1,137,14088,1
1,70,2693,280,280,1,98,396,0
1,14,44770,25,25,1,50,42977,1
0,2,3597,233,233,0,139,1834,0
1,102,5794,134,134,1,122,3014,0
0,0,655728,167,167,0,18,653962,0
0,134,33262,308,308,0,44,31331,1
0,54,791878,120,120,0,37,790079,0
1,175,760085,242,242,1,33,757590,0
0,126,1852491,172,172,0,54,1847980,0
1,178,130785,104,104,1,20,128263,0
1,76,122539,189,189,1,14,120197,1
0,118,594892,225,225,0,28,591674,0
0,52,571445,197,197,0,21,567813,0
1,112,690966,178,178,1,32,687994,0
1,77,18751,109,109,1,84,16475,1
1,74,582823,21,21,1,21,581135,0
0,179,67475,296,296,0,56,65139,1
1,76,25743,229,229,1,14,24748,1
1,107,71114,194,194,1,4,69705,1
0,119,103187,323,323,0,9,101616,0
0,60,702008,179,179,0,32,700188,0
1,16,585311,226,226,1,28,582390,0
1,151,2325261,42,42,1,59,2323705,0
1,130,491613,132,132,1,41,488857,1
1,19,12191,230,230,1,14,9909,1
1,132,7825,90,90,1,115,5795,0
1,121,59561,139,139,1,50,57681,1
0,106,4036,63,63,0,67,1289,1
1,66,3158,253,253,1,95,408,1
0,149,1434052,153,153,0,52,1432280,0
1,82,29749,160,160,1,29,26915,1
1,175,430057,184,184,1,33,427406,0
1,69,10910,88,88,1,114,8910,0
0,162,30562,278,278,0,18,28739,1
0,2,4524,239,239,0,140,2574,0
0,58,4216,131,131,0,47,1460,1
0,86,19758,183,183,0,134,17038,0
1,2,10460,76,76,1,112,8049,1
1,81,28755,102,102,1,117,25951,1
1,127,2892,67,67,1,108,97,0
1,136,912033,72,72,1,41,909235,0
1,172,15683,255,255,1,97,12888,0
1,108,30617,148,148,1,66,28410,1
0,41,75311,149,149,0,65,73533,1
1,131,14564,60,60,1,81,12819,1
1,43,706189,14,14,1,29,704129,0
0,150,120500,322,322,0,9,118605,0
1,162,26060,258,258,1,2,23298,1
0,130,201879,299,299,0,61,200095,0
0,156,8589,29,29,0,42,6541,1
0,65,1385359,152,152,0,52,1383590,0
1,8,688837,87,87,1,26,685982,0
0,166,54516,93,93,0,41,53479,1
1,48,1443,19,19,1,71,1,1
1,109,201254,157,157,1,60,198909,0
1,85,670094,37,37,1,59,667467,0
1,91,628364,99,99,1,27,625434,0
0,161,3779,181,181,0,132,1517,0
0,16,61849,46,46,0,65,60071,1
1,51,4799,270,270,1,143,2103,0
1,107,7313,234,234,1,139,4734,0
0,152,19476,158,158,0,127,17815,1
1,176,7957,141,141,1,125,5381,0
1,22,829858,118,118,1,37,827087,0
1,14,2071578,163,163,1,58,2068987,0
1,100,411543,243,243,1,31,408877,0
1,1,848494,161,161,1,35,847454,0
1,170,8756,144,144,1,45,5919,1
0,17,169188,306,306,0,44,166855,1
1,177,16396,294,294,1,148,13598,0
1,80,492103,127,127,1,0,489575,0
1,11,14953,302,302,1,53,12005,1
0,39,427483,287,287,0,46,425420,0
1,91,570499,250,250,1,27,567725,0
0,164,36437,101,101,0,117,35517,1
1,88,68621,190,190,1,57,67503,1
1,107,245943,61,61,1,4,244298,0
1,37,556405,238,238,1,28,554000,1
0,63,9141,219,219,0,136,8410,0
1,156,873816,170,170,1,52,871123,0
0,129,20605,214,214,0,92,20087,0
1,85,2350211,166,166,1,59,2347587,0
1,175,14712,220,220,1,93,11650,0
1,56,14455,89,89,1,114,11690,0
0,157,1137976,135,135,0,57,1133828,0
1,82,96498,207,207,1,29,94816,1
1,111,83774,186,186,1,15,82602,1
1,61,3538,292,292,1,100,857,1
1,141,483389,320,320,1,5,481422,0
0,179,85945,309,309,0,16,83153,1
1,39,6970,58,58,1,105,4526,0
0,62,22871,4,4,0,25,21810,1
0,86,2258,47,47,0,102,3,1
0,106,728090,36,36,0,30,725151,0
0,26,1739,12,12,0,72,3,1
0,119,258722,217,217,0,9,256827,0
0,49,10587,180,180,0,131,8119,1
1,27,145152,315,315,1,13,142906,1
1,103,572075,300,300,1,17,569139,0
0,147,2028848,177,177,0,56,2027736,0
1,47,33122,281,281,1,42,30594,1
1,22,690828,274,274,1,37,688522,0
0,138,45706,259,259,0,2,43370,1
1,13,588116,3,3,1,8,586977,0
0,144,4613,116,116,0,5,1626,1
0,182,12865,289,289,0,39,9965,1
1,112,4342,81,81,1,32,1385,1
1,46,9360,254,254,1,96,6577,0
0,101,367390,215,215,0,62,364778,0
0,136,25602,133,133,0,51,22921,1
0,96,563158,321,321,0,21,560651,0
0,67,467624,169,169,0,11,464685,0
0,156,2010044,11,11,0,56,2009265,0
0,90,1225,52,52,0,79,1,1
1,29,9553,111,111,1,85,7784,0
1,130,33240,54,54,1,41,30436,1
1,42,197559,192,192,1,9,195199,1
1,153,2762,130,130,1,89,822,0
0,117,447897,285,285,0,46,446350,0
1,57,36839,205,205,1,65,34572,1
1,14,1721524,41,41,1,58,1718519,1
0,66,21702,59,59,0,106,18811,0
1,80,517997,129,129,1,0,514713,0
1,133,1984663,164,164,1,58,1981777,0
1,8,4543,136,136,1,123,1706,1
1,93,16034,124,124,1,24,13233,0
1,146,1133115,269,269,1,52,1130755,1
0,55,1973,1,1,0,153,3,1
1,35,1174681,75,75,1,48,1172813,0
0,105,3158,6,6,0,40,342,1
1,146,648458,159,159,1,22,645735,0
1,135,28068,64,64,1,67,25282,1
0,153,1171911,146,146,0,49,1168945,0
0,3,2772,318,318,0,13,301,1
1,19,265804,200,200,1,10,263906,0
0,5,496864,168,168,0,6,494066,0
1,85,1626838,107,107,1,59,1624217,0
1,123,29971,143,143,1,45,27197,1
1,31,5025,156,156,1,126,2677,1
1,107,474181,191,191,1,4,471830,0
0,118,20670,138,138,0,124,18052,1
0,83,1430611,97,97,0,52,1429409,0
1,133,2149200,264,264,1,58,2146741,0
1,83,3014,94,94,1,66,228,1
0,182,750304,208,208,0,37,747923,0
1,32,46833,74,74,1,111,44356,0
1,100,754760,204,204,1,31,752910,0
1,98,6217,319,319,1,13,3602,1
1,6,396132,244,244,1,31,393928,0
1,82,128705,206,206,1,29,127131,1
1,185,496021,26,26,1,1,493463,0
1,27,56619,316,316,1,13,53854,1
1,106,1094,23,23,1,75,159,1
0,102,117865,210,210,0,2,115973,1
0,95,6529,155,155,0,36,4547,1
1,22,174847,193,193,1,9,172793,1
1,4,8963,175,175,1,130,6399,1
0,166,6840,284,284,0,145,3826,0
1,59,1175229,145,145,1,49,1172704,0
1,110,388046,38,38,1,63,385203,0
1,114,1182,91,91,1,116,1,1
1,165,22938,85,85,1,56,21226,1
1,138,1130391,196,196,1,46,1127446,0
1,35,11829,32,32,1,48,8980,1
1,171,4777,18,18,1,70,2027,1
0,99,7112,282,282,0,144,4374,1
1,14,1008775,188,188,1,58,1006142,0
1,79,7245,290,290,1,146,4687,1
1,80,12451,174,174,1,129,9695,1
1,72,2272,40,40,1,77,2,0
1,151,1767155,266,266,1,59,1764399,1
1,123,905310,39,39,1,45,902803,0
0,182,729858,199,199,0,37,727477,0
1,42,214887,305,305,1,9,212992,0
0,153,34372,2,2,0,50,33320,1
0,111,38223,30,30,0,43,36197,1
1,125,27589,108,108,1,83,25172,0
1,133,2120212,105,105,1,58,2117660,0
1,25,3783,84,84,1,25,1453,1
1,122,596370,276,276,1,11,593812,0
1,80,19819,121,121,1,0,16985,1
0,8,392186,223,223,0,11,389424,0
0,113,36463,115,115,0,16,33455,1
1,138,439193,286,286,1,46,435576,0
0,106,598524,92,92,0,7,596251,0
0,183,17724,293,293,0,59,14986,1
1,33,107280,48,48,1,19,104554,0
1,114,21022,62,62,1,107,18272,1
0,21,478312,10,10,0,11,477440,0
1,154,2982,70,70,1,110,445,1
1,151,342240,151,151,1,59,339421,1
1,158,2020967,176,176,1,56,2018517,0
1,28,68416,260,260,1,2,66416,1
0,84,1204,125,125,0,88,2,0
0,50,553364,249,249,0,18,550602,0
1,151,2360044,13,13,1,59,2358530,0
0,87,851849,119,119,0,37,849015,0
0,158,3713,283,283,0,99,2106,0
1,150,12394,303,303,1,149,9605,0
0,90,748745,35,35,0,30,745776,0
0,160,4567,55,55,0,80,1604,0
0,185,39476,268,268,0,142,36720,1
1,86,3790,209,209,1,91,806,0
1,124,58311,298,298,1,57,56848,1
0,8,645301,275,275,0,11,642806,0
1,5,5678,126,126,1,121,4257,1
1,159,458839,16,16,1,11,457553,0
0,44,811998,312,312,0,40,810235,0
1,23,26744,325,325,1,43,24147,1
0,158,968,8,8,0,152,3,0
1,47,905988,95,95,1,42,903148,0
1,116,9121,288,288,1,39,6152,1
1,8,582104,237,237,1,12,579438,0
1,122,79885,228,228,1,11,77750,1
1,49,15577,69,69,1,109,12521,1
0,78,169312,66,66,0,55,166550,0
1,14,1113039,295,295,1,58,1110685,1
0,41,531490,33,33,0,3,528650,0
1,41,15172,112,112,1,86,12569,0
1,104,710712,198,198,1,37,708220,0
1,115,351197,216,216,1,62,348939,0
1,23,56555,324,324,1,43,54387,1
0,89,18183,232,232,0,138,15433,0
0,64,31215,301,301,0,68,30121,1
1,41,4394,68,68,1,109,1644,1
1,133,2028531,265,265,1,58,2025571,0
1,58,11733,73,73,1,82,9154,0
0,145,4119,43,43,0,34,967,1
1,138,27235,147,147,1,30,24623,1
1,73,783456,79,79,1,34,780772,0
0,76,11142,110,110,0,119,8839,1
1,16,242630,117,117,1,23,239769,1
1,78,10610,171,171,1,128,8169,1
1,155,106204,279,279,1,18,104012,1
0,39,1981,297,297,0,101,2,0
1,59,9934,86,86,1,49,6965,1
1,37,577397,7,7,1,28,576201,0
1,36,1820,9,9,1,154,189,0
1,45,485801,34,34,1,3,483723,0
1,102,11541,326,326,1,43,8509,1
1,19,619021,150,150,1,14,617285,0
0,62,13820,28,28,0,25,12766,1
1,85,2194888,106,106,1,59,2192474,1
0,99,47207,80,80,0,113,45534,1
1,93,639965,256,256,1,24,637563,0
