Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
0,0,4829,255,4128,0
0,0,603114,236,602248,1
0,0,436400,10,435816,0
0,0,1148872,409,1148204,0
0,0,339516,222,338926,0
0,0,1581481,212,1580900,1
0,0,1081012,405,1080440,1
0,0,15668,343,15015,0
0,0,6518,302,5874,1
0,0,33001,18,32291,1
1,0,504309,427,503911,1
0,0,668902,146,668282,1
0,0,1995197,214,1994529,0
0,0,216763,321,216122,0
1,0,588625,154,587969,1
0,0,416038,382,415541,0
1,0,463493,99,462885,1
0,0,14001,393,13402,1
1,0,385637,19,384969,0
0,0,602338,319,601643,1
0,0,1845,388,1489,1
0,0,375081,120,374536,1
0,0,1473130,85,1472456,0
0,0,1134002,407,1133424,1
0,0,444695,30,444042,0
0,0,42175,385,41594,0
0,0,9261,126,8539,0
0,0,382637,55,382086,0
0,0,35038,301,34388,1
0,0,416102,245,415509,0
1,0,13194,348,12661,1
0,0,653543,82,652923,1
0,0,320021,422,319437,1
0,0,78452,298,77844,0
0,0,2893,383,2228,0
0,0,38888,77,38181,1
0,0,22995,303,22609,1
0,0,1066542,404,1065931,1
0,0,438865,350,438233,0
0,0,345916,151,345353,0
1,0,499409,365,498789,0
0,0,262228,36,261515,0
0,0,350824,413,350453,1
0,0,224418,164,223792,0
0,0,17055,46,16375,0
0,0,1049,282,204,1
0,0,807166,149,806492,1
1,0,874302,273,873739,1
0,0,281,8,3,1
0,0,16035,341,15472,0
0,0,311595,411,311224,1
0,0,6125,9,5631,1
0,0,582243,75,581596,0
0,0,1670681,27,1670067,0
1,0,544317,144,543658,0
0,0,285006,244,284026,0
0,0,482096,252,481446,0
0,0,16573,162,15977,0
0,0,1236,123,691,0
0,0,2152710,104,2152117,1
0,0,218124,163,217234,0
0,0,505974,293,505327,1
0,0,314714,121,314181,0
0,0,729959,94,729363,0
0,0,358436,276,358038,1
0,0,594102,230,593512,1
0,1,22696,71,22061,1
1,0,1261581,323,1260970,0
0,0,160801,402,160181,0
1,0,10872,102,10210,0
0,0,412598,278,411981,1
0,0,517192,292,516578,1
0,0,53893,305,53279,1
0,0,253563,286,252895,0
0,0,237931,284,237338,0
0,0,266589,174,265723,0
0,0,1078119,190,1077559,0
0,0,468817,295,467864,1
0,0,1243238,184,1242540,1
0,0,1176204,398,1175530,0
0,0,6197,386,5628,0
0,0,47042,78,46335,1
0,0,374682,40,374062,0
0,0,1420673,89,1420101,0
0,0,388432,192,388043,1
0,0,70633,57,70109,0
0,0,11230,373,10535,0
0,0,694973,306,694383,0
0,0,1677970,116,1677395,0
0,0,5761,374,5141,0
0,0,1886263,215,1885670,0
0,0,311313,421,310645,1
0,0,282372,171,281740,1
0,0,456160,320,455483,0
0,0,36542,384,35961,1
0,0,541203,101,540331,0
0,0,377041,362,376496,1
0,0,1142859,408,1142287,1
0,0,1481322,91,1480762,1
0,0,1306828,206,1306226,1
0,0,1739,5,1236,1
0,0,410649,138,410251,0
0,0,1587490,209,1586741,0
0,0,2442,283,1612,1
0,1,327963,423,327337,1
0,0,1411596,20,1410949,0
0,0,260483,175,259935,0
0,0,917604,272,916954,0
0,0,371048,275,370350,1
0,0,11470,45,11081,1
0,0,377176,139,376607,0
0,0,1943209,7,1942577,0
0,0,7470,267,6853,1
0,0,120884,33,120498,0
0,0,21243,13,20602,1
0,0,617680,231,617066,1
0,1,340144,412,339536,0
1,0,862102,240,861431,0
0,0,1875155,216,1874526,0
0,0,633183,232,632827,1
0,0,59685,47,58891,0
0,0,1611491,329,1610868,0
0,0,31626,356,31012,0
0,0,76266,277,75574,1
0,0,430625,11,430509,0
0,0,288480,173,287506,0
0,0,1187163,345,1186465,0
0,0,1200244,311,1199621,0
0,0,18926,389,18276,0
0,0,2115566,24,2114982,1
0,0,1109679,315,1109041,1
0,0,1559,49,987,1
0,0,413954,417,413337,0
0,0,159847,65,159101,1
0,0,1139142,314,1138561,1
0,0,462219,363,461563,1
0,0,1348,165,512,1
0,0,1344856,196,1344239,0
0,0,203566,68,203195,1
0,0,3660,193,3085,1
0,0,1001979,93,1001410,0
1,0,1671935,117,1671336,0
0,0,3008,160,2760,1
0,0,17644,347,17072,0
0,0,393310,279,392783,0
0,0,1025055,189,1024453,0
0,0,1654543,29,1654004,1
0,0,11006,12,10434,1
0,0,1840810,108,1840178,0
0,0,1182146,312,1181541,1
1,0,356421,430,355831,1
0,0,398667,247,398035,0
0,0,1235855,185,1235211,1
0,0,1806636,336,1806064,0
0,0,7249,51,6641,0
0,0,452612,280,451995,0
0,0,425782,137,425384,0
0,0,1121,1,531,0
0,0,725245,148,724664,1
0,0,7534,342,7151,0
0,0,14571,376,14272,0
0,0,244449,287,243556,0
0,0,622513,25,621803,0
0,0,261062,172,260553,0
0,0,253089,176,252442,0
0,0,305429,371,304515,0
1,0,690105,145,689434,0
0,0,26110,304,25487,1
0,0,55203,79,54550,0
0,0,6670,225,6140,1
0,0,467996,364,467418,0
0,0,1079,125,750,0
0,1,1784731,332,1784156,1
0,0,1392058,307,1391459,0
0,0,174019,63,173294,1
1,0,44727,394,44119,1
1,0,978860,274,978390,0
0,0,7294,260,6638,0
0,0,9111,129,8734,0
0,0,641578,81,640880,1
0,0,2852,15,2211,0
0,0,1610144,113,1609563,0
1,0,225709,67,225092,1
0,0,873,4,262,1
0,0,462632,136,462006,0
0,0,1707,377,1054,0
0,0,570400,73,569783,0
0,0,897457,271,896894,0
0,0,528985,291,528356,1
0,0,930600,241,929947,1
0,0,459742,248,459083,0
0,0,8892,375,8245,0
0,0,410431,179,409799,0
0,0,95645,62,95094,1
0,0,296809,420,296102,1
0,0,438791,31,438168,1
0,0,302673,243,302005,0
0,0,332148,410,331510,0
0,0,22912,56,22523,0
0,0,20624,72,19953,1
0,0,276224,133,275592,0
0,0,605996,237,605367,1
0,0,610905,153,610333,0
1,0,893116,238,892445,1
0,0,9993,32,9376,1
0,0,1448091,87,1447573,1
0,0,12594,195,11959,1
0,0,389569,246,388676,0
0,0,28027,42,27344,0
0,0,406686,135,406078,0
0,0,32545,261,31979,0
1,0,11424,39,10828,0
0,0,474095,353,473496,0
1,0,891600,270,891058,1
0,0,1570983,119,1570405,1
0,0,487260,199,486679,1
1,0,28680,127,27985,0
0,0,478938,100,478315,0
0,0,1109266,397,1108595,0
0,0,21792,344,21193,0
0,0,652493,235,651543,1
0,0,538452,143,537880,1
0,0,21840,228,21079,0
0,0,567898,122,567485,0
0,0,53116,396,52718,0
0,0,308712,369,308044,0
0,0,641268,233,640657,1
0,0,1591262,330,1590720,0
0,0,559332,141,558976,0
0,0,627298,98,626603,1
0,0,555039,428,554545,1
0,0,269583,419,268954,0
1,0,1591401,210,1590901,0
0,0,1060193,187,1059636,1
0,0,272757,178,271798,0
0,0,21892,338,21179,0
0,0,400683,54,400036,1
0,0,11825,43,11139,0
0,0,610947,366,610288,1
0,0,1183104,324,1182499,0
0,0,1871216,107,1870641,0
0,0,1100102,406,1099440,1
0,0,223254,288,222562,0
0,0,2130876,103,2130250,1
0,0,5418,229,4696,1
0,0,274287,170,273715,1
0,0,643220,197,642618,0
0,0,253619,168,252897,0
0,0,190891,64,190256,1
0,0,33533,390,32910,1
0,0,66227,300,65685,0
0,0,1038285,188,1037734,1
0,0,1299223,183,1298663,0
0,0,555039,76,554104,0
0,0,1790185,217,1789544,1
0,0,110877,152,110344,1
0,0,70385,297,69732,0
0,0,375323,425,374682,1
0,1,1894275,109,1893637,1
0,0,48963,357,48349,0
0,0,63431,61,62859,0
0,0,563485,92,563114,0
1,0,1947,14,1330,1
0,1,849658,22,849029,1
0,0,17246,265,16593,0
0,0,11667,258,10975,1
0,0,1192370,313,1191744,1
0,0,789660,147,789061,1
0,0,484940,354,484143,0
0,0,551183,224,550740,0
0,0,1665163,28,1664528,0
0,0,15815,360,15231,0
0,0,423275,201,422700,0
0,0,50225,395,49587,0
0,0,23909,361,23259,0
0,0,1935320,213,1934724,0
0,0,1439745,88,1439215,1
0,0,1646736,211,1646206,0
0,0,5356,349,4736,1
0,0,281837,177,281250,0
0,0,217404,21,216745,0
0,0,431207,426,430704,0
0,0,565167,381,564760,0
0,0,4939,6,4241,1
0,0,497547,250,496699,0
0,0,2159962,325,2159390,0
0,0,1722444,337,1721857,1
0,0,627125,83,626559,1
0,0,636879,156,636250,1
0,0,2103139,218,2102468,1
0,0,211634,418,211245,0
0,0,34921,266,34262,1
0,0,1578872,118,1578312,0
0,0,596495,157,595866,0
0,0,9539,194,8904,1
0,0,497850,294,497083,1
0,0,465000,352,464038,0
0,0,283286,424,282588,0
0,0,1863,41,1279,0
1,0,1337715,208,1337152,0
0,0,10499,37,10110,1
0,0,6256,128,5888,0
0,0,77237,58,76545,0
0,0,1685667,115,1685527,0
0,0,584282,131,583626,1
0,0,1212108,310,1211533,0
0,0,8071,392,7124,1
0,0,631273,155,630704,1
0,0,1357417,309,1356881,1
0,0,1413348,207,1412725,1
0,0,897652,239,897068,0
0,0,102031,0,101630,1
0,0,460277,281,459570,0
0,0,550961,289,550314,1
0,0,2082607,34,2081918,1
0,0,673589,182,672981,1
0,0,262590,285,261997,0
0,0,1069989,191,1069351,0
0,0,54130,399,53294,1
0,0,238595,169,237978,1
0,0,2039757,327,2039173,1
0,0,55031,264,54300,0
0,0,42738,391,42403,1
0,0,698962,95,698387,1
0,0,1037760,368,1037092,1
0,0,510533,431,509916,0
0,0,1653046,111,1652444,1
0,0,602022,158,601444,0
0,0,9693,359,9067,0
0,0,331967,150,331098,0
0,0,57983,60,57381,1
0,0,488252,249,487683,0
0,0,152203,401,151562,0
0,0,7816,166,6941,1
0,0,473006,251,472107,0
0,0,8984,254,8412,1
0,0,296422,242,295724,0
0,0,786,372,88,0
0,0,521226,205,520573,0
0,0,1896,253,1198,1
0,0,433446,202,432955,0
0,0,297265,221,296609,0
0,0,421453,416,420860,0
0,0,10738,161,10142,1
0,0,422988,180,422386,0
0,0,739582,269,738989,0
0,0,741926,198,741234,0
0,0,2021354,35,2020752,1
1,0,22510,52,21845,0
0,0,12963,340,12349,0
0,0,1279824,186,1279111,1
0,0,2141017,326,2140400,0
0,0,213605,69,212727,1
0,0,649380,234,648745,1
1,0,1773473,333,1772775,1
0,0,542828,290,542232,1
0,0,3185,159,2544,1
0,0,1094415,317,1093786,1
0,0,548259,140,547909,0
0,0,4704,226,4066,0
0,0,67780,414,67067,0
0,0,288418,220,287768,0
0,0,498188,429,497556,1
0,0,633393,80,632488,1
0,0,606832,84,606242,0
0,0,11303,48,10641,1
0,0,667099,3,666332,1
