StrandOrientation,GenomicEndPosition,GeneDbId,EncodedProtein,ChromosomeId,GenomicStartPosition
0,1588977,120,31,16,1588012
1,1147481,177,7,16,1146423
0,15379,219,11,77,14528
0,252454,176,3,3,251303
0,658646,89,11,13,657867
1,3650,147,6,64,2478
1,551759,87,2,13,550737
0,79682,167,28,12,78918
1,614,49,0,45,222
1,1921338,124,2,17,1920505
1,295086,99,2,11,293887
0,1173402,231,18,14,1172566
1,37248,165,23,71,35989
1,55904,32,2,26,55386
0,1887968,126,2,17,1886823
1,489292,86,2,4,488510
1,13082,111,0,59,12327
0,386514,174,22,14,385279
0,832741,210,22,13,831566
0,28969,25,1,39,28568
0,738,2,0,21,1
0,5008,9,11,24,4142
1,287088,98,2,11,285889
0,14090,62,22,47,12945
1,1026,225,0,78,841
0,1863,102,18,56,1015
1,2029082,19,22,18,2027874
0,497406,34,2,3,496306
0,251858,20,0,13,251211
1,1022329,213,18,13,1021526
0,23025,133,0,62,22318
1,1675,215,11,33,854
0,26635,163,34,71,25832
1,2151652,65,9,18,2150759
0,2155792,187,24,17,2155145
1,35179,42,2,12,34406
1,19523,45,23,27,18321
0,1687805,69,4,18,1687044
0,10624,94,32,51,9845
0,266241,141,11,14,265438
0,313431,83,11,13,312547
0,486743,57,14,1,485586
0,285745,81,11,13,284939
1,827468,209,2,13,826311
0,1047,1,25,20,259
1,323886,159,25,10,323095
0,18784,97,18,54,18002
1,997273,212,11,13,996476
0,305564,84,8,13,304740
1,13592,100,2,55,12324
1,30765,28,11,41,29968
0,445921,17,2,3,445157
1,941707,7,11,13,940901
0,12388,135,0,63,11468
1,269718,146,2,18,269074
1,65754,234,29,79,64810
1,1522877,182,25,16,1521903
1,17173,217,23,76,16040
0,13948,30,10,42,13148
0,387281,11,23,13,386064
0,290434,80,2,13,289571
1,975187,115,30,18,974237
0,1679298,71,25,18,1678525
0,6002,241,2,81,5043
1,1592913,73,34,18,1591840
0,663114,15,2,18,662260
1,432941,203,0,13,432381
0,277578,82,11,13,276769
1,4723,24,2,38,4340
1,23810,58,22,46,22572
0,402463,85,21,4,401243
0,2142542,188,25,17,2141583
0,13418,149,16,66,12669
0,1694274,68,24,18,1693627
0,25842,199,2,74,24370
0,9998,76,2,49,9753
0,1577124,190,12,17,1576114
0,1229889,179,20,16,1228786
0,1778534,128,13,17,1777443
1,1152958,195,2,13,1151783
0,907521,139,22,13,906301
0,23852,33,34,26,23046
0,1148502,229,11,14,1147669
1,655,0,2,82,2
0,231201,246,27,4,230431
0,1631767,70,24,18,1631120
1,667923,92,2,13,666610
0,272963,214,16,14,272211
0,11872,129,2,60,11348
0,247509,142,11,14,246700
