Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position
0,0,1324430,90,2,0,1322082
0,0,1156973,235,2,0,1154469
1,0,9580,198,1,1,6749
0,0,428427,89,3,0,425755
1,0,1096585,234,2,0,1093946
0,0,810651,170,2,0,808318
0,0,12594,152,2,0,9967
1,0,9089,217,2,0,6579
0,0,45075,123,1,1,42286
1,0,1611964,99,1,1,1609262
0,0,1828534,106,2,0,1825916
1,0,483376,96,2,0,480707
0,0,1865809,104,2,0,1862957
0,0,139709,255,2,0,138117
0,0,404584,117,2,0,402206
0,0,1731005,192,3,0,1728183
1,0,2060220,185,2,0,2057611
0,0,255561,16,1,1,253126
1,0,12158,10,2,0,9363
0,0,21771,85,2,0,19363
0,0,506933,17,3,0,504105
0,0,465591,163,2,0,462814
1,0,292921,245,2,0,290183
0,0,579976,259,2,0,577358
1,0,16377,145,2,0,13513
1,0,199898,35,1,1,197364
0,0,1633076,188,1,1,1630521
0,0,602587,42,2,0,600077
0,0,768058,77,2,0,765323
1,0,1129346,169,2,0,1126764
0,0,20976,59,2,0,18310
0,0,5331,150,2,0,2932
1,0,204433,64,2,0,201761
0,0,1825289,189,2,0,1822929
0,0,700388,14,2,0,697620
1,0,6553,119,2,0,4166
0,0,1169591,223,3,0,1166769
1,0,13678,156,2,0,10931
1,0,565683,139,2,0,563344
0,0,262330,243,2,0,259847
0,0,1251196,182,2,0,1248512
1,0,1015945,209,2,0,1013150
1,0,1147282,168,2,0,1144757
1,0,721934,76,2,0,719244
0,0,1582479,187,1,1,1579936
1,0,237391,72,2,0,234584
1,0,218715,57,2,0,215884
0,0,11062,4,2,0,8450
1,0,1570228,98,4,0,1568267
0,0,308185,67,1,1,306188
0,0,561205,47,2,0,558770
0,0,410579,135,2,0,407808
0,0,57145,58,3,0,54284
0,0,849988,206,2,0,847319
1,0,456596,15,2,0,453903
1,0,60414,227,2,0,57859
1,0,1007699,207,2,0,1005114
1,0,7898,9,2,0,5274
0,0,245264,50,2,0,242583
0,0,4732,122,2,0,2051
0,0,21506,60,2,0,18858
1,0,23129,125,3,0,20358
0,0,472189,71,2,0,469499
0,0,1014233,133,1,1,1011738
0,0,34218,61,2,0,31414
1,0,2102129,101,2,0,2099463
1,0,82609,137,3,0,79808
0,0,1317329,97,2,0,1314768
1,0,396615,252,1,1,394090
1,0,585607,83,2,0,583331
1,0,10603,6,3,0,7772
1,0,460231,148,2,0,457457
0,0,276688,211,1,1,274223
1,0,187696,249,2,0,185057
1,0,10893,92,2,0,8359
1,0,4709,30,2,0,2067
0,0,119436,257,2,0,116878
1,0,14331,230,2,0,11776
1,0,1650945,11,2,0,1648582
0,0,7054,121,2,0,4541
0,0,476059,149,1,1,473501
1,0,3590,212,2,0,942
0,0,1816759,191,2,0,1814429
1,0,2010450,108,2,0,2008033
1,0,529696,177,2,0,526820
0,0,280853,65,2,0,278046
0,0,436968,246,1,1,434224
1,0,408724,138,1,1,406415
0,0,1036042,116,2,0,1033382
0,0,25731,8,3,0,22858
0,0,35248,53,2,0,32438
1,0,2099,2,4,0,3
0,0,903444,114,1,1,900637
1,0,559805,147,1,1,557001
1,0,2171498,184,2,0,2169063
0,0,817323,79,2,0,814468
1,0,35322,193,2,0,32611
0,0,585177,205,3,0,582301
1,0,41459,219,3,0,38613
0,0,584285,176,0,0,581721
0,0,421319,161,2,0,418704
0,0,16042,110,3,0,13142
1,0,629809,112,3,0,627020
1,0,620072,45,2,0,617640
1,0,86749,154,1,1,84020
0,0,1115182,220,2,0,1112378
0,0,546370,48,2,0,543824
0,0,22835,146,2,0,20457
0,0,65602,23,2,0,62846
0,0,321121,172,2,0,318503
1,0,3099,86,2,0,313
1,0,2201057,56,2,0,2198634
0,0,1882048,103,1,1,1879670
0,0,2065088,100,1,1,2062416
1,0,8030,144,2,0,5538
1,0,54570,26,3,0,51787
1,0,12466,229,2,0,9926
0,0,1745786,12,2,0,1743231
0,0,1189938,225,2,0,1187140
1,0,596823,95,2,0,594229
1,0,565358,84,2,0,563163
1,0,935144,130,2,0,932427
1,0,7331,93,3,0,4482
1,0,167573,36,3,0,164778
1,0,191757,113,2,0,188965
1,0,344245,13,2,0,341906
1,0,205713,248,2,0,202903
0,0,546874,142,2,0,544250
0,0,1851640,105,2,0,1848668
0,0,468388,69,3,0,465485
0,0,14547,19,2,0,12235
0,0,425184,136,2,0,422410
1,0,249052,73,2,0,246272
0,0,7271,21,2,0,4884
0,0,3982,1,2,0,1541
1,0,21057,155,2,0,18763
0,0,399549,238,2,0,396772
0,0,11601,40,2,0,9187
1,0,175571,94,2,0,172800
0,0,110238,228,3,0,107374
0,0,783613,78,2,0,780839
1,0,8573,215,2,0,6039
1,0,7513,3,2,0,4757
1,0,171781,0,4,0,169685
1,0,221070,140,2,0,218443
1,0,1484951,183,3,0,1482129
1,0,880730,132,2,0,877992
1,0,12861,240,2,0,10087
0,0,763632,128,2,0,761305
1,0,1152001,181,1,1,1149578
0,0,184674,5,2,0,182293
1,0,194602,250,3,0,191840
1,0,2180588,55,2,0,2178147
1,0,17047,37,2,0,14579
0,0,256062,180,2,0,253732
0,0,1181628,224,2,0,1179322
1,0,2776,51,1,1,113
1,0,950785,131,2,0,948302
0,0,8596,124,2,0,5819
0,0,24923,63,2,0,22032
0,0,42017,201,1,1,39222
0,0,1200167,195,2,0,1197396
0,0,696919,74,2,0,694046
0,0,316755,118,1,1,314314
0,0,428401,70,2,0,425663
0,0,388287,239,2,0,385492
0,0,2113696,54,1,1,2111357
0,0,272153,66,2,0,269451
1,0,22052,241,2,0,19278
0,0,222070,179,2,0,219359
1,0,775880,129,2,0,773208
0,0,432436,159,1,1,429818
1,0,180486,34,2,0,177754
1,0,11536,32,2,0,9554
0,0,15093,157,3,0,12226
