GENE_SUBCLASS,GENOMIC_END_POSITION,GENE_DB_ID,ENCODED_PROTEIN,GENE_TYPE,CHROMOSOME_ID,GENOMIC_START_POSITION,STRAND_ORIENTATION
0,1647699,59,0,0,0,1646762,0
0,52191,2,0,0,0,51200,0
0,1456456,52,0,0,0,1455519,0
0,2269235,81,0,0,0,2268255,0
0,2599688,203,0,0,7,2598686,0
0,961008,36,0,0,0,960057,0
1,462656,14,1,1,0,461872,0
0,2664333,89,0,0,0,2663373,1
0,1632520,58,0,0,0,1631515,0
1,474134,15,1,1,0,473342,1
0,2718036,248,0,0,12,2717006,0
0,418380,12,0,0,0,417494,0
0,2609560,87,0,0,0,2608581,1
1,1305031,49,1,1,0,1304292,0
0,1764239,162,0,0,4,1763508,0
1,2694134,247,1,1,12,2693159,0
0,3896577,129,0,0,0,3895570,1
1,207934,235,1,1,10,206941,1
0,2806993,250,0,0,12,2805961,0
0,1689087,61,0,0,0,1688157,1
0,1493581,53,0,0,0,1492608,0
0,22128,170,0,0,6,21118,1
0,35674,185,0,0,7,34737,1
1,2821,258,1,1,13,1796,1
0,4464,183,0,0,7,3665,1
0,1798060,166,0,0,4,1797042,0
0,1775441,64,0,0,0,1774454,1
0,1435342,51,0,0,0,1434369,0
0,2491047,240,0,0,12,2490060,0
0,98100,262,0,0,13,97104,1
0,694956,24,0,0,0,693924,0
1,7509,214,1,1,8,6770,1
0,82197,154,0,0,4,81176,1
1,1571655,56,1,1,0,1570786,1
0,56587,187,0,0,7,55870,1
1,168621,156,1,1,4,168018,1
0,204979,266,0,0,13,203989,1
1,300350,198,1,1,7,299433,1
0,1202243,143,0,0,2,1201265,0
0,3747742,124,0,0,0,3746758,1
0,1253998,145,0,0,2,1253021,0
0,2931247,98,0,0,0,2930282,1
0,2598728,86,0,0,0,2597760,1
0,2799553,213,0,0,7,2798511,0
0,3485524,115,0,0,0,3484511,1
1,49077,259,1,1,13,48083,1
0,669332,23,0,0,0,668377,0
0,23469,184,0,0,7,22545,1
0,2094781,77,0,0,0,2093799,1
0,3070241,105,0,0,0,3069280,0
1,1004126,38,1,1,0,1003339,1
0,2970973,101,0,0,0,2969987,1
