Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,0,466038,176,176,2,463714,0
0,0,1851640,108,108,2,1848668,0
0,0,139709,253,253,2,138117,0
1,0,290907,118,118,1,288478,0
0,0,1171520,41,41,2,1169280,1
0,0,2047179,184,184,2,2044399,1
0,0,800723,165,165,2,798375,0
0,0,12158,13,13,2,9363,1
0,0,21771,87,87,2,19363,0
0,0,488327,203,203,3,485541,0
0,0,454333,158,158,2,451748,0
0,0,262330,243,243,2,259847,0
0,0,568854,259,259,2,566233,0
0,0,16377,145,145,2,13513,1
0,0,180486,37,37,2,177754,1
0,0,1596686,185,185,2,1594209,0
0,0,301826,242,242,2,299487,0
0,0,736453,82,82,3,733583,0
0,0,1006971,1,1,5,1005142,0
0,0,20976,60,60,2,18310,0
0,0,5331,150,150,2,2932,0
0,0,629809,114,114,3,627020,1
0,0,1816759,189,189,2,1814429,0
1,0,590672,258,258,1,588504,0
0,0,6553,121,121,2,4166,1
0,0,1152306,222,222,2,1149583,0
0,0,13678,156,156,2,10931,1
0,0,468388,71,71,3,465485,0
1,0,476059,149,149,1,473501,0
1,0,1152001,179,179,1,1149578,1
0,0,1007699,206,206,2,1005114,1
0,0,1129346,169,169,2,1126764,1
0,0,696919,76,76,2,694046,0
0,0,1156973,236,236,2,1154469,0
0,0,221070,141,141,2,218443,1
0,0,463778,83,83,2,460986,0
0,0,11062,6,6,2,8450,0
0,0,1553361,181,181,2,1550629,1
0,0,280853,67,67,2,278046,0
0,0,546370,49,49,2,543824,0
0,0,399549,238,238,2,396772,0
0,0,57145,59,59,3,54284,0
0,0,817323,81,81,2,814468,0
1,0,408107,19,19,1,405750,0
0,0,60414,227,227,2,57859,1
0,0,988200,207,207,2,985546,1
0,0,7898,12,12,2,5274,1
0,0,245264,51,51,2,242583,0
0,0,4732,124,124,2,2051,0
0,0,21506,62,62,2,18858,0
0,0,23129,127,127,3,20358,1
0,0,428401,72,72,2,425663,0
0,0,950785,133,133,2,948302,1
0,0,34218,63,63,2,31414,0
1,0,2065088,103,103,1,2062416,0
0,0,15093,157,157,3,12226,0
0,0,1251196,180,180,2,1248512,0
0,0,352788,249,249,2,350182,1
0,0,565683,140,140,2,563344,1
0,0,10603,8,8,3,7772,1
0,0,212927,0,0,5,211077,1
0,0,1200167,193,193,2,1197396,0
0,0,652210,98,98,2,649424,0
0,0,10893,94,94,2,8359,1
0,0,4709,33,33,2,2067,1
0,0,119436,255,255,2,116878,0
0,0,14331,230,230,2,11776,1
1,0,1633076,186,186,1,1630521,0
0,0,7054,123,123,2,4541,0
0,0,456596,18,18,2,453903,1
0,0,3590,211,211,2,942,1
0,0,1757922,188,188,2,1755496,1
0,0,1984371,187,187,2,1981915,0
0,0,529696,175,175,2,526820,1
0,0,272153,68,68,2,269451,0
0,0,423886,69,69,2,421607,1
1,0,408724,139,139,1,406415,1
0,0,1189938,225,225,2,1187140,0
0,0,25731,11,11,3,22858,0
0,0,35248,54,54,2,32438,0
0,0,2099,4,4,5,3,1
0,0,867065,116,116,2,864531,0
0,0,460231,148,148,2,457457,1
1,0,2113696,55,55,1,2111357,0
0,0,783613,80,80,2,780839,0
0,0,35322,191,191,2,32611,1
0,0,506933,21,21,3,504105,0
0,0,41459,219,219,3,38613,1
0,0,584285,174,174,0,581721,0
0,0,404953,161,161,2,402317,0
0,0,16042,112,112,3,13142,0
1,0,574686,147,147,1,571897,1
0,0,596823,97,97,2,594229,1
1,0,71558,154,154,1,69066,0
0,0,1102343,226,226,2,1099539,0
0,0,556640,252,252,2,553878,0
0,0,22835,146,146,2,20457,0
0,0,65602,27,27,2,62846,0
0,0,2171498,182,182,2,2169063,1
0,0,3099,88,88,2,313,1
0,0,2201057,57,57,2,2198634,1
0,0,1865809,107,107,2,1862957,0
0,0,2060220,183,183,2,2057611,1
0,0,8030,144,144,2,5538,1
0,0,54570,30,30,3,51787,1
0,0,12466,229,229,2,9926,1
0,0,1650945,14,14,2,1648582,1
0,0,1181628,224,224,2,1179322,0
0,0,580806,96,96,5,578836,1
0,0,321121,171,171,2,318503,0
0,0,880730,134,134,2,877992,1
0,0,7331,95,95,3,4482,1
0,0,156435,36,36,3,153649,1
0,0,249052,75,75,2,246272,1
0,0,344245,16,16,2,341906,1
0,0,194602,248,248,3,191840,1
0,0,536061,256,256,2,533287,0
0,0,1828534,109,109,2,1825916,0
0,0,450835,70,70,2,448496,1
0,0,14547,23,23,2,12235,0
0,0,417885,137,137,2,415123,0
0,0,237391,74,74,2,234584,1
0,0,7271,25,25,2,4884,0
0,0,3982,3,3,2,1541,0
0,0,21057,155,155,2,18763,1
0,0,388287,239,239,2,385492,0
0,0,11601,43,43,2,9187,0
0,0,185153,26,26,2,182502,0
0,0,110238,228,228,3,107374,0
0,0,768058,79,79,2,765323,0
0,0,8573,215,215,2,6039,1
0,0,7513,5,5,2,4757,1
0,0,191757,115,115,2,188965,1
0,0,205713,246,246,2,202903,1
0,0,1409461,101,101,3,1406588,1
0,0,775880,131,131,2,773208,1
0,0,12861,240,240,2,10087,1
0,0,735391,129,129,2,733043,0
0,0,1731005,190,190,3,1728183,0
0,0,171302,231,231,4,169443,0
0,0,187696,247,247,2,185057,1
0,0,2180588,56,56,2,2178147,1
0,0,17047,40,40,2,14579,1
0,0,222070,177,177,2,219359,0
0,0,1169591,223,223,3,1166769,0
1,0,2776,52,52,1,113,1
0,0,935144,132,132,2,932427,1
0,0,8596,126,126,2,5819,0
0,0,24923,65,65,2,22032,0
1,0,42017,199,199,1,39222,0
1,0,1150558,192,192,1,1147775,1
0,0,665447,77,77,3,662586,1
1,0,276688,210,210,1,274223,0
1,0,396615,250,250,1,394090,1
0,0,381075,237,237,2,378301,0
0,0,2102129,104,104,2,2099463,1
1,0,255561,20,20,1,253126,0
0,0,22052,241,241,2,19278,1
0,0,198843,128,128,2,196225,0
0,0,763632,130,130,2,761305,0
0,0,421319,160,160,2,418704,0
0,0,167573,39,39,3,164778,1
0,0,11536,35,35,2,9554,1
1,0,597333,2,2,1,595705,1
