Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,0,96937,121,121,2,62,96035,1
0,0,1771,20,20,8,17,5,0
0,0,9252,128,128,8,80,7177,0
0,0,1005,18,18,8,64,1,1
1,0,573456,48,48,2,31,572590,0
0,0,632799,51,51,6,69,629461,0
1,0,1017672,50,50,2,11,1015075,0
0,0,1291,14,14,8,93,11,1
0,0,55385,130,130,6,54,52233,1
1,0,6751,106,106,2,91,5450,0
1,0,3425,119,119,2,67,855,1
0,0,68231,99,99,6,74,65097,1
0,0,750258,9,9,7,70,748432,0
0,0,153763,103,103,5,53,151067,1
0,0,307836,152,152,8,43,304756,0
0,0,13944,63,63,5,0,11467,1
0,0,43791,72,72,6,78,40663,1
1,0,100486,55,55,2,46,98009,0
0,0,1126783,132,132,5,13,1124243,1
0,0,4790,125,125,6,19,1644,1
0,0,304,129,129,7,81,2,0
0,0,30678,115,115,7,42,29548,1
0,0,642289,108,108,6,49,639173,0
0,0,40231,111,111,7,15,38468,1
0,0,704,15,15,3,16,18,1
1,0,701522,70,70,2,34,698580,0
0,0,33620,87,87,6,68,30504,1
1,0,673825,84,84,2,73,670661,0
1,0,782421,64,64,2,73,781378,0
0,0,100844,35,35,7,71,99663,0
1,0,506465,73,73,2,41,504186,1
0,0,559272,83,83,6,54,556483,0
0,0,4270,38,38,5,84,1799,1
1,0,673601,76,76,2,80,670680,0
0,0,429068,85,85,6,85,425925,0
0,0,484,140,140,8,60,2,1
1,0,7065,69,69,2,74,6076,1
0,0,506906,101,101,0,87,503742,0
1,0,28960,2,2,2,86,27503,1
1,0,1651,95,95,2,14,830,1
0,0,302755,61,61,8,43,301802,0
0,0,1330,12,12,8,65,2,0
1,0,492209,24,24,2,82,489726,0
0,0,704396,17,17,8,46,703461,0
1,0,7840,68,68,2,8,6842,1
0,0,24175,39,39,6,18,21059,1
1,0,1482,107,107,2,44,1,0
1,0,3560,33,33,2,5,861,0
0,0,40333,120,120,6,22,37199,1
0,0,6322,46,46,6,18,3197,1
1,0,694715,135,135,2,34,691713,0
1,0,201983,147,147,2,51,197949,0
1,0,232598,155,155,2,31,230508,0
0,0,52289,86,86,6,9,48939,1
1,0,796646,62,62,2,10,794730,0
1,0,762911,104,104,2,34,760413,0
1,0,1815,94,94,2,52,1,0
0,0,11460,144,144,7,71,9091,1
1,0,767496,96,96,2,10,766105,0
1,0,341160,156,156,2,86,338881,1
0,0,135805,157,157,6,28,132644,0
0,0,326955,34,34,6,10,323962,0
1,0,2735,80,80,2,60,246,1
1,0,4884,52,52,2,72,1753,1
0,0,562767,60,60,6,57,559651,0
0,0,720169,30,30,6,50,717008,0
0,0,11360,92,92,6,44,8184,1
0,0,1011,8,8,8,38,1,0
0,0,7732,66,66,6,37,4595,0
0,0,696,116,116,7,80,1,0
1,0,552643,118,118,2,28,550361,1
0,0,225838,93,93,6,33,222980,0
0,0,5115,57,57,5,37,2545,1
0,0,296392,26,26,6,51,293633,0
1,0,36371,142,142,2,58,34218,1
0,0,220362,117,117,5,10,217744,0
1,0,532553,154,154,2,6,531252,0
0,0,772874,150,150,6,81,769737,0
1,0,638513,74,74,2,42,636579,0
1,0,685611,71,71,2,30,683131,0
1,0,40751,43,43,2,66,38379,1
0,0,5438,139,139,7,71,3198,1
0,0,8449,123,123,6,75,5315,1
0,0,37772,136,136,6,61,34755,1
1,0,11809,40,40,2,77,9641,0
1,0,8362,134,134,2,89,5834,0
0,0,96112,114,114,6,13,92984,1
1,0,6579,67,67,2,8,5257,1
1,0,16287,37,37,2,12,13156,1
1,0,371763,4,4,9,39,371065,1
0,0,3141,91,91,7,32,982,1
1,0,5564,41,41,2,35,2433,1
0,0,567659,27,27,1,18,567123,0
0,0,634208,32,32,8,2,633441,0
0,0,34862,89,89,1,7,34431,1
1,0,742903,102,102,2,76,741965,0
1,0,11203,45,45,2,57,8075,1
1,0,12199,145,145,2,36,10430,0
1,0,631461,75,75,2,42,630235,0
0,0,2165,137,137,7,21,1,1
1,0,676357,31,31,2,94,675068,0
0,0,46094,77,77,5,61,43491,1
1,0,301337,23,23,2,4,298548,1
0,0,48145,3,3,4,20,47690,1
0,0,11508,109,109,5,47,8902,1
0,0,1015710,36,36,6,48,1014604,0
