GENE_SUBCLASS,ORTHOLOG_ID,GENOMIC_END_POSITION,GENE_DB_ID,ENCODED_PROTEIN,GENE_TYPE,CHROMOSOME_ID,GENOMIC_START_POSITION,STRAND_ORIENTATION
1,0,988351,28,2,1,0,987725,1
0,1,346732,10,0,0,0,345835,0
1,5,2932579,209,2,1,12,2931935,0
1,11,1258373,117,2,1,2,1257486,0
0,1,826454,23,0,0,0,825605,0
0,24,119359,214,0,0,13,118488,0
0,1,84763,4,0,0,0,83884,0
0,20,1852658,137,0,0,4,1851750,0
0,1,1009343,29,0,0,0,1008447,1
1,0,2990646,79,2,1,0,2989777,1
0,10,2127433,184,0,0,9,2126559,0
0,17,2662826,200,0,0,12,2661928,0
1,0,2773159,73,2,1,0,2772414,0
0,5,43615,155,0,0,7,42720,1
0,1,2027332,60,0,0,0,2026451,1
0,7,2051827,152,0,0,6,2050966,1
0,7,65756,142,0,0,6,64848,1
1,5,2652248,199,2,1,12,2651353,0
1,0,3596070,94,2,1,0,3595390,1
0,1,2564908,68,0,0,0,2564013,1
1,0,3939946,105,2,1,0,3939066,1
0,1,2157748,62,0,0,0,2156854,0
0,1,1347591,41,0,0,0,1346693,0
1,18,244227,7,2,1,0,243591,0
0,13,10693,177,0,0,8,9931,1
0,1,1230850,38,1,0,0,1230443,0
0,20,1872146,138,0,0,4,1871256,0
1,0,3118809,83,2,1,0,3118143,0
0,5,2771720,174,0,0,7,2770833,0
0,22,743255,20,0,0,0,742382,0
1,0,3371352,88,2,1,0,3370671,0
1,0,3175328,85,2,1,0,3174631,0
0,1,3482173,91,0,0,0,3481283,1
0,1,1210237,37,0,0,0,1209330,0
1,0,940738,26,2,1,0,939838,0
1,14,191596,160,2,1,7,190749,1
0,1,1438969,42,0,0,0,1438094,0
0,1,3892299,103,0,0,0,3891419,1
1,0,3659876,97,2,1,0,3658970,1
1,9,1386,140,2,1,6,484,1
0,10,2097475,183,0,0,9,2096692,0
0,1,1327411,40,0,0,0,1326527,0
0,5,237285,161,0,0,7,236377,1
0,24,171488,218,0,0,13,170598,1
1,0,1859223,53,2,1,0,1858664,1
0,1,67225,3,0,0,0,66335,0
0,15,1205860,115,0,0,2,1204942,0
0,1,1827968,50,0,0,0,1827078,1
0,7,2021370,150,0,0,6,2020462,0
0,1,33872,1,0,0,0,33277,0
1,0,3954382,106,2,1,0,3953716,1
0,15,1150468,113,0,0,2,1149549,0
0,1,1594881,45,0,0,0,1594014,0
0,10,2200677,185,0,0,9,2199788,0
0,1,3426722,90,0,0,0,3425850,0
1,0,1613672,46,2,1,0,1613054,0
0,1,1062170,32,0,0,0,1061271,1
1,9,84968,143,2,1,6,84024,1
0,1,251301,8,0,0,0,250440,0
0,17,2574717,195,0,0,12,2573812,0
1,0,759899,21,2,1,0,759170,0
1,14,2815788,176,2,1,7,2814973,0
0,2,13000,121,0,0,3,12198,1
0,1,3806554,100,0,0,0,3805732,1
0,1,3505382,92,0,0,0,3504459,1
0,7,209987,145,0,0,6,209125,1
0,1,1790274,49,0,0,0,1789375,1
0,1,3733654,99,0,0,0,3732796,0
0,1,268360,9,0,0,0,267451,0
0,1,438609,12,0,0,0,437719,0
0,1,1967467,58,0,0,0,1966575,1
0,1,3702726,98,0,0,0,3701790,1
0,7,1984098,148,0,0,6,1983179,0
0,1,601650,16,0,0,0,600802,1
0,6,113373,187,0,0,10,112520,1
0,1,2621113,70,0,0,0,2620236,1
1,5,2888805,207,2,1,12,2887907,0
0,7,2042250,151,0,0,6,2041355,0
1,16,1801661,135,2,1,4,1800772,0
1,0,3379061,89,2,1,0,3378314,0
1,3,246982,190,2,1,10,246140,1
0,1,2090425,61,0,0,0,2089410,1
0,1,1845491,51,0,0,0,1844736,1
0,15,1271094,118,0,0,2,1270209,0
0,1,1628990,47,0,0,0,1628066,0
1,9,121515,144,2,1,6,120611,1
0,17,2617008,197,0,0,12,2616131,0
1,9,1898490,146,2,1,6,1897629,0
0,24,160866,217,0,0,13,159967,1
0,1,497244,13,0,0,0,496597,0
1,0,1853524,52,2,1,0,1852871,1
0,24,127918,215,0,0,13,127024,1
1,0,2956805,78,2,1,0,2956075,1
0,3,15958,191,0,0,11,15068,1
1,14,2385420,167,2,1,7,2384524,0
0,1,1948074,57,0,0,0,1947184,1
0,1,1546310,44,0,0,0,1545461,1
1,23,88675,108,2,1,1,87837,1
1,14,2212759,164,2,1,7,2212110,0
0,1,708959,19,0,0,0,708072,0
0,10,2079425,182,0,0,9,2078553,0
0,24,189169,219,0,0,13,188272,1
1,14,2646027,173,2,1,7,2645141,0
0,5,2407346,168,0,0,7,2406544,0
0,7,1908828,147,0,0,6,1907931,0
0,5,2615497,172,0,0,7,2614624,0
0,8,1231122,110,0,0,1,1230272,1
0,1,3632450,96,0,0,0,3631526,1
1,0,2765298,72,2,1,0,2764530,0
0,20,1823794,136,0,0,4,1822913,0
1,12,350187,221,2,1,13,349230,1
0,1,689590,18,0,0,0,688695,0
0,24,144405,216,0,0,13,143511,1
0,1,2586058,69,0,0,0,2585173,1
0,15,1237158,116,0,0,2,1236391,0
1,5,2764326,203,2,1,12,2763689,0
0,15,104951,112,0,0,2,104050,1
