StrandOrientation,GeneType,GenomicStartPosition,ChromosomeId,EncodedProtein,GeneDbId,GenomicEndPosition
0,0,383100,3,14,36,384191
0,0,10958,80,22,237,12268
1,0,2096334,18,11,191,2097143
0,0,11804,67,23,151,13009
0,0,570836,5,11,46,571633
1,0,10985,36,11,224,11743
0,1,555144,1,2,172,556235
0,0,1164663,14,11,230,1165493
1,1,611866,9,2,200,613080
1,0,8375,28,11,74,9178
1,0,2164835,17,24,186,2165485
0,1,40839,29,33,78,41345
0,1,28721,71,2,164,29968
0,0,357524,17,24,101,358168
1,1,516597,13,2,21,517373
0,0,36670,26,11,31,37518
0,0,1588012,16,31,120,1588977
1,0,1146423,16,7,177,1147481
0,0,14528,77,11,219,15379
0,0,251303,3,3,176,252454
0,0,657867,13,11,89,658646
1,0,2478,64,6,147,3650
1,1,550737,13,2,87,551759
0,0,78918,12,28,167,79682
1,0,222,45,0,49,614
1,1,1920505,17,2,124,1921338
1,1,293887,11,2,99,295086
0,0,1172566,14,18,231,1173402
1,0,35989,71,23,165,37248
1,1,55386,26,2,32,55904
0,1,1886823,17,2,126,1887968
1,1,488510,4,2,86,489292
1,0,12327,59,0,111,13082
0,0,385279,14,22,174,386514
0,0,831566,13,22,210,832741
0,0,28568,39,1,25,28969
0,0,1,21,0,2,738
0,0,4142,24,11,9,5008
1,1,285889,11,2,98,287088
0,0,12945,47,22,62,14090
1,0,841,78,0,225,1026
0,0,1015,56,18,102,1863
1,0,2027874,18,22,19,2029082
0,1,496306,3,2,34,497406
0,0,251211,13,0,20,251858
1,0,1021526,13,18,213,1022329
0,0,22318,62,0,133,23025
1,0,854,33,11,215,1675
0,1,25832,71,34,163,26635
1,0,2150759,18,9,65,2151652
0,0,2155145,17,24,187,2155792
1,1,34406,12,2,42,35179
1,0,18321,27,23,45,19523
0,0,1687044,18,4,69,1687805
0,0,9845,51,32,94,10624
0,0,265438,14,11,141,266241
0,0,312547,13,11,83,313431
0,0,485586,1,14,57,486743
0,0,284939,13,11,81,285745
1,1,826311,13,2,209,827468
0,0,259,20,25,1,1047
1,0,323095,10,25,159,323886
0,0,18002,54,18,97,18784
1,0,996476,13,11,212,997273
0,0,304740,13,8,84,305564
1,1,12324,55,2,100,13592
1,0,29968,41,11,28,30765
0,1,445157,3,2,17,445921
1,0,940901,13,11,7,941707
0,0,11468,63,0,135,12388
1,1,269074,18,2,146,269718
1,0,64810,79,29,234,65754
1,0,1521903,16,25,182,1522877
1,0,16040,76,23,217,17173
0,0,13148,42,10,30,13948
0,0,386064,13,23,11,387281
0,1,289571,13,2,80,290434
1,0,974237,18,30,115,975187
0,0,1678525,18,25,71,1679298
0,1,5043,81,2,241,6002
1,1,1591840,18,34,73,1592913
0,1,662260,18,2,15,663114
1,1,432381,13,0,203,432941
0,0,276769,13,11,82,277578
1,1,4340,38,2,24,4723
1,0,22572,46,22,58,23810
0,0,401243,4,21,85,402463
0,0,2141583,17,25,188,2142542
0,0,12669,66,16,149,13418
0,0,1693627,18,24,68,1694274
0,1,24370,74,2,199,25842
0,1,9753,49,2,76,9998
0,0,1576114,17,12,190,1577124
0,0,1228786,16,20,179,1229889
0,0,1777443,17,13,128,1778534
1,1,1151783,13,2,195,1152958
0,0,906301,13,22,139,907521
0,1,23046,26,34,33,23852
0,0,1147669,14,11,229,1148502
1,1,2,82,2,0,655
0,0,230431,4,27,246,231201
0,0,1631120,18,24,70,1631767
1,1,666610,13,2,92,667923
0,0,272211,14,16,214,272963
0,1,11348,60,2,129,11872
0,0,246700,14,11,142,247509
