GeneType,GeneDescription,GenomicStartPosition,OrthologId,ChromosomeId,EncodedProteinDescription,StrandOrientation,GeneDbId,GeneId,GenomicEndPosition
0,0,62859,15,66,0,1,151,151,64637
1,0,2103,53,145,3,0,273,273,4799
1,0,4734,108,141,3,0,237,237,7313
0,0,17815,150,129,0,1,160,160,19476
1,0,5381,175,127,3,0,143,143,7957
0,0,837994,183,37,0,0,123,123,840765
1,0,2117660,132,59,3,0,107,107,2120212
1,0,408877,100,31,3,0,246,246,411543
0,0,1297,178,36,0,1,157,157,2442
1,0,27197,124,46,3,1,145,145,29971
1,0,1029001,177,45,3,0,51,51,1032018
1,0,13598,176,150,3,0,295,295,16396
1,0,489575,82,0,3,0,131,131,492103
0,0,599,159,55,0,1,45,45,3892
1,0,435576,136,47,3,0,288,288,439193
1,0,567725,91,27,3,0,253,253,570499
1,0,1095,180,119,3,1,105,105,3857
1,0,922281,125,58,3,1,238,238,924785
1,0,244298,108,4,3,0,63,63,245943
1,0,554000,36,28,3,1,241,241,556405
0,0,8410,66,138,0,0,221,221,9141
1,0,979324,121,53,3,1,279,279,981807
1,0,11650,174,92,3,0,222,222,14712
1,0,2358530,149,60,3,0,13,13,2360044
1,0,8914,168,93,3,1,255,255,11256
1,0,5795,131,115,3,0,93,93,7825
0,0,8244,137,59,0,1,55,55,9869
1,0,94816,83,29,3,1,209,209,96498
1,0,82602,112,15,3,1,188,188,83774
0,0,2,39,100,0,0,298,298,1981
1,0,481422,139,5,3,0,320,320,483389
0,0,83153,178,16,0,1,310,310,85945
0,0,18811,68,105,0,0,61,61,21702
0,0,21810,65,25,0,1,4,4,22871
1,0,2904,63,102,3,1,53,53,5339
0,0,725151,107,30,0,0,36,36,728090
1,0,616,89,74,3,1,23,23,3210
0,0,256827,120,9,0,0,219,219,258722
0,0,8119,51,133,0,1,182,182,10587
1,0,142906,26,13,3,1,315,315,145152
1,0,569139,104,17,3,0,301,301,572075
1,0,56848,125,58,3,1,299,299,58311
1,0,903148,49,42,3,0,99,99,905988
1,0,708220,105,37,3,0,200,200,710712
0,0,43370,136,2,0,1,262,262,45706
1,0,586977,12,8,3,0,3,3,588116
0,0,1626,142,5,0,1,119,119,4613
0,0,342,106,40,0,1,6,6,3158
1,0,1385,113,32,3,1,84,84,4342
1,0,12888,171,96,3,0,258,258,15683
1,0,376718,119,64,3,0,38,38,378832
1,0,36688,144,53,3,1,85,85,39618
0,0,560651,96,21,0,0,321,321,563158
0,0,464685,69,11,0,0,171,171,467624
1,0,2018517,156,57,3,0,177,177,2020967
0,0,1604,158,81,0,0,57,57,4567
1,0,21516,28,86,3,0,114,114,24449
0,0,53479,165,41,0,1,96,96,54516
1,0,195199,44,9,3,1,194,194,197559
0,0,2,33,89,1,1,156,156,955
1,0,1127446,136,47,3,0,198,198,1130391
0,0,60071,15,66,0,1,48,48,61849
1,0,1821786,132,59,3,0,165,165,1824669
1,0,18272,115,106,3,1,64,64,21022
1,0,514713,82,0,3,0,133,133,517997
1,0,2025571,132,59,3,0,268,268,2028531
1,0,1706,8,125,3,1,139,139,4543
1,0,13233,93,24,3,0,127,127,16034
0,0,1335682,37,53,1,0,271,271,1337382
0,0,3,57,155,1,1,1,1,1973
1,0,6965,62,50,3,1,89,89,9934
1,0,14728,41,40,3,1,181,181,16389
1,0,645735,144,22,3,0,161,161,648458
0,0,30121,67,69,1,1,302,302,31215
1,0,1172704,62,50,3,0,147,147,1175229
0,0,301,3,13,0,1,318,318,2772
1,0,263906,18,10,3,0,202,202,265804
0,0,494066,5,6,0,0,169,169,496864
1,0,1707056,149,60,3,1,109,109,1709527
1,0,902803,124,46,3,0,39,39,905310
1,0,2677,30,128,3,1,158,158,5025
1,0,471830,108,4,3,0,193,193,474181
0,0,18052,119,126,0,1,140,140,20670
0,0,1432280,147,53,0,0,155,155,1434052
1,0,2324351,132,59,3,0,265,265,2327020
1,0,28410,109,67,3,1,150,150,30617
0,0,790079,56,37,0,0,122,122,791878
1,0,8049,2,112,3,1,79,79,10460
1,0,752910,100,31,3,0,206,206,754760
1,0,3602,98,13,3,1,319,319,6217
1,0,393928,6,31,3,0,247,247,396132
1,0,127131,83,29,3,1,208,208,128705
1,0,493463,185,1,3,0,27,27,496021
1,0,53854,26,13,3,1,316,316,56619
0,0,3684,172,77,0,1,32,32,4421
0,0,115973,103,2,0,1,212,212,117865
1,0,16263,28,36,3,1,46,46,19013
1,0,172793,21,9,3,1,195,195,174847
1,0,6399,4,132,3,1,175,175,8963
0,0,3826,165,147,0,0,286,286,6840
0,0,33320,151,51,0,1,2,2,34372
1,0,107442,140,65,3,1,251,251,110366
1,0,4399,42,117,3,0,98,98,7278
0,0,65139,178,57,0,1,297,297,67475
0,0,1138639,40,47,0,0,197,197,1140600
1,0,1172813,34,49,3,0,78,78,1174681
1,0,1,50,72,3,1,20,20,1443
0,0,4374,99,146,0,1,284,284,7112
1,0,1110685,13,59,3,1,296,296,1113039
1,0,4687,81,148,3,1,291,291,7245
1,0,9695,82,131,3,1,174,174,12451
0,0,1,69,79,0,0,52,52,2274
1,0,2192474,86,60,3,1,108,108,2194888
1,0,14439,136,47,3,1,187,187,16715
0,0,747923,181,37,0,0,210,210,750304
1,0,212992,44,9,3,0,307,307,214887
1,0,42977,13,51,3,1,26,26,44770
1,0,54387,22,43,3,1,324,324,56555
1,0,16475,79,85,3,1,111,111,18751
1,0,2146741,132,59,3,0,267,267,2149200
1,0,1453,24,25,3,1,87,87,3783
1,0,593812,123,11,3,0,278,278,596370
1,0,16985,82,0,3,1,124,124,19819
0,0,389424,8,11,0,0,225,225,392186
0,0,33455,114,16,0,1,118,118,36463
0,0,446350,118,47,1,0,287,287,447897
0,0,596251,107,7,1,0,95,95,598524
1,0,339421,149,60,3,1,154,154,342240
1,0,104554,32,19,3,0,50,50,107280
1,0,97,127,107,3,0,69,69,2892
0,0,477440,20,11,0,0,10,10,478312
1,0,44356,31,111,3,0,77,77,46833
1,0,667467,86,60,3,0,37,37,670094
0,0,2027736,145,57,2,0,178,178,2028848
1,0,66416,27,2,3,1,263,263,68416
1,0,2295,95,88,3,0,129,129,4460
0,0,550602,52,18,0,0,252,252,553364
1,0,198909,110,61,3,0,159,159,201254
1,0,3018,53,38,3,1,170,170,4289
1,0,857,64,99,3,1,293,293,3538
1,0,9605,148,151,3,0,305,305,12394
0,0,745776,90,30,0,0,35,35,748745
1,0,12819,130,82,3,1,62,62,14564
0,0,36720,185,144,0,1,270,270,39476
1,0,10954,102,91,3,0,216,216,13956
1,0,67503,88,58,3,1,192,192,68621
0,0,642806,8,11,0,0,277,277,645301
1,0,4257,5,123,3,1,130,130,5678
1,0,457553,157,11,3,0,17,17,458839
1,0,823350,70,40,3,0,311,311,825842
0,0,36197,112,43,0,1,31,31,38223
0,0,3,156,154,0,0,8,8,968
1,2,8509,103,43,3,1,326,326,11541
0,0,9965,181,39,0,1,290,290,12865
1,0,579438,8,12,3,0,240,240,582104
1,0,77750,123,11,3,1,231,231,79885
1,0,445,152,110,3,1,73,73,2982
1,0,21226,164,57,3,1,88,88,22938
1,0,1571158,132,59,3,0,166,166,1573917
0,0,528650,43,3,0,0,33,33,531490
0,0,2191,25,87,0,0,125,125,4734
0,0,727477,181,37,0,0,201,201,729858
0,0,364778,101,63,1,0,217,217,367390
0,0,963723,58,44,0,0,30,30,966472
0,0,15433,89,140,0,0,235,235,18183
1,0,1218,38,70,3,0,5,5,4073
1,0,12521,51,109,3,1,72,72,15577
1,0,2068987,13,59,3,0,164,164,2071578
1,0,25172,126,84,3,0,110,110,27589
0,0,967,143,34,0,1,43,43,4119
1,0,24623,136,30,3,1,149,149,27235
1,0,780772,75,34,3,0,82,82,783456
0,0,8839,78,121,0,1,113,113,11142
1,0,239769,15,23,3,1,120,120,242630
1,0,8169,80,130,3,1,172,172,10610
1,0,104012,153,18,4,1,281,281,106204
1,0,14936,73,101,3,0,49,49,16963
0,0,1168945,151,50,0,0,148,148,1171911
1,0,576201,36,28,3,0,7,7,577397
1,0,189,35,156,3,0,9,9,1820
1,0,483723,47,3,3,0,34,34,485801
1,0,24147,22,43,3,1,325,325,26744
1,0,617285,18,14,3,0,153,153,619021
0,0,12766,65,25,0,1,29,29,13820
1,0,2323705,149,60,3,0,42,42,2325261
1,0,8910,71,114,3,0,91,91,10910
1,0,637563,93,24,3,0,259,259,639965
