GeneType,GeneDescription,GenomicStartPosition,OrthologId,ChromosomeId,EncodedProteinDescription,StrandOrientation,GeneDbId,GeneId,GenomicEndPosition
0,0,558551,84,16,1,0,179,179,560608
1,0,959689,18,36,0,0,151,151,961848
0,0,914149,69,33,2,0,62,63,915393
0,0,4559,111,119,1,1,183,183,6868
0,0,47909,134,3,1,1,189,189,50074
0,0,485538,120,18,1,0,31,32,487691
0,0,4853,122,101,1,0,105,106,7225
0,0,666635,13,16,1,0,130,130,669010
0,0,101,15,12,3,1,169,169,2335
0,0,781,75,76,1,0,162,162,2976
0,0,1157084,133,41,1,0,141,141,1159648
0,0,140096,66,11,2,1,228,228,140815
0,0,1680,60,33,2,1,161,161,3637
0,0,3207,122,110,1,1,135,135,5471
1,0,1570,17,64,0,0,18,19,3774
1,0,6340,31,41,0,1,102,103,8253
0,0,476586,42,7,2,0,197,197,477141
0,0,1968,122,98,1,1,94,95,4334
1,0,18165,12,29,0,1,201,201,20192
1,0,634829,48,20,0,0,79,80,636865
0,0,389746,2,57,1,1,8,9,391932
0,0,1,8,60,3,0,14,15,1152
1,0,119982,92,11,0,1,229,229,122003
0,0,4204,108,79,1,1,192,192,6765
1,0,33460,24,120,0,1,194,194,35613
0,0,1171,122,95,1,0,70,71,3468
0,0,2351474,27,52,2,0,128,128,2352753
0,0,84366,43,4,2,1,66,67,85349
0,0,301437,138,12,3,1,216,216,303473
0,0,48072,14,23,2,1,26,27,49973
0,0,3849,122,100,1,0,99,100,6110
1,0,6806,43,72,0,1,55,56,9061
0,0,14774,122,109,1,1,134,134,17152
0,0,367785,34,54,1,0,60,61,369971
1,0,16912,72,43,0,1,104,105,19107
0,0,313945,62,11,1,1,226,226,316113
0,0,3093,49,65,1,1,21,22,5333
0,0,2307,130,39,1,1,112,112,4679
0,0,2150273,16,51,1,0,190,190,2152465
0,0,4,32,67,3,0,23,24,1347
0,0,732,122,88,2,1,50,51,3770
0,0,21104,82,2,1,0,236,236,23314
0,0,761027,6,26,1,0,174,174,763294
1,0,410220,81,13,0,0,37,38,411395
1,0,49540,131,35,0,1,234,234,51771
1,0,466913,125,1,0,0,34,35,469090
0,0,907241,127,34,1,0,74,75,909502
0,0,66007,83,25,1,1,145,145,68193
0,0,313523,103,12,1,1,215,215,315631
1,0,8418,64,44,0,1,28,29,10067
1,0,607077,42,20,0,0,78,79,609383
0,0,350539,3,56,2,1,199,199,351915
0,0,398004,105,10,1,0,27,28,400277
0,0,701878,26,22,3,0,212,212,702444
1,0,367296,28,13,0,1,61,62,369509
0,0,535,77,83,1,1,43,44,3147
0,0,525222,42,3,3,0,39,40,526037
0,0,55348,26,22,1,1,124,124,57522
1,0,1373202,16,44,0,0,118,118,1375691
1,0,754,20,122,0,1,207,207,3258
0,0,64094,121,35,1,1,233,233,66424
1,0,13717,65,118,0,1,176,176,16197
0,0,2638,122,85,1,0,46,47,4947
1,0,397290,0,14,0,0,90,91,399311
0,0,644707,46,12,2,0,181,181,646569
0,0,17801,49,49,1,1,68,69,20107
0,0,2121408,70,51,1,0,86,87,2123600
1,0,3723,37,124,0,0,0,1,5726
1,0,652312,29,51,0,1,75,76,654471
1,0,827212,22,46,0,1,107,108,828777
0,0,24536,84,16,1,1,138,138,27070
0,0,309482,103,12,1,1,214,214,311650
0,0,15441,107,78,2,1,184,184,16283
0,0,3845,122,92,3,0,56,57,5683
1,0,475453,25,5,0,0,148,148,477984
0,0,1176085,39,42,1,0,114,114,1178466
1,0,3,136,113,0,1,146,146,2336
1,0,58898,101,52,0,1,144,144,60946
1,0,32440,114,97,0,1,89,90,34512
1,0,1026565,37,39,0,0,166,166,1028709
1,0,222371,39,34,0,1,200,200,224206
0,0,90979,27,40,1,1,137,137,92121
1,0,729406,20,23,0,0,33,34,731499
0,0,5182,122,22,1,1,125,125,7491
0,0,2,54,62,3,1,15,16,1036
0,0,11819,47,32,1,1,57,58,14203
0,0,3,79,125,3,0,2,3,1475
0,0,470270,73,5,2,0,220,220,471716
1,0,1907460,29,51,0,1,127,127,1909430
1,0,667156,63,18,0,0,186,186,669243
0,0,16532,132,27,1,1,35,36,18709
0,0,5838,122,108,2,1,133,133,6479
0,0,666520,97,24,1,0,154,154,668634
