Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position
1,25728,92,92,3,1,39,21774
0,13163,65,65,1,0,48,2601
0,789447,212,212,3,1,113,779023
0,7954,192,192,2,0,66,2
1,229560,213,213,1,0,93,219184
0,1028641,19,19,1,0,100,1018586
1,69531,217,217,1,0,49,59128
0,5243,68,68,1,0,45,2
0,9826,22,22,2,0,114,2831
1,12411,132,132,3,1,3,1858
0,6482,4,4,2,0,66,3
1,78813,196,196,1,0,140,72588
1,12312,195,195,2,0,7,7990
1,40663,197,197,1,0,125,30197
1,24830,101,101,1,0,39,14646
0,288082,208,208,1,0,94,277652
1,64484,127,127,2,0,97,55971
1,127475,170,170,1,0,88,117093
1,32850,186,186,1,0,100,28143
0,207695,52,52,1,0,111,204667
1,36235,216,216,1,0,50,25871
0,11147,32,32,2,0,117,4143
0,1351353,153,153,3,1,136,1340908
0,30892,73,73,1,0,124,20468
0,745319,39,39,1,0,134,734937
1,353296,96,96,2,0,7,348857
0,7476,0,1,2,0,103,127
1,21015,75,75,1,0,62,14486
0,5481,154,154,2,0,37,1
1,5231,26,26,1,0,133,1
1,78745,63,63,1,0,1,68291
0,574518,141,141,3,1,98,565420
1,27113,193,193,3,1,138,16665
0,647211,115,115,3,1,136,636820
1,802151,14,14,1,0,115,791817
0,65194,21,21,1,0,41,54806
1,6388,122,122,1,0,128,323
0,296067,109,109,3,1,73,288610
0,62219,38,38,1,0,133,51870
1,19188,33,33,1,0,15,11071
1,34912,168,168,1,0,132,27714
0,239506,160,160,2,0,68,231410
0,217558,3,3,3,1,72,208664
1,52443,43,43,3,1,19,42064
0,5929,149,149,1,0,12,3
1,35770,42,42,3,1,61,25298
0,5956,20,20,1,0,134,733
0,586972,45,45,1,0,11,576509
1,88568,198,198,1,0,55,78117
0,13525,107,107,3,1,97,3143
0,623676,89,89,1,0,21,613279
1,11537,174,174,1,0,84,1098
0,505288,12,12,1,0,130,494840
1,39653,24,24,1,0,60,33702
1,158064,214,214,1,0,99,147781
1,54831,125,125,1,0,97,44338
1,1392969,104,104,1,0,0,1382515
0,2345195,165,165,1,0,140,2334792
0,5893,35,35,1,0,13,1
0,1174010,188,188,2,0,100,1168695
0,595061,48,48,3,1,88,584655
1,89016,117,117,1,0,13,78604
1,487135,84,84,1,0,109,478468
0,3341,189,189,2,0,90,3
0,5467,72,72,2,0,75,2
1,225073,34,34,1,0,39,217409
1,6046,78,78,2,0,41,2
0,610602,139,139,1,0,126,600223
0,548110,152,152,1,0,78,541838
0,8611,116,116,1,0,47,3
1,940675,88,88,1,0,34,930293
0,566844,202,202,3,1,78,556376
1,94486,145,145,1,0,54,84056
1,19647,54,54,1,0,108,9304
1,1142692,87,87,2,0,28,1136952
1,17336,67,67,1,0,77,6891
1,6309,69,69,3,1,21,1
0,6144,62,62,1,0,42,3
0,796416,187,187,1,0,5,789632
0,252780,210,210,1,0,112,242332
0,6275,17,17,3,1,47,3
1,9243,23,23,3,1,10,3028
0,230403,209,209,1,0,64,222871
0,638425,171,171,1,0,45,628055
1,54812,6,6,1,0,106,50482
0,5690,77,77,3,1,127,3
1,6239,134,134,2,0,60,3
0,47046,57,57,3,1,67,36631
0,1352921,106,106,1,0,46,1342479
0,536745,47,47,1,0,104,531839
0,1415129,8,8,3,1,136,1406220
1,53597,30,30,1,0,0,43140
0,6877,29,29,1,0,81,2
1,82139,162,162,1,0,20,71676
1,571446,180,180,3,1,63,561022
1,97751,79,79,2,0,81,91272
1,40882,91,91,3,1,95,30431
0,64329,97,97,1,0,131,53935
0,19778,82,82,1,0,94,9420
1,409474,179,179,1,0,23,399029
0,501262,102,102,1,0,23,494255
0,1441553,105,105,1,0,34,1431102
0,736142,224,224,3,1,124,726108
0,18102,16,16,1,0,119,7759
0,635740,95,95,1,0,32,625292
1,29124,135,135,1,0,13,18715
0,510863,220,220,1,0,9,500484
0,347622,83,83,1,0,110,337195
0,8750,11,11,3,1,107,352
1,12299,144,144,3,1,47,2049
0,816094,66,66,1,0,91,805796
0,424985,124,124,1,0,44,418893
1,11317,85,85,3,1,40,5433
0,902706,94,94,1,0,31,892584
0,656937,155,155,1,0,1,646543
0,400877,70,70,2,0,7,396354
0,490459,110,110,1,0,47,480062
1,188433,128,128,1,0,124,178087
1,34480,143,143,1,0,12,24017
1,76316,28,28,2,0,76,71757
0,571102,15,15,1,0,105,563645
0,508446,158,158,1,0,64,497998
1,22907,1,2,2,0,21,17262
1,72152,147,147,1,0,58,61794
1,7036,194,194,1,0,126,1
0,1048694,136,136,1,0,36,1038261
1,14711,133,133,3,1,137,4479
1,5905,53,53,1,0,53,1
1,8139,177,177,3,1,57,1
1,15047,121,121,3,1,41,4680
1,563694,142,142,1,0,87,556752
1,46671,98,98,1,0,42,36289
0,138943,49,49,2,0,65,131411
0,682115,113,113,1,0,23,675892
0,656716,86,86,1,0,5,646334
0,56068,175,175,1,0,23,45617
0,2370774,163,163,1,0,94,2360422
1,107347,18,18,1,0,120,100946
1,364951,59,59,3,1,39,356759
1,79790,207,207,3,1,4,69342
0,698669,81,81,1,0,65,688299
0,545365,221,221,1,0,80,535076
1,7213,71,71,1,0,30,1
1,12287,131,131,3,1,6,1776
0,572820,182,182,1,0,128,566630
1,1301475,103,103,1,0,55,1291027
1,53674,203,203,1,0,140,43286
0,7785,138,138,2,0,44,1726
0,1049310,58,58,1,0,43,1038856
1,22220,223,223,1,0,105,11901
1,934030,201,201,3,1,27,926063
0,243214,167,167,1,0,52,232769
0,685626,118,118,1,0,81,675331
1,5029,27,27,2,0,70,2
0,780586,126,126,1,0,8,770171
1,12152,204,204,1,0,118,4158
1,102066,44,44,1,0,128,91621
1,19621,51,51,1,0,120,13649
1,6015,146,146,2,0,29,103
1,600090,181,181,1,0,103,589645
0,9497,185,185,3,1,33,3
1,364064,56,56,1,0,23,353619
