GeneClassification,GeneDescription,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,0,3704,22,21,0,65,1446,1
0,0,4679,112,112,0,39,2307,1
0,0,2152465,190,190,0,51,2150273,0
1,0,1287,19,18,1,67,1,0
0,0,3133,51,50,0,87,824,1
0,0,23314,236,236,0,2,21104,0
0,0,763294,174,174,0,26,761027,0
1,0,411395,37,36,1,13,410220,0
1,0,51771,234,234,1,35,49540,1
1,0,469090,34,33,1,1,466913,0
0,0,909502,74,73,0,34,907241,0
0,0,68193,145,145,0,25,66007,1
0,0,315631,215,215,0,12,313523,1
1,0,10067,29,28,1,44,8418,1
1,0,609383,78,77,1,20,607077,0
0,0,351915,200,200,0,56,350539,1
0,0,400277,28,27,0,10,398004,0
0,0,702444,212,212,0,22,701878,0
1,0,369509,61,60,1,13,367296,1
0,0,5540,44,43,0,82,3963,1
0,0,526037,39,38,0,3,525222,0
0,0,57522,124,124,0,22,55348,1
1,0,1375691,118,118,1,44,1373202,0
1,0,3258,208,208,1,121,754,1
0,0,66424,233,233,0,35,64094,1
1,0,16197,176,176,1,117,13717,1
0,0,1669,47,46,0,84,2,1
1,0,399311,90,89,1,14,397290,0
0,0,646569,181,181,0,12,644707,0
0,0,20107,68,67,0,49,17801,1
0,0,2123600,86,85,0,51,2121408,0
1,0,5726,1,0,1,123,3723,0
1,0,654471,75,74,1,51,652312,1
1,0,828777,107,106,1,46,827212,1
0,0,27070,138,138,0,16,24536,1
0,0,311650,214,214,0,12,309482,1
0,0,6765,192,192,0,78,4204,1
0,2,1518,58,57,0,91,1,1
1,0,477984,148,148,1,5,475453,0
0,0,1178466,114,114,0,42,1176085,0
1,0,2336,146,146,1,112,3,1
1,0,60946,144,144,1,52,58898,1
0,0,4334,94,93,0,96,1968,1
1,0,1028709,166,166,1,39,1026565,0
1,0,224206,201,201,1,34,222371,1
0,0,92121,137,137,0,40,90979,1
1,0,731499,33,32,1,23,729406,0
0,0,7491,125,125,0,22,5182,1
0,0,1333,16,15,0,62,3,0
0,0,14203,57,56,0,32,11819,1
0,0,1475,3,2,0,124,3,0
0,0,471716,220,220,0,5,470270,0
1,0,1909430,127,127,1,51,1907460,1
1,0,669243,186,186,1,18,667156,0
0,0,18709,35,34,0,27,16532,1
0,0,6479,133,133,0,107,5838,1
0,0,668634,154,154,0,24,666520,0
