StrandOrientation,GeneDescription,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,OrthologousGene,ChromosomeId,GenomicStartPosition
0,0,1411596,20,20,4,17,27,1410949
0,0,260483,175,175,4,101,16,259935
0,0,917604,271,271,4,103,26,916954
1,0,371048,274,274,4,100,13,370350
1,0,11470,45,45,2,128,54,11081
0,0,377176,139,139,4,100,13,376607
0,0,1943209,7,7,4,58,27,1942577
1,0,7470,266,266,4,128,76,6853
0,0,120884,33,33,2,108,13,120498
1,0,21243,13,13,4,16,37,20602
1,0,617680,230,230,4,15,9,617066
0,1,340144,411,411,4,100,13,339536
0,0,862102,239,239,3,1,21,861431
0,0,1875155,215,215,4,49,26,1874526
1,0,633183,231,231,2,97,9,632827
0,0,59685,47,47,4,78,55,58891
0,0,1611491,328,328,4,124,26,1610868
0,0,31626,355,355,4,23,82,31012
1,0,76266,276,276,4,48,13,75574
0,0,430625,11,11,4,135,15,430509
0,0,288480,173,173,4,101,16,287506
0,0,1187163,344,344,4,169,21,1186465
0,0,1200244,310,310,4,58,27,1199621
0,0,18926,388,388,4,152,91,18276
1,0,2115566,24,24,4,98,27,2114982
1,0,1109679,314,314,4,98,27,1109041
1,0,1559,49,49,4,44,56,987
0,0,413954,416,416,4,17,27,413337
1,0,159847,65,65,4,100,13,159101
1,0,1139142,313,313,4,58,27,1138561
1,0,462219,362,362,4,117,21,461563
1,0,1348,165,165,4,44,66,512
0,0,1344856,196,196,4,125,20,1344239
1,0,203566,68,68,2,57,13,203195
1,0,3660,193,193,4,44,67,3085
0,0,1001979,93,93,4,166,27,1001410
0,0,1671935,117,117,3,122,27,1671336
1,0,3008,160,160,4,144,45,2760
0,0,17644,346,346,4,156,79,17072
0,0,393310,278,278,4,10,29,392783
0,0,1025055,189,189,4,77,27,1024453
1,0,1654543,29,29,4,151,26,1654004
1,0,11006,12,12,4,141,36,10434
0,0,1840810,108,108,4,58,27,1840178
1,0,1182146,311,311,4,58,27,1181541
1,0,356421,429,429,3,139,12,355831
0,0,398667,246,246,4,24,15,398035
1,0,1235855,185,185,2,98,27,1235211
0,0,1806636,335,335,4,147,27,1806064
0,0,7249,51,51,4,44,56,6641
0,0,452612,279,279,4,98,27,451995
0,0,425782,137,137,2,48,13,425384
0,0,1121,1,1,4,163,31,531
1,0,725245,148,148,4,118,21,724664
0,0,7534,341,341,2,149,78,7151
0,0,14571,375,375,4,103,49,14272
0,0,244449,286,286,4,121,15,243556
0,0,622513,25,25,4,98,27,621803
0,0,261062,172,172,4,32,13,260553
0,0,253089,176,176,4,22,16,252442
0,0,305429,370,370,4,9,23,304515
0,0,690105,145,145,3,56,21,689434
1,0,26110,303,303,4,32,13,25487
0,0,55203,79,79,4,32,13,54550
1,0,6670,224,224,4,44,68,6140
0,0,467996,363,363,4,164,21,467418
0,0,1079,125,125,2,78,61,750
1,1,1784731,331,331,4,147,27,1784156
0,0,1392058,306,306,4,166,27,1391459
1,0,174019,63,63,4,48,13,173294
1,0,44727,393,393,3,68,92,44119
0,0,978860,273,273,1,119,26,978390
0,0,7294,259,259,4,44,74,6638
0,0,9111,129,129,2,78,62,8734
1,0,641578,81,81,4,55,10,640880
0,0,2852,15,15,4,37,39,2211
0,0,1610144,113,113,4,77,27,1609563
1,0,225709,67,67,3,34,13,225092
1,0,873,4,4,4,33,34,262
1,0,504309,425,425,3,146,4,503911
0,0,1707,376,376,4,89,84,1054
0,0,570400,73,73,4,116,7,569783
0,0,897457,270,270,4,61,26,896894
1,0,528985,290,290,4,15,9,528356
1,0,930600,240,240,4,169,21,929947
0,0,459742,247,247,4,27,15,459083
0,0,8892,374,374,4,4,49,8245
0,0,410431,179,179,4,64,14,409799
1,0,95645,62,62,4,113,2,95094
1,0,311313,419,419,4,137,4,310645
1,0,438791,31,31,4,144,3,438168
0,0,302673,242,242,4,47,15,302005
0,0,332148,409,409,4,100,13,331510
0,0,22912,56,56,2,132,57,22523
1,0,20624,72,72,4,69,42,19953
0,0,276224,133,133,4,83,21,275592
1,0,605996,236,236,4,6,9,605367
1,0,631273,155,155,4,99,4,630704
1,0,893116,237,237,3,11,21,892445
1,0,9993,32,32,4,129,40,9376
1,0,1448091,87,87,4,17,27,1447573
1,0,12594,195,195,4,96,46,11959
0,0,389569,245,245,4,111,15,388676
0,0,28027,42,42,4,128,52,27344
1,0,426818,134,134,4,130,4,426186
0,0,32545,260,260,4,128,75,31979
0,0,11424,39,39,3,109,51,10828
0,0,474095,352,352,4,115,16,473496
1,0,891600,269,269,1,42,26,891058
1,0,1570983,119,119,4,98,27,1570405
1,0,487260,199,199,4,126,22,486679
0,0,28680,127,127,3,165,62,27985
0,0,478938,100,100,4,3,0,478315
0,0,1109266,396,396,4,140,22,1108595
0,0,21792,343,343,4,41,78,21193
1,0,652493,234,234,4,6,9,651543
1,0,538452,143,143,4,119,21,537880
0,0,21840,227,227,4,132,70,21079
0,0,567898,122,122,2,63,18,567485
0,0,53116,395,395,5,38,92,52718
0,0,308712,368,368,4,27,15,308044
1,0,641268,232,232,4,134,9,640657
0,0,1591262,329,329,4,72,26,1590720
0,0,559332,141,141,2,82,19,558976
0,0,643220,197,197,4,67,6,642618
1,0,588625,154,154,3,110,4,587969
0,0,269583,418,418,4,137,4,268954
0,0,1591401,209,209,3,131,25,1590901
1,0,1060193,187,187,4,58,27,1059636
0,0,272757,178,178,4,22,16,271798
0,0,21892,337,337,4,54,77,21179
1,0,400683,54,54,4,158,3,400036
0,0,11825,43,43,4,128,52,11139
1,0,610947,365,365,4,169,21,610288
0,0,1183104,323,323,4,40,25,1182499
0,0,1871216,107,107,4,17,27,1870641
1,0,1100102,405,405,4,103,26,1099440
0,0,223254,287,287,4,24,15,222562
1,0,2130876,103,103,4,98,27,2130250
1,0,5418,228,228,4,78,70,4696
1,0,274287,170,170,4,100,13,273715
1,0,212591,428,428,4,81,7,211887
0,0,253619,168,168,4,32,13,252897
1,0,190891,64,64,4,100,13,190256
1,0,33533,389,389,4,148,91,32910
0,0,66227,299,299,4,122,1,65685
1,0,1038285,188,188,4,98,27,1037734
0,0,1299223,183,183,4,98,27,1298663
0,0,555039,76,76,4,80,7,554104
1,0,1790185,216,216,4,35,26,1789544
1,0,110877,152,152,5,162,2,110344
0,0,70385,296,296,4,159,14,69732
0,0,406686,135,135,4,99,4,406078
1,1,1894275,109,109,4,29,27,1893637
0,0,48963,356,356,4,106,82,48349
0,0,63431,61,61,4,128,58,62859
0,0,563485,92,92,2,18,19,563114
1,0,1947,14,14,3,142,38,1330
1,1,849658,22,22,4,124,26,849029
0,0,17246,264,264,4,44,75,16593
1,0,11667,257,257,4,44,73,10975
1,0,1192370,312,312,4,161,27,1191744
1,0,789660,147,147,4,59,21,789061
0,0,484940,353,353,4,52,16,484143
0,0,551183,223,223,2,162,18,550740
0,0,1665163,28,28,4,151,26,1664528
0,0,15815,359,359,4,51,82,15231
0,0,423275,201,201,4,5,22,422700
0,0,50225,394,394,4,103,92,49587
0,0,23909,360,360,4,143,82,23259
0,0,1935320,212,212,4,124,26,1934724
1,0,1439745,88,88,4,58,27,1439215
0,0,1646736,210,210,4,19,25,1646206
1,0,5356,348,348,4,136,81,4736
0,0,281837,177,177,4,101,16,281250
0,0,217404,21,21,4,24,15,216745
0,0,462632,136,136,4,99,4,462006
0,0,565167,380,380,2,82,19,564760
1,0,4939,6,6,4,1,32,4241
0,0,497547,249,249,4,24,15,496699
0,0,2159962,324,324,4,72,26,2159390
1,0,1722444,336,336,4,22,24,1721857
1,0,627125,83,83,4,171,10,626559
0,0,510533,430,430,4,45,5,509916
1,0,2103139,217,217,4,58,27,2102468
0,0,211634,417,417,5,8,0,211245
1,0,34921,265,265,4,128,76,34262
0,0,1578872,118,118,4,17,27,1578312
0,0,602022,158,158,4,145,4,601444
1,0,9539,194,194,4,96,46,8904
1,0,497850,293,293,4,44,9,497083
0,0,465000,351,351,4,2,16,464038
0,0,283286,423,423,4,137,4,282588
0,0,1863,41,41,4,132,52,1279
0,0,1337715,207,207,3,31,25,1337152
1,0,10499,37,37,2,95,50,10110
0,0,6256,128,128,2,132,62,5888
0,0,77237,58,58,4,132,57,76545
0,0,1685667,115,115,0,161,27,1685527
1,0,584282,131,131,4,6,9,583626
0,0,1212108,309,309,4,17,27,1211533
1,0,8071,391,391,4,88,91,7124
1,0,636879,156,156,4,130,4,636250
1,0,1357417,308,308,4,147,27,1356881
1,0,1413348,206,206,4,13,25,1412725
0,0,897652,238,238,4,164,21,897068
1,0,102031,0,0,4,105,2,101630
0,0,460277,280,280,4,58,27,459570
1,0,550961,288,288,4,15,9,550314
1,0,2082607,34,34,4,58,27,2081918
1,0,673589,182,182,4,12,26,672981
0,0,262590,284,284,4,133,15,261997
0,0,1069989,191,191,4,58,27,1069351
1,0,54130,398,398,4,53,93,53294
1,0,238595,169,169,4,32,13,237978
1,0,2039757,326,326,4,170,26,2039173
0,0,55031,263,263,4,132,75,54300
1,0,42738,390,390,4,88,91,42403
1,0,698962,95,95,4,98,27,698387
1,0,1037760,367,367,4,169,21,1037092
0,0,522585,431,431,4,20,5,522157
1,0,1653046,111,111,4,58,27,1652444
0,0,610905,153,153,4,137,4,610333
0,0,9693,358,358,4,143,82,9067
0,0,331967,150,150,4,135,15,331098
1,0,57983,60,60,4,132,58,57381
0,0,488252,248,248,4,133,15,487683
0,0,152203,400,400,4,93,93,151562
1,0,7816,166,166,4,128,66,6941
0,0,473006,250,250,4,135,15,472107
1,0,8984,253,253,4,78,71,8412
0,0,296422,241,241,4,135,15,295724
0,0,786,371,371,4,36,83,88
0,0,541203,101,101,4,67,6,540331
1,0,1896,252,252,4,78,71,1198
0,0,433446,202,202,4,5,22,432955
0,0,297265,220,220,4,158,3,296609
0,0,421453,415,415,4,161,27,420860
1,0,10738,161,161,4,132,65,10142
0,0,422988,180,180,4,64,14,422386
0,0,739582,268,268,4,72,26,738989
0,0,741926,198,198,4,47,15,741234
1,0,2021354,35,35,4,17,27,2020752
0,0,22510,52,52,3,158,41,21845
0,0,12963,339,339,4,54,77,12349
1,0,1279824,186,186,4,17,27,1279111
0,0,2141017,325,325,4,49,26,2140400
1,0,213605,69,69,4,48,13,212727
1,0,649380,233,233,4,6,9,648745
1,0,1773473,332,332,3,122,27,1772775
1,0,542828,289,289,4,6,9,542232
1,0,3185,159,159,4,128,64,2544
1,0,1094415,316,316,4,58,27,1093786
0,0,548259,140,140,2,74,19,547909
0,0,4704,225,225,4,128,69,4066
0,0,67780,413,413,4,32,13,67067
0,0,288418,219,219,4,112,3,287768
1,0,498188,427,427,4,70,8,497556
1,0,633393,80,80,4,60,10,632488
0,0,606832,84,84,4,49,26,606242
1,0,11303,48,48,4,78,55,10641
1,0,667099,3,3,4,6,9,666332
