StrandOrientation,GeneDescription,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,OrthologousGene,ChromosomeId,GenomicStartPosition
0,0,14547,25,25,2,46,50,12235
1,0,1983,1,1,5,4,33,1
1,0,21057,155,155,2,43,3,18763
0,0,388287,239,239,2,115,16,385492
0,0,69594,36,36,2,46,56,66700
0,0,185153,28,28,2,128,26,182502
0,0,110238,228,228,3,100,85,107374
0,0,768058,80,80,2,71,23,765323
1,0,8573,215,215,2,64,82,6039
1,0,2099,5,5,5,124,35,3
1,0,191757,116,116,2,58,10,188965
1,0,205713,246,246,2,19,9,202903
1,0,1409461,102,102,3,33,28,1406588
1,0,775880,132,132,2,80,29,773208
1,0,12861,240,240,2,108,87,10087
0,0,735391,130,130,2,73,29,733043
0,0,1731005,190,190,3,8,27,1728183
0,0,171302,231,231,4,12,12,169443
1,0,187696,247,247,2,15,9,185057
1,0,2050620,21,21,2,111,30,2048281
1,0,54570,32,32,3,55,42,51787
0,0,222070,177,177,2,66,5,219359
0,0,1169591,223,223,3,107,24,1166769
0,0,14845,52,52,3,51,58,11996
1,0,935144,133,133,2,85,29,932427
0,0,8596,127,127,2,51,70,5819
0,0,63923,61,61,2,91,44,61338
0,0,42017,199,199,1,49,79,39222
1,0,1150558,192,192,1,88,23,1147775
1,0,665447,78,78,3,22,23,662586
0,0,276688,210,210,1,96,24,274223
1,0,396615,250,250,1,10,18,394090
0,0,381075,237,237,2,17,16,378301
1,0,2102129,105,105,2,101,29,2099463
0,0,255561,22,22,1,38,23,253126
1,0,22052,241,241,2,8,88,19278
0,0,198843,129,129,2,78,5,196225
0,0,763632,131,131,2,73,29,761305
0,0,421319,160,160,2,126,15,418704
1,0,167573,41,41,3,27,19,164778
1,0,4709,35,35,2,51,55,2067
1,0,597333,3,3,1,10,18,595705
