StrandOrientation,GeneDescription,GeneType,GenomicStartPosition,ChromosomeId,GeneLabel,GeneDbId,GenomicEndPosition
1,0,0,10931,3,156,156,13678
0,0,0,465485,6,72,72,468388
0,0,1,473501,5,149,149,476059
1,0,1,1149578,28,179,179,1152001
1,0,0,1005114,23,206,206,1007699
1,0,0,1126764,30,169,169,1129346
0,0,0,694046,23,77,77,696919
0,0,0,1154469,29,236,236,1156973
1,0,0,218443,9,141,141,221070
0,0,0,460986,16,84,84,463778
1,0,0,4757,36,6,6,7513
1,0,0,1550629,28,181,181,1553361
0,0,0,278046,23,68,68,280853
0,0,0,543824,8,50,50,546370
0,0,0,396772,16,238,238,399549
0,0,0,18310,44,61,61,20976
0,0,0,814468,23,82,82,817323
0,0,1,405750,5,19,19,408107
1,0,0,57859,85,227,227,60414
1,0,0,985546,23,207,207,988200
0,0,0,22858,39,12,12,25731
0,0,0,242583,0,52,52,245264
0,0,0,2051,69,125,125,4732
0,0,0,18858,60,63,63,21506
1,0,0,20358,71,128,128,23129
0,0,0,425663,18,73,73,428401
1,0,0,948302,29,134,134,950785
0,0,0,31414,60,64,64,34218
0,0,1,2062416,29,104,104,2065088
0,0,0,12226,19,157,157,15093
0,0,0,1248512,28,180,180,1251196
1,0,0,350182,18,249,249,352788
1,0,0,563344,6,140,140,565683
0,0,0,8450,37,7,7,11062
1,0,0,211077,13,0,0,212927
0,0,0,1197396,23,193,193,1200167
0,0,0,649424,8,99,99,652210
1,0,0,2198634,30,58,58,2201057
0,0,0,13502,54,34,34,16153
0,0,0,116878,2,255,255,119436
1,0,0,11776,86,230,230,14331
0,0,1,1630521,29,186,186,1633076
0,0,0,4541,68,124,124,7054
1,0,0,453903,5,18,18,456596
1,0,0,942,80,211,211,3590
1,0,0,1755496,30,188,188,1757922
0,0,0,1981915,30,187,187,1984371
1,0,0,526820,1,175,175,529696
0,0,0,269451,23,69,69,272153
1,0,0,421607,6,70,70,423886
1,0,0,376740,32,170,170,379418
0,0,0,1187140,24,225,225,1189938
1,0,0,7772,38,9,9,10603
0,0,0,32438,59,55,55,35248
0,0,0,1541,34,4,4,3982
0,0,0,864531,23,117,117,867065
1,0,0,457457,13,148,148,460231
0,0,1,2111357,29,56,56,2113696
0,0,0,780839,23,81,81,783613
1,0,0,32611,75,191,191,35322
0,0,0,504105,23,23,23,506933
1,0,0,38613,84,219,219,41459
0,0,0,581721,1,174,174,584285
0,0,0,402317,15,161,161,404953
0,0,0,13142,65,113,113,16042
1,0,1,571897,13,147,147,574686
1,0,0,594229,8,98,98,596823
0,0,1,69066,3,154,154,71558
0,0,0,1099539,24,226,226,1102343
0,0,0,553878,7,252,252,556640
0,0,0,20457,72,146,146,22835
0,0,1,14982,51,26,26,17633
1,0,0,2169063,29,182,182,2171498
1,0,0,313,63,89,89,3099
1,0,0,2178147,30,57,57,2180588
0,0,0,1862957,29,108,108,1865809
1,0,0,2057611,29,183,183,2060220
1,0,0,5538,72,144,144,8030
0,0,0,30969,42,31,31,33755
1,0,0,9926,85,229,229,12466
1,0,0,1648582,29,14,14,1650945
0,0,0,1179322,24,224,224,1181628
1,0,0,578836,8,97,97,580806
0,0,0,318503,30,171,171,321121
1,0,0,877992,29,135,135,880730
0,0,1,35192,45,66,66,37975
1,0,0,153649,19,37,37,156435
1,0,0,246272,9,76,76,249052
1,0,0,341906,0,16,16,344245
1,0,0,191840,9,248,248,194602
0,0,0,533287,15,256,256,536061
0,0,0,1825916,29,110,110,1828534
1,0,0,448496,6,71,71,450835
0,0,0,4697,49,24,24,7162
0,0,0,415123,16,138,138,417885
1,0,0,234584,9,75,75,237391
0,0,0,12235,50,25,25,14547
1,0,0,1,33,1,1,1983
1,0,0,18763,3,155,155,21057
0,0,0,385492,16,239,239,388287
0,0,0,9187,57,44,44,11601
0,0,0,182502,26,28,28,185153
0,0,0,107374,85,228,228,110238
0,0,0,765323,23,80,80,768058
1,0,0,6039,82,215,215,8573
1,0,0,3,35,5,5,2099
1,0,0,188965,10,116,116,191757
1,0,0,202903,9,246,246,205713
1,0,0,1406588,28,102,102,1409461
1,0,0,773208,29,132,132,775880
1,0,0,10087,87,240,240,12861
0,0,0,733043,29,130,130,735391
0,0,0,1728183,27,190,190,1731005
0,0,0,169443,12,231,231,171302
1,0,0,185057,9,247,247,187696
1,0,0,2048281,30,21,21,2050620
1,0,0,51787,42,32,32,54570
0,0,0,219359,5,177,177,222070
0,0,0,1166769,24,223,223,1169591
1,0,1,113,59,53,53,2776
1,0,0,932427,29,133,133,935144
0,0,0,5819,70,127,127,8596
0,0,0,61338,44,60,60,63923
0,0,1,39222,79,199,199,42017
1,0,1,1147775,23,192,192,1150558
1,0,0,662586,23,78,78,665447
0,0,1,274223,24,210,210,276688
1,0,1,394090,18,250,250,396615
0,0,0,378301,16,237,237,381075
1,0,0,2099463,29,105,105,2102129
0,0,1,253126,23,22,22,255561
1,0,0,19278,88,241,241,22052
0,0,0,196225,5,129,129,198843
0,0,0,761305,29,131,131,763632
0,0,0,418704,15,160,160,421319
1,0,0,164778,19,40,40,167573
1,0,0,2067,55,35,35,4709
1,0,1,595705,18,3,3,597333
