StrandOrientation,GeneType,GenomicStartPosition,ChromosomeId,EncodedProtein,GeneDbId,GenomicEndPosition
0,0,69732,15,4,303,70385
0,0,2228,89,4,384,2893
1,0,35462,14,4,21,36160
1,1,627354,13,3,188,628319
0,1,978390,27,1,281,978860
0,0,287506,17,4,178,288480
0,0,331098,16,4,157,331967
0,0,467418,22,4,366,467996
0,0,1344239,21,4,203,1344856
0,0,339536,14,4,413,340144
0,0,217234,17,4,170,218124
1,0,10641,56,4,52,11303
1,0,11959,47,4,202,12594
1,0,789061,22,4,155,789660
1,0,854569,27,4,25,855201
1,0,262,35,4,6,873
0,0,15472,80,4,344,16035
1,0,301183,14,4,284,301818
1,0,3,36,5,11,281
0,0,578253,7,4,77,578960
0,0,1664528,27,4,31,1665163
1,0,537880,22,4,149,538452
0,0,277617,16,4,250,278450
0,0,472107,16,4,260,473006
1,0,10142,67,4,169,10738
0,1,14972,43,1,124,15631
1,0,2130250,28,4,105,2130876
0,0,750414,16,4,205,750998
1,0,497083,10,4,299,497850
1,0,652923,11,4,84,653543
1,0,698387,28,4,98,698962
1,0,350453,14,2,414,350824
1,0,583626,10,4,136,584282
0,0,425384,14,2,145,425782
0,0,1182499,26,4,328,1183104
0,0,160181,96,4,403,160801
1,0,5495,60,4,95,6106
0,0,392783,30,4,287,393310
1,0,513441,10,4,298,514088
1,0,666332,10,4,5,667099
0,0,243556,16,4,293,244449
0,0,222562,16,4,294,223254
0,0,259935,17,4,180,260483
0,0,1069351,28,4,198,1069989
1,0,197730,10,4,44,198335
1,0,1235211,28,2,191,1235855
0,0,1108595,23,4,398,1109266
0,0,5628,91,4,387,6197
1,0,38181,14,4,79,38888
0,0,2159390,27,4,329,2159962
0,0,1410949,28,4,23,1411596
1,0,2152117,28,4,106,2152710
0,0,22523,58,2,60,22912
1,0,1612,48,4,290,2442
1,0,672981,27,4,189,673589
0,1,1671336,28,3,119,1671935
0,0,10535,49,4,375,11230
0,0,1874526,27,4,225,1875155
1,0,310645,4,4,422,311313
1,0,273715,14,4,176,274287
0,0,432955,23,4,210,433446
1,0,35961,90,4,385,36542
0,0,540331,6,4,104,541203
1,0,374536,12,4,122,375081
1,0,1133424,27,4,408,1134002
0,0,1472456,28,4,88,1473130
0,1,1260970,26,3,327,1261581
0,0,531,32,4,3,1121
0,0,404699,14,4,144,405277
1,0,1580900,26,4,220,1581481
1,0,204,48,4,289,1049
1,0,327337,4,4,424,327963
0,0,1391459,28,4,311,1392058
0,0,252442,17,4,181,253089
0,0,896894,27,4,278,897457
1,0,358038,14,2,283,358436
1,0,129,54,4,48,782
1,0,370350,14,4,282,371048
0,0,1931470,28,4,107,1932015
1,0,6853,79,4,274,7470
1,0,75574,14,4,285,76266
1,0,15666,37,4,14,16265
1,0,605367,10,4,245,605996
0,0,331510,14,4,411,332148
0,1,844098,22,3,369,844685
1,0,1789544,27,4,226,1790185
1,0,617066,10,4,240,617680
0,0,16375,56,4,50,17055
0,0,1590720,27,4,333,1591262
0,0,31012,85,4,358,31626
0,0,67067,14,4,415,67780
0,0,424565,16,4,255,425359
0,0,281250,17,4,182,281837
0,0,1169145,22,4,349,1169771
1,0,1191744,28,4,318,1192370
0,0,18276,94,4,390,18926
1,0,2102468,28,4,227,2103139
1,0,1093786,28,4,321,1094415
0,0,58891,56,4,51,59685
1,0,394403,28,4,43,395098
0,0,128075,14,2,416,128464
1,0,1132212,28,4,320,1132814
0,1,384969,22,3,22,385637
0,0,25390,67,4,168,26079
0,0,567310,20,2,382,567879
1,0,190256,14,4,67,190891
1,0,6941,68,4,172,7816
1,0,755460,28,4,100,756041
1,0,1652444,28,4,113,1653046
0,0,6637,45,4,138,7200
0,0,17072,82,4,350,17644
1,0,388043,29,2,199,388432
0,0,1001410,28,4,96,1001979
0,0,1610868,27,4,332,1611491
1,0,5631,36,4,12,6125
0,0,1806064,28,4,339,1806636
1,0,1149983,28,4,317,1150552
1,0,376496,12,4,364,377041
0,0,388676,16,4,256,389569
0,0,1211533,28,4,314,1212108
1,0,1793264,28,4,335,1793869
1,0,987,57,4,53,1559
0,0,420860,28,4,417,421453
0,0,410251,14,2,146,410649
1,1,2637,31,3,1,2936
0,1,689434,22,3,152,690105
0,0,7151,81,2,345,7534
0,0,8245,50,4,377,8892
0,0,237338,16,4,291,237931
0,0,614912,28,4,18,615493
0,0,252897,14,4,174,253619
0,0,243160,17,4,184,244194
0,0,1175530,23,4,399,1176204
1,0,668282,22,4,153,668902
1,0,22609,14,2,308,22995
1,0,46335,14,4,80,47042
1,0,3085,69,4,200,3660
1,0,461563,22,4,365,462219
0,0,9749,62,4,129,10321
1,1,1772775,28,3,336,1773473
1,0,1367977,28,4,312,1368555
1,0,170208,14,4,69,170789
1,1,44119,95,3,395,44727
0,0,916954,27,4,279,917604
0,0,16820,76,4,267,17407
0,0,5888,64,2,133,6256
1,0,632488,11,4,82,633393
1,1,1330,39,3,16,1947
0,0,1603452,28,4,116,1604078
1,0,218985,14,4,72,219644
1,0,1004,34,4,4,1579
0,0,462006,4,4,143,462632
0,0,1054,87,4,379,1707
0,0,554104,7,4,78,555039
1,1,891058,27,1,277,891600
1,0,522417,10,4,297,522983
0,0,897068,22,4,247,897652
0,0,444747,16,4,137,445439
0,0,5141,50,4,376,5761
0,0,406639,15,4,187,407298
1,0,95094,2,4,65,95645
1,0,296102,4,4,421,296809
1,0,438168,3,4,34,438791
0,0,295724,16,4,251,296422
1,0,311224,14,2,412,311595
1,0,39237,57,4,54,39701
0,1,21845,42,3,56,22510
0,0,261515,22,4,39,262228
1,0,602248,10,4,244,603114
0,0,610333,4,4,160,610905
0,1,861431,22,3,248,862102
0,0,8095,40,4,17,8700
1,0,1439215,28,4,91,1439745
1,0,8904,47,4,201,9539
0,0,367096,16,4,158,367683
0,0,11139,53,4,47,11825
0,0,406078,4,4,142,406686
0,0,31979,78,4,269,32545
0,0,1341,52,4,41,2027
0,0,464038,17,4,355,465000
1,1,873739,27,3,280,874302
0,0,1521722,28,4,87,1522297
0,0,455483,23,4,324,456160
0,0,8734,64,2,134,9111
0,0,478315,0,4,103,478938
1,0,494134,23,4,207,494817
0,0,21193,81,4,347,21792
1,0,648745,10,4,243,649380
0,1,498789,22,3,367,499409
1,0,12851,72,4,237,13606
0,0,550740,19,2,233,551183
0,0,52718,95,5,397,53116
0,0,302005,16,4,252,302673
1,0,632827,10,2,241,633183
0,0,1148204,27,4,410,1148872
0,0,547909,20,2,147,548259
1,0,626603,6,4,101,627298
1,0,554545,4,4,429,555039
0,0,268954,4,4,420,269583
0,0,1586741,26,4,217,1587490
1,0,1037734,28,4,195,1038285
0,0,265723,17,4,179,266589
0,0,21179,80,4,341,21892
1,0,400036,3,4,58,400683
0,0,1279,53,4,45,1863
1,0,563632,22,4,151,564291
1,0,1721857,25,4,340,1722444
1,0,1850192,28,4,110,1850809
1,0,1080440,27,4,406,1081012
0,0,216745,16,4,24,217404
1,0,2114982,28,4,27,2115566
0,0,10139,71,4,236,10783
0,0,266226,14,4,177,266951
0,0,642618,6,4,204,643220
1,0,237978,14,4,175,238595
1,0,173294,14,4,66,174019
1,0,32910,94,4,391,33533
0,0,65685,1,4,305,66227
1,0,1032121,28,4,196,1032696
1,0,1279111,28,4,192,1279824
0,0,548651,7,4,75,549268
0,1,1738420,27,3,29,1738968
1,0,110344,2,5,159,110877
1,1,43754,15,3,304,44362
1,0,374682,4,4,426,375323
0,0,1870641,28,4,109,1871216
0,0,48349,85,4,359,48963
1,0,57381,59,4,64,57983
0,0,558976,20,2,148,559332
1,0,20602,38,4,15,21243
1,1,807330,27,3,26,807869
0,0,1954,78,4,270,2682
0,0,4128,75,4,264,4829
1,0,1181541,28,4,316,1182146
0,0,777242,22,4,154,777907
0,0,473496,17,4,356,474095
0,0,548190,19,2,232,548591
1,0,1654004,27,4,32,1654543
0,0,15231,85,4,362,15815
1,0,416753,23,4,209,417430
0,0,49587,95,4,396,50225
0,0,23259,85,4,363,23909
0,0,1885670,27,4,224,1886263
0,0,1420101,28,4,92,1420673
0,0,1627475,26,4,218,1628056
1,0,4736,84,4,352,5356
0,0,271798,17,4,183,272757
0,0,422386,15,4,186,422988
0,0,430704,4,4,427,431207
0,0,563114,20,2,94,563485
1,0,1236,33,4,7,1739
0,0,487683,16,4,258,488252
0,0,2140400,27,4,330,2141017
0,0,304515,24,4,373,305429
1,1,209840,11,3,139,210445
1,0,636250,4,4,163,636879
1,0,2091055,28,4,38,2091750
0,0,211245,0,5,419,211634
1,0,34262,79,4,273,34921
1,0,1570405,28,4,121,1570983
0,0,595866,4,4,164,596495
1,0,2760,46,4,167,3008
1,0,490859,10,4,300,491431
0,0,458125,17,4,354,458814
0,0,282588,4,4,425,283286
0,1,10828,52,3,42,11424
1,0,1306226,26,4,214,1306828
0,0,14272,50,4,378,14571
0,0,8539,63,4,131,9261
0,0,70109,58,4,61,70633
0,0,1677395,28,4,118,1677970
1,0,565864,10,4,301,566496
0,0,1199621,28,4,315,1200244
1,0,7124,94,4,393,8071
1,0,630704,4,4,162,631273
0,0,1298663,28,4,190,1299223
0,1,1337152,26,3,216,1337715
1,1,892445,22,3,246,893116
1,0,101630,2,4,0,102031
0,0,451995,28,4,288,452612
1,0,542232,10,4,295,542828
0,0,2067425,28,4,37,2067976
1,0,631654,27,4,86,632235
0,0,252895,16,4,292,253563
1,0,1059636,28,4,194,1060193
1,0,53294,96,4,400,54130
1,1,225092,14,3,70,225709
0,0,2015537,27,4,331,2016292
0,0,54300,78,4,272,55031
1,0,42403,94,4,392,42738
0,0,682675,28,4,99,683253
1,0,929947,22,4,249,930600
0,0,509916,5,4,431,510533
1,0,1637185,28,4,114,1637787
0,0,601444,4,4,165,602022
0,0,9067,85,4,361,9693
0,0,325122,16,4,372,325661
0,0,84681,58,4,63,85370
0,0,481446,16,4,261,482096
0,0,151562,96,4,402,152203
1,0,512,68,4,171,1348
0,0,459083,16,4,257,459742
1,0,1198,74,4,262,1896
0,0,284026,16,4,253,285006
0,0,88,86,4,374,786
0,0,520573,6,4,213,521226
0,0,3386,73,4,238,4012
0,0,422700,23,4,208,423275
0,0,296609,3,4,230,297265
0,0,413337,28,4,418,413954
1,0,2544,66,4,166,3185
0,0,409799,15,4,185,410431
1,0,716974,27,4,275,717564
0,0,496699,16,4,259,497547
0,0,1972666,28,4,334,1973331
1,0,9376,41,4,35,9993
0,0,12349,80,4,343,12963
1,0,1273459,28,4,193,1274037
1,1,2089832,27,3,221,2090413
1,0,203195,14,2,71,203566
1,0,640657,10,4,242,641268
0,0,1749048,28,4,337,1749740
1,0,536468,10,4,296,537100
0,0,3962,65,4,135,4555
0,0,1077559,28,4,197,1078119
0,0,567485,19,2,125,567898
1,0,6140,70,4,234,6670
0,0,54550,14,4,81,55203
0,0,287768,3,4,229,288418
0,0,165327,9,4,20,165971
1,0,626559,11,4,85,627125
0,0,1646206,26,4,219,1646736
1,0,11081,55,2,49,11470
1,0,660867,10,4,2,661517
