Gender,Biography,Nationality,BirthDate,FirstName,FullName,GoogleKnowledgeGraphId,Birthplace,AlmaMater,NativeName,Profession
1,53,2,6,70,126,114,15,13,45,39
1,87,2,199,64,73,29,33,10,0,5
1,78,7,203,64,163,44,64,10,0,48
1,101,2,192,117,217,5,54,10,0,10
1,78,2,141,64,10,127,79,10,0,7
0,53,2,49,63,116,167,64,10,0,39
1,25,2,110,96,175,142,21,10,100,14
1,41,2,31,64,17,10,17,6,16,27
1,78,7,150,64,82,17,64,10,0,48
1,108,2,37,13,30,167,31,10,102,25
0,97,2,166,4,6,116,64,10,0,10
1,60,2,73,64,124,125,7,10,0,39
1,93,2,113,43,78,87,73,10,0,10
1,38,2,15,51,92,167,47,10,51,24
1,67,2,193,64,42,57,64,10,0,48
1,68,2,63,36,60,167,90,10,56,50
1,58,2,38,53,97,103,35,10,55,39
1,36,2,68,43,69,167,20,10,92,24
0,73,2,32,64,205,158,64,10,32,60
1,11,2,196,64,168,26,90,10,91,5
1,105,2,107,19,38,167,24,10,115,24
1,65,2,22,64,112,167,65,10,0,45
1,53,2,57,62,111,167,3,10,105,39
1,51,2,64,64,158,150,90,10,79,37
1,45,2,34,64,156,11,90,10,28,29
1,78,4,207,64,93,59,64,10,0,5
1,5,2,133,54,99,128,5,10,60,2
1,106,2,46,64,46,105,48,10,0,24
1,78,2,110,116,213,106,101,10,34,55
1,78,2,84,1,2,110,64,10,81,2
0,76,2,104,64,136,74,36,10,0,19
1,62,2,160,74,134,90,94,10,0,42
1,76,2,19,105,190,167,90,10,120,33
1,75,2,158,84,149,167,96,10,73,3
1,0,2,5,76,137,81,64,4,9,59
1,78,2,135,85,151,101,48,10,0,32
1,33,2,80,31,52,120,13,10,0,22
1,72,2,7,35,57,167,26,10,41,56
1,108,2,91,64,180,167,71,10,0,25
1,107,2,60,82,145,167,37,10,26,29
1,21,2,33,67,121,167,45,10,0,13
1,78,2,43,83,146,139,68,10,85,54
1,78,4,2,64,212,56,64,10,0,39
1,112,3,164,7,13,25,64,10,0,48
1,11,2,216,69,125,63,36,10,0,5
0,10,2,95,64,171,39,2,10,0,4
0,14,2,161,75,135,96,11,10,14,10
0,17,2,206,87,154,51,70,10,0,10
1,19,2,59,35,129,167,47,10,2,12
1,90,2,96,64,79,79,2,10,0,10
0,72,2,151,64,86,167,90,10,94,56
1,100,2,182,64,157,164,0,10,0,10
1,99,2,181,99,178,159,31,10,0,10
1,5,2,111,104,189,152,90,10,30,2
1,108,2,83,64,192,167,34,10,0,25
1,53,2,40,47,84,124,44,10,6,39
1,63,2,114,34,56,167,62,10,54,24
0,26,2,152,64,47,167,102,10,0,4
1,11,2,209,64,110,55,28,10,0,5
1,4,2,3,64,114,167,39,13,13,40
1,53,2,112,12,29,130,100,10,0,39
1,87,2,191,64,225,2,73,10,0,5
1,23,2,1,64,187,43,64,10,0,14
0,35,2,30,64,196,137,90,10,0,23
1,36,2,74,29,50,126,64,10,83,24
1,91,2,100,28,49,133,95,10,0,10
1,78,4,45,104,186,71,64,10,0,39
0,18,2,163,101,181,140,64,10,39,10
0,53,2,146,39,65,16,6,10,42,39
1,9,2,18,64,159,95,64,10,0,3
1,11,2,210,64,113,64,5,3,0,5
1,11,2,145,17,34,167,103,10,76,5
1,57,2,35,64,198,153,73,10,122,39
1,42,2,101,64,197,78,64,10,25,25
1,54,2,17,48,88,80,5,10,58,39
1,14,2,211,9,24,65,56,7,0,10
1,59,2,72,92,167,132,8,10,0,2
