StrandOrientation,GeneDescription,GenomicStartPosition,GeneDbId,GenomicEndPosition
1,0,411981,283,412598
1,0,513441,296,514088
1,0,666332,4,667099
0,0,243556,291,244449
0,0,222562,292,223254
0,0,259935,178,260483
0,0,1077559,195,1078119
1,0,197730,42,198335
1,0,1242540,189,1243238
0,0,1175530,399,1176204
0,0,5628,387,6197
1,0,38181,79,38888
0,0,374062,41,374682
0,0,1420101,91,1420673
1,0,388043,197,388432
0,0,70109,59,70633
0,0,10535,374,11230
0,0,694383,308,694973
0,0,1677395,118,1677970
0,0,5141,375,5761
0,0,1885670,220,1886263
1,0,310645,422,311313
1,0,273715,174,274287
0,0,455483,322,456160
1,0,35961,385,36542
0,0,540331,103,541203
1,0,374536,122,375081
1,0,1142287,409,1142859
1,0,1480762,93,1481322
1,0,1306226,211,1306828
1,0,1236,6,1739
0,0,404699,142,405277
0,0,1586741,214,1587490
1,0,1612,288,2442
1,1,327337,424,327963
0,0,1410949,21,1411596
0,0,252442,179,253089
0,0,916954,276,917604
1,0,358038,280,358436
1,0,11081,47,11470
1,0,370350,279,371048
0,0,1942577,9,1943209
1,0,6853,271,7470
1,0,75574,282,76266
1,0,20602,14,21243
1,0,605367,241,605996
0,0,331510,411,332148
0,0,844098,368,844685
0,0,1874526,221,1875155
1,0,617066,236,617680
0,0,58891,49,59685
0,0,1610868,331,1611491
0,0,31012,357,31626
0,0,67067,415,67780
0,0,424565,250,425359
0,0,281250,180,281837
0,0,1186465,347,1187163
0,0,1199621,313,1200244
0,0,18276,390,18926
1,0,2114982,25,2115566
1,0,1109041,317,1109679
1,0,987,51,1559
0,0,413337,418,413954
0,0,128075,416,128464
1,0,1138561,316,1139142
0,0,384969,20,385637
1,0,512,169,1348
0,0,567310,381,567879
1,0,190256,66,190891
1,0,3085,198,3660
0,0,1001410,95,1001979
0,0,1671336,119,1671935
1,0,2760,165,3008
0,0,17072,349,17644
0,0,392783,284,393310
0,0,1024453,194,1025055
1,0,1654004,30,1654543
1,0,10434,13,11006
0,0,1840178,110,1840810
1,0,1181541,314,1182146
1,0,376496,363,377041
0,0,388676,251,389569
1,0,1235211,190,1235855
0,0,1806064,338,1806636
0,0,6641,53,7249
0,0,451995,285,452612
0,0,410251,144,410649
0,0,531,2,1121
0,0,689434,150,690105
0,0,7151,344,7534
0,0,14272,377,14571
0,0,237338,289,237931
0,0,621803,26,622513
0,0,252897,172,253619
0,0,243160,182,244194
0,0,304515,372,305429
1,0,668282,151,668902
1,0,22609,306,22995
1,0,46335,80,47042
1,0,6140,230,6670
1,0,461563,364,462219
0,0,750,128,1079
1,1,1784156,334,1784731
0,0,1391459,309,1392058
1,0,170208,68,170789
1,0,44119,395,44727
0,0,978390,278,978860
0,0,6638,264,7294
0,0,8734,132,9111
1,0,632488,82,633393
0,0,2211,16,2852
0,0,1609563,115,1610144
1,0,218985,71,219644
1,0,262,5,873
0,0,462006,141,462632
0,0,1054,378,1707
0,0,554104,78,555039
0,0,896894,275,897457
1,0,522417,295,522983
1,0,929947,244,930600
0,0,444747,135,445439
0,0,8245,376,8892
0,0,406639,185,407298
1,0,95094,64,95645
1,0,296102,421,296809
1,0,438168,32,438791
0,0,295724,246,296422
1,0,311224,412,311595
0,0,22523,58,22912
1,0,19953,74,20624
0,0,261515,37,262228
1,0,602248,240,603114
0,0,610333,158,610905
0,0,861431,243,862102
1,0,9376,33,9993
1,0,1447573,89,1448091
1,0,11959,200,12594
0,0,367096,156,367683
0,0,27344,44,28027
0,0,406078,140,406686
0,0,31979,265,32545
0,0,10828,40,11424
0,0,464038,354,465000
1,0,891058,274,891600
1,0,1570405,121,1570983
1,0,486679,204,487260
0,0,27985,130,28680
0,0,478315,102,478938
0,0,1108595,398,1109266
0,0,21193,346,21792
1,0,648745,239,649380
0,0,498789,366,499409
0,0,21079,233,21840
0,0,550740,229,551183
0,0,52718,397,53116
0,0,302005,247,302673
1,0,632827,237,633183
0,0,1590720,332,1591262
0,0,547909,145,548259
1,0,626603,100,627298
1,0,554545,429,555039
0,0,268954,420,269583
0,0,1590901,215,1591401
1,0,1059636,192,1060193
0,0,265723,177,266589
0,0,21179,340,21892
1,0,400036,56,400683
0,0,11139,45,11825
1,0,563632,149,564291
0,0,1182499,326,1183104
0,0,1870641,109,1871216
1,0,1099440,407,1100102
0,0,216745,22,217404
1,0,2130250,105,2130876
1,0,4696,234,5418
0,0,266226,175,266951
0,0,642618,202,643220
1,0,237978,173,238595
1,0,173294,65,174019
1,0,32910,391,33533
0,0,65685,303,66227
1,0,1037734,193,1038285
0,0,1298663,188,1299223
0,0,548651,75,549268
1,0,1789544,222,1790185
1,0,110344,157,110877
1,0,43754,302,44362
1,0,374682,426,375323
1,1,1893637,111,1894275
0,0,48349,358,48963
0,0,62859,63,63431
0,0,558976,146,559332
1,0,1330,15,1947
1,1,849029,23,849658
0,0,16593,269,17246
1,0,10975,262,11667
1,0,1191744,315,1192370
0,0,777242,152,777907
0,0,473496,355,474095
0,0,548190,228,548591
0,0,1664528,29,1665163
0,0,15231,361,15815
0,0,422700,206,423275
0,0,49587,396,50225
0,0,23259,362,23909
0,0,1934724,218,1935320
1,0,1439215,90,1439745
0,0,1646206,216,1646736
1,0,4736,351,5356
0,0,271798,181,272757
0,0,422386,184,422988
0,0,430704,427,431207
0,0,563114,94,563485
1,0,4241,7,4939
0,0,487683,253,488252
0,0,2159390,327,2159962
1,0,1721857,339,1722444
1,0,209840,137,210445
1,0,636250,161,636879
1,0,2102468,223,2103139
0,0,211245,419,211634
1,0,34262,270,34921
0,0,1578312,120,1578872
0,0,595866,162,596495
1,0,8904,199,9539
1,0,490859,298,491431
0,0,458125,353,458814
0,0,282588,425,283286
0,0,1279,43,1863
0,0,1337152,213,1337715
1,0,10110,38,10499
0,0,5888,131,6256
0,0,76545,60,77237
0,0,1685527,117,1685667
1,0,565864,299,566496
0,0,1211533,312,1212108
1,0,7124,393,8071
1,0,630704,160,631273
1,0,1356881,311,1357417
1,0,1412725,212,1413348
1,0,892445,242,893116
1,0,101630,0,102031
0,0,459570,286,460277
1,0,542232,293,542828
1,0,2081918,35,2082607
1,0,672981,187,673589
0,0,252895,290,253563
0,0,1069351,196,1069989
1,0,53294,400,54130
1,0,225092,69,225709
1,0,2039173,329,2039757
0,0,54300,268,55031
1,0,42403,392,42738
1,0,698387,97,698962
1,0,1037092,369,1037760
0,0,509916,431,510533
1,0,1652444,113,1653046
0,0,601444,163,602022
0,0,9067,360,9693
0,0,325122,371,325661
1,0,57381,62,57983
0,0,481446,256,482096
0,0,151562,402,152203
1,0,6941,170,7816
0,0,459083,252,459742
1,0,8412,258,8984
0,0,284026,248,285006
0,0,88,373,786
0,0,520573,210,521226
1,0,1198,257,1896
0,0,432955,207,433446
0,0,296609,226,297265
0,0,420860,417,421453
1,0,10142,166,10738
0,0,409799,183,410431
0,0,738989,273,739582
0,0,496699,254,497547
1,0,2020752,36,2021354
0,0,21845,54,22510
0,0,12349,342,12963
1,0,1279111,191,1279824
0,0,2140400,328,2141017
1,0,203195,70,203566
1,0,640657,238,641268
1,0,1772775,335,1773473
1,0,536468,294,537100
1,0,2544,164,3185
1,0,1093786,319,1094415
0,0,567485,124,567898
0,0,4066,231,4704
0,0,54550,81,55203
0,0,287768,225,288418
0,0,165327,18,165971
1,0,626559,85,627125
0,0,606242,86,606832
1,0,10641,50,11303
1,0,660867,1,661517
