Gene_Subclass,Gene_Type,Genomic_Start_Position,Strand_Orientation,Gene_Label,Encoded_Protein,Gene_Db_Id,Genomic_End_Position
0,0,308399,0,107,8,108,309925
0,0,6676,1,27,7,27,8343
1,1,67885,0,11,9,11,69439
1,1,17968,1,46,9,47,19005
1,1,499566,1,110,9,111,501101
0,0,4728247,1,70,8,71,4728447
1,1,137305,1,6,9,6,138167
1,1,61772,0,42,9,43,63306
0,0,1056242,1,82,8,83,1057855
0,0,4802227,1,93,8,94,4803585
1,1,4874521,1,96,5,97,4875012
1,1,509571,1,111,3,112,511211
1,1,4929155,0,98,2,99,4930611
1,1,2774642,1,145,9,146,2775177
1,1,285556,0,141,9,142,286908
1,1,4070196,0,85,9,86,4070879
1,1,7638,0,133,9,134,9188
1,1,1189121,1,119,9,120,1190683
1,1,156706,1,102,9,103,158094
1,1,14902,1,54,9,55,16687
0,0,236150,1,106,7,107,237565
1,1,33074,1,38,9,39,34585
1,1,4591,0,26,9,26,6249
1,1,2796528,0,148,9,149,2797682
0,0,2970543,0,153,7,154,2972153
1,1,106153,0,138,9,139,107750
1,1,14732,0,25,9,25,16196
1,1,2769468,1,144,9,145,2769881
