Gene_Subclass,Gene_Type,Genomic_Start_Position,Strand_Orientation,Gene_Label,Encoded_Protein,Gene_Db_Id,Genomic_End_Position
1,1,4625572,0,87,3,88,4626801
0,0,1577859,1,124,8,125,1579460
1,1,2789186,1,146,9,147,2790703
0,0,4802227,1,92,8,93,4803585
1,1,580638,1,111,9,112,582162
1,1,11827,1,34,9,34,13354
1,1,11985,0,25,9,25,13439
1,1,40324,1,40,9,41,41821
0,0,5281459,0,79,7,80,5282553
1,1,1516971,1,122,9,123,1518492
0,0,2880989,0,65,8,66,2882434
0,0,1788008,0,129,0,130,1789201
1,1,2899262,1,151,9,152,2900714
1,1,43850,0,136,9,137,45373
1,1,1637475,1,126,9,127,1639048
1,1,11219,1,29,10,29,12732
1,1,15187,1,35,9,35,16779
1,1,33526,0,134,9,135,35078
0,0,1791306,0,130,0,131,1792811
0,0,2584942,0,142,8,143,2586486
0,0,22009,1,31,7,31,23403
1,1,3127,1,23,9,23,4496
1,1,509571,1,110,3,111,511211
0,0,4063192,0,82,0,83,4064628
1,1,4591,0,27,9,27,6249
1,1,14245,0,53,9,54,15374
1,1,658460,1,114,9,115,660088
1,1,1291,1,18,9,18,2436
1,1,55175,1,36,9,37,56650
0,0,45691,0,42,8,43,47277
0,0,17837,1,0,8,0,19432
1,1,2796528,0,148,9,149,2797682
0,0,5379008,0,80,7,81,5380636
1,1,7965,1,52,9,53,9494
1,1,28997,0,17,9,17,29574
0,0,6676,1,28,7,28,8343
0,0,4969470,1,78,7,79,4971029
1,1,7638,0,133,9,134,9188
0,0,308399,0,106,8,107,309925
0,0,20550,0,22,7,22,22070
1,1,67885,0,11,9,11,69439
1,1,17968,1,47,9,48,19005
1,1,465860,1,108,12,109,466780
0,0,4541535,0,68,7,69,4542881
1,1,119770,1,5,9,5,121323
1,1,61772,0,43,9,44,63306
0,0,1056242,1,81,8,82,1057855
0,0,4656557,0,88,7,89,4658068
1,1,4870365,1,95,1,96,4871690
1,1,499566,1,109,9,110,501101
1,1,4906250,1,97,3,98,4907622
1,1,2769468,1,144,9,145,2769881
1,1,266604,0,140,9,141,268059
1,1,4066581,0,83,9,84,4067975
1,1,1587573,1,132,9,133,1589097
1,1,1180816,1,118,9,119,1182456
1,1,145692,1,100,9,101,147206
1,1,14902,1,54,9,55,16687
0,0,236150,1,104,7,105,237565
1,1,33074,1,39,9,40,34585
1,1,9201,0,8,9,8,10341
1,1,2793789,0,147,9,148,2794118
0,0,2970543,0,153,7,154,2972153
1,1,69197,0,137,9,138,70716
1,1,14732,0,26,9,26,16196
1,1,2652725,1,143,9,144,2653794
