Gene_Subclass,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation,Gene_Db_Id,Genomic_End_Position
1,1,29822,5,0,204,32383
1,1,68706,5,1,86,69602
1,1,180932,5,1,44,182518
1,1,15659,5,0,120,18217
1,1,87465,5,0,221,88109
1,1,537914,5,0,37,540826
1,1,3972,5,0,171,5666
1,1,267153,5,0,227,267665
1,1,28311,5,1,143,28634
1,1,1120731,5,0,216,1121147
1,1,2,5,0,161,583
1,1,909,5,1,39,2783
1,1,66466,5,1,223,67398
1,1,452610,5,0,134,453362
1,1,9216,5,0,107,11981
1,1,933350,5,0,193,935665
1,1,6119,5,1,154,9109
1,1,1,5,0,18,228
0,0,1520,1,1,20,2248
1,1,576644,5,0,165,578251
1,1,735,5,1,56,3080
1,1,42281,5,0,205,45115
1,1,1,5,1,101,2190
1,1,412,5,0,9,922
1,1,518895,5,0,136,521339
1,1,662509,5,0,135,663276
1,1,783721,5,0,69,783875
1,1,22313,5,0,117,24991
0,0,288,1,1,215,1238
1,1,3526,5,1,150,4197
0,0,947,1,1,0,1066
1,1,1159086,5,0,96,1161359
1,1,71692,5,1,213,73875
1,1,5343,5,0,50,8168
1,1,1840004,5,0,211,1842055
1,1,38052,5,1,52,40883
1,1,7402,5,1,92,9729
1,1,15238,5,0,80,17064
1,1,519241,5,0,40,521580
1,1,204852,5,1,122,207218
1,1,637990,5,0,118,640440
1,1,103,5,1,170,957
1,1,502038,5,0,75,504842
1,1,44981,5,1,115,45868
1,1,15392,5,1,55,18211
1,1,103,5,1,78,963
1,1,769332,5,0,49,772241
0,0,1097,2,0,1,1411
1,1,630173,5,0,173,630925
1,1,35374,5,1,41,35958
1,1,33176,5,1,7,34273
1,1,1,5,0,57,617
1,1,477242,5,0,137,478396
1,1,389835,5,0,108,392192
1,1,25624,5,1,220,28437
1,1,3232,5,0,219,4194
1,1,13620,5,1,33,16367
1,1,10472,5,1,197,13228
1,1,3,5,1,59,1874
1,1,49106,5,0,110,51751
0,0,580762,2,0,238,581031
1,1,183608,5,0,77,184333
1,1,380155,5,0,104,382722
1,1,7086,5,0,228,9773
1,1,8487,5,1,83,10829
1,1,279111,5,0,155,281858
1,1,323649,5,0,105,326018
1,1,109194,5,0,88,112160
1,1,3,5,1,45,563
1,1,7165,5,0,81,8610
1,1,247890,5,0,175,250640
1,1,1018377,5,0,164,1020701
1,1,21104,5,0,167,23344
1,1,55331,5,1,53,57748
1,1,5580,5,1,100,7904
0,0,2010699,3,0,3,2011553
1,1,26201,5,1,114,26773
1,1,2030554,5,0,142,2033316
1,1,15195,5,1,208,15743
1,1,821002,5,0,214,822273
1,1,15296,5,0,28,16756
1,1,86619,5,1,98,88412
1,1,4494,5,0,234,7310
0,0,586129,2,0,181,586872
1,1,358083,5,1,47,360854
1,1,214062,5,1,64,215357
1,1,251879,5,1,182,254233
1,1,26184,5,0,139,26957
1,1,855554,5,0,132,856711
