Gene_Subclass,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation,Gene_Db_Id,Genomic_End_Position
1,1,112584,5,1,62,114401
1,1,39177,5,1,156,41471
0,0,1415230,1,0,19,1415811
1,1,4031,5,1,82,6985
1,1,44298,5,1,92,46358
1,1,1128836,5,0,145,1129891
1,1,1,5,0,6,535
1,1,11061,5,0,176,11717
1,1,1337487,5,0,193,1338938
1,1,31775,5,1,29,34648
1,1,55923,5,1,157,56420
1,1,42014,5,1,227,42976
1,1,211,5,0,166,2400
1,1,647,5,0,138,3058
1,1,31590,5,1,164,33980
1,1,355485,5,0,172,358301
0,0,201683,2,0,76,202126
1,1,83233,5,1,196,83691
1,1,32212,5,1,79,33312
1,1,390821,5,1,81,393196
1,1,367493,5,0,49,368350
1,1,63011,5,1,94,66037
1,1,2,5,0,16,877
1,1,2,5,0,103,1381
1,1,1152030,5,0,147,1153652
1,1,32362,5,1,34,33975
1,1,46339,5,1,231,47107
1,1,23602,5,1,151,25397
1,1,1445,5,0,128,2035
1,1,251879,5,1,180,254233
0,0,1,2,1,117,282
1,1,902475,5,0,160,903359
1,1,1112,5,0,170,3364
1,1,6310,5,0,59,8634
1,1,3256,5,0,110,6051
1,1,87465,5,0,218,88109
1,1,1,5,0,10,147
1,1,35931,5,1,149,36817
1,1,14362,5,1,24,15156
1,1,941918,5,1,161,944659
1,1,513297,5,0,236,513917
1,1,23342,5,1,188,24472
1,1,44094,5,1,232,46075
1,1,1049748,5,0,158,1050263
1,1,321,5,1,178,1991
1,1,6150,5,1,87,7580
1,1,315381,5,0,192,317768
0,0,580762,2,0,237,581031
1,1,783721,5,0,67,783875
1,1,492,5,0,17,929
1,1,3546,5,0,60,6341
1,1,28311,5,1,141,28634
1,1,389835,5,0,105,392192
0,0,1968,0,1,57,2270
1,1,627348,5,0,207,629366
1,1,606950,5,0,206,609376
1,1,1362,5,1,215,2735
1,1,1346,5,1,224,4117
1,1,4295,5,0,11,6226
1,1,478592,5,0,108,481120
1,1,3,5,0,5,215
1,1,1,5,1,143,2208
1,1,15195,5,1,205,15743
1,1,2632,5,0,100,4959
1,1,38134,5,1,90,38673
1,1,2181870,5,1,86,2184398
1,1,779186,5,0,167,781276
1,1,45609,5,1,183,46181
1,1,701207,5,0,114,703894
0,0,2028950,3,0,139,2029693
1,1,2810,5,1,44,4564
1,1,692,5,1,12,1582
1,1,605,5,0,55,3052
1,1,497942,5,0,235,498493
1,1,3066,5,0,220,6017
1,1,2173,5,1,125,4965
1,1,583600,5,0,189,585603
1,1,1,5,1,88,2706
1,1,86623,5,1,182,89160
1,1,473026,5,0,96,475584
1,1,100433,5,1,25,101201
1,1,4936,5,1,15,6087
1,1,1637255,5,0,197,1639600
1,1,1,5,1,2,1686
1,1,7736,5,1,177,10351
1,1,1397420,5,0,23,1399795
1,1,696140,5,0,71,699100
0,0,17345,1,1,30,17833
1,1,103,5,1,70,612
1,1,29822,5,0,201,32383
1,1,68706,5,1,83,69602
1,1,69540,5,1,127,71222
1,1,15659,5,0,118,18217
1,1,56951,5,0,33,57820
1,1,71692,5,1,210,73875
1,1,3972,5,0,169,5666
1,1,267153,5,0,225,267665
1,1,576644,5,0,163,578251
1,1,1120731,5,0,213,1121147
1,1,2,5,0,159,583
1,1,909,5,1,38,2783
1,1,66466,5,1,221,67398
1,1,452610,5,0,131,453362
1,1,9216,5,0,104,11981
1,1,913926,5,0,191,915785
1,1,769332,5,0,47,772241
1,1,1,5,0,18,228
0,0,1520,1,1,20,2248
1,1,72187,5,1,228,74451
1,1,735,5,1,53,3080
1,1,42281,5,0,202,45115
1,1,1,5,1,98,2190
1,1,412,5,0,9,922
1,1,518895,5,0,134,521339
1,1,611934,5,0,132,612431
1,1,747616,5,0,66,750468
1,1,22313,5,0,115,24991
0,0,288,1,1,212,1238
1,1,3526,5,1,148,4197
0,0,947,1,1,0,1066
1,1,1159086,5,0,93,1161359
1,1,63425,5,1,209,63967
1,1,5343,5,0,48,8168
1,1,1840004,5,0,208,1842055
1,1,38052,5,1,50,40883
1,1,7402,5,1,89,9729
1,1,15238,5,0,77,17064
1,1,519241,5,0,39,521580
1,1,811961,5,0,219,814312
1,1,33176,5,1,7,34273
1,1,103,5,1,168,957
1,1,502038,5,0,72,504842
1,1,44981,5,1,112,45868
1,1,855554,5,0,129,856711
1,1,109194,5,0,85,112160
1,1,750136,5,0,46,752571
0,0,1097,2,0,1,1411
1,1,630173,5,0,171,630925
0,0,794215,1,0,190,795045
0,0,586959,2,0,68,587282
1,1,1,5,0,54,617
1,1,477242,5,0,135,478396
1,1,821002,5,0,211,822273
1,1,25624,5,1,217,28437
1,1,3232,5,0,216,4194
1,1,13620,5,1,31,16367
1,1,10472,5,1,194,13228
1,1,3,5,1,56,1874
1,1,637990,5,0,116,640440
1,1,103,5,1,75,963
1,1,183608,5,0,74,184333
1,1,380155,5,0,101,382722
1,1,7086,5,0,226,9773
1,1,8487,5,1,80,10829
1,1,279111,5,0,153,281858
1,1,22973,5,1,185,23155
1,1,662509,5,0,133,663276
1,1,3,5,1,43,563
1,1,7165,5,0,78,8610
1,1,247890,5,0,173,250640
1,1,1018377,5,0,162,1020701
1,1,21104,5,0,165,23344
1,1,55331,5,1,51,57748
1,1,5580,5,1,97,7904
0,0,2010699,3,0,3,2011553
1,1,26201,5,1,111,26773
1,1,2030554,5,0,140,2033316
1,1,818471,5,0,99,821170
1,1,802591,5,0,142,805101
1,1,15296,5,0,28,16756
1,1,86619,5,1,95,88412
1,1,4494,5,0,233,7310
0,0,586129,2,0,179,586872
1,1,358083,5,1,45,360854
1,1,180932,5,1,42,182518
1,1,204852,5,1,120,207218
1,1,26184,5,0,137,26957
0,0,869711,2,0,52,870832
