Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position,Strand_Orientation
0,1654543,32,32,1654004,1
0,15815,363,363,15231,0
0,417430,209,209,416753,1
0,50225,396,396,49587,0
0,23909,364,364,23259,0
0,1886263,224,224,1885670,0
0,1420673,93,93,1420101,0
0,1628056,218,218,1627475,0
0,5356,353,353,4736,1
0,272757,183,183,271798,0
0,422988,186,186,422386,0
0,431207,427,427,430704,0
0,563485,95,95,563114,0
0,1739,7,7,1236,1
0,488252,258,258,487683,0
0,2141017,331,331,2140400,0
0,305429,374,374,304515,0
1,210445,139,139,209840,1
0,636879,163,163,636250,1
0,2091750,38,38,2091055,1
0,211634,419,419,211245,0
0,34921,274,274,34262,1
0,1570983,122,122,1570405,1
0,596495,164,164,595866,0
0,3008,167,167,2760,1
0,491431,301,301,490859,1
0,458814,355,355,458125,0
0,283286,425,425,282588,0
0,1863,45,45,1279,0
0,1306828,214,214,1306226,1
0,10499,40,40,10110,1
0,6256,133,133,5888,0
0,77237,62,62,76545,0
0,1677970,119,119,1677395,0
0,566496,302,302,565864,1
0,1200244,316,316,1199621,0
0,8071,393,393,7124,1
0,631273,162,162,630704,1
0,1299223,190,190,1298663,0
1,1337715,216,216,1337152,0
1,893116,246,246,892445,1
0,102031,0,0,101630,1
0,452612,289,289,451995,0
0,542828,296,296,542232,1
0,2067976,37,37,2067425,0
0,632235,87,87,631654,1
0,253563,293,293,252895,0
0,1060193,194,194,1059636,1
0,54130,400,400,53294,1
1,225709,71,71,225092,1
0,2016292,332,332,2015537,0
0,55031,272,272,54300,0
0,42738,392,392,42403,1
0,683253,99,99,682675,0
0,930600,249,249,929947,1
0,510533,431,431,509916,0
0,1637787,115,115,1637185,1
0,602022,165,165,601444,0
0,9693,362,362,9067,0
0,325661,373,373,325122,0
0,57983,64,64,57381,1
0,482096,261,261,481446,0
0,152203,402,402,151562,0
0,7816,172,172,6941,1
0,459742,257,257,459083,0
0,8984,263,263,8412,1
0,285006,253,253,284026,0
0,786,375,375,88,0
0,521226,213,213,520573,0
0,1896,262,262,1198,1
0,423275,208,208,422700,0
0,297265,230,230,296609,0
0,413954,418,418,413337,0
0,10738,168,168,10142,1
0,410431,185,185,409799,0
0,717564,276,276,716974,1
0,497547,259,259,496699,0
0,1973331,335,335,1972666,0
0,9993,35,35,9376,1
0,12963,344,344,12349,0
0,1274037,193,193,1273459,1
1,2090413,221,221,2089832,1
0,203566,72,72,203195,1
0,641268,242,242,640657,1
0,1749740,338,338,1749048,0
0,537100,297,297,536468,1
0,3185,166,166,2544,1
0,1078119,197,197,1077559,0
0,567898,126,126,567485,0
0,4704,235,235,4066,0
0,55203,82,82,54550,0
0,288418,229,229,287768,0
0,165971,20,20,165327,0
0,627125,86,86,626559,1
0,1646736,219,219,1646206,0
0,11303,52,52,10641,1
0,661517,2,2,660867,1
