Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Genomic_Start_Position
0,0,110238,228,228,3,0,107374
0,0,783613,78,78,2,0,780839
1,0,8573,215,215,2,0,6039
1,0,7513,3,3,2,0,4757
1,0,171781,0,0,4,0,169685
1,0,221070,140,140,2,0,218443
1,0,1484951,183,183,3,0,1482129
1,0,880730,132,132,2,0,877992
1,0,12861,240,240,2,0,10087
0,0,763632,128,128,2,0,761305
1,0,1152001,181,181,1,1,1149578
0,0,184674,5,5,2,0,182293
1,0,194602,250,250,3,0,191840
1,0,2180588,55,55,2,0,2178147
1,0,17047,37,37,2,0,14579
0,0,256062,180,180,2,0,253732
0,0,1181628,224,224,2,0,1179322
1,0,2776,51,51,1,1,113
1,0,950785,131,131,2,0,948302
0,0,8596,124,124,2,0,5819
0,0,24923,63,63,2,0,22032
0,0,42017,201,201,1,1,39222
0,0,1200167,195,195,2,0,1197396
0,0,696919,74,74,2,0,694046
0,0,316755,118,118,1,1,314314
0,0,428401,70,70,2,0,425663
0,0,388287,239,239,2,0,385492
0,0,2113696,54,54,1,1,2111357
0,0,272153,66,66,2,0,269451
1,0,22052,241,241,2,0,19278
0,0,222070,179,179,2,0,219359
1,0,775880,129,129,2,0,773208
0,0,432436,159,159,1,1,429818
1,0,180486,34,34,2,0,177754
1,0,11536,32,32,2,0,9554
0,0,15093,157,157,3,0,12226
