Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,0,1850809,110,110,4,28,1850192,1
0,0,1081012,406,406,4,171,1080440,1
0,0,217404,24,24,4,23,216745,0
0,0,2115566,27,27,4,96,2114982,1
0,0,5418,237,237,4,75,4696,1
0,0,266951,176,176,4,98,266226,0
0,0,643220,203,203,4,63,642618,0
0,0,238595,174,174,4,31,237978,1
0,0,174019,66,66,4,46,173294,1
0,0,33533,391,391,4,149,32910,1
0,0,66227,305,305,4,121,65685,0
0,0,1032696,195,195,4,57,1032121,1
0,0,1279824,191,191,4,17,1279111,1
0,0,549268,75,75,4,161,548651,0
1,0,1738968,29,29,3,40,1738420,0
0,0,110877,158,158,5,163,110344,1
1,0,44362,304,304,3,122,43754,1
0,0,375323,426,426,4,129,374682,1
0,0,1871216,109,109,4,17,1870641,0
0,0,48963,359,359,4,104,48349,0
0,0,63431,64,64,4,127,62859,0
0,0,559332,147,147,2,79,558976,0
0,0,21243,15,15,4,16,20602,1
1,0,807869,26,26,3,118,807330,1
0,0,17246,272,272,4,41,16593,0
0,0,11667,265,265,4,41,10975,1
0,0,1182146,316,316,4,57,1181541,1
0,0,777907,153,153,4,117,777242,0
0,0,474095,356,356,4,114,473496,0
0,0,548591,231,231,2,40,548190,0
0,0,1654543,32,32,4,152,1654004,1
0,0,15815,362,362,4,50,15231,0
0,0,417430,208,208,4,14,416753,1
0,0,50225,396,396,4,101,49587,0
0,0,23909,363,363,4,142,23259,0
0,0,1886263,223,223,4,101,1885670,0
0,0,1420673,92,92,4,162,1420101,0
0,0,1628056,217,217,4,106,1627475,0
0,0,5356,352,352,4,135,4736,1
0,0,272757,182,182,4,21,271798,0
0,0,422988,185,185,4,62,422386,0
0,0,431207,427,427,4,146,430704,0
0,0,563485,94,94,2,18,563114,0
0,0,1739,7,7,4,34,1236,1
0,0,488252,257,257,4,132,487683,0
0,0,2141017,330,330,4,48,2140400,0
0,0,305429,373,373,4,9,304515,0
1,0,210445,138,138,3,42,209840,1
0,0,636879,162,162,4,129,636250,1
0,0,2091750,38,38,4,57,2091055,1
0,0,211634,419,419,5,8,211245,0
0,0,34921,273,273,4,127,34262,1
0,0,1570983,121,121,4,96,1570405,1
0,0,596495,163,163,4,136,595866,0
0,0,3008,166,166,4,145,2760,1
0,0,491431,300,300,4,6,490859,1
0,0,458814,354,354,4,99,458125,0
0,0,283286,425,425,4,136,282588,0
1,0,11424,42,42,3,108,10828,0
0,0,1306828,213,213,4,91,1306226,1
0,0,14571,378,378,4,101,14272,0
0,0,6256,132,132,2,131,5888,0
0,0,70633,61,61,4,127,70109,0
0,0,1677970,118,118,4,137,1677395,0
0,0,566496,301,301,4,133,565864,1
0,0,1200244,315,315,4,57,1199621,0
0,0,8071,393,393,4,86,7124,1
0,0,631273,161,161,4,97,630704,1
0,0,1299223,189,189,4,96,1298663,0
1,0,1337715,215,215,3,30,1337152,0
1,0,893116,245,245,3,11,892445,1
0,0,102031,0,0,4,103,101630,1
0,0,452612,288,288,4,96,451995,0
0,0,542828,295,295,4,6,542232,1
0,0,2067976,37,37,4,162,2067425,0
0,0,632235,86,86,4,34,631654,1
0,0,253563,292,292,4,132,252895,0
0,0,1060193,193,193,4,57,1059636,1
0,0,54130,400,400,4,51,53294,1
1,0,225709,70,70,3,33,225092,1
0,0,2016292,331,331,4,61,2015537,0
0,0,55031,271,271,4,131,54300,0
0,0,42738,392,392,4,86,42403,1
0,0,683253,98,98,4,57,682675,0
0,0,930600,248,248,4,170,929947,1
0,0,510533,431,431,4,43,509916,0
0,0,1637787,114,114,4,57,1637185,1
0,0,602022,164,164,4,146,601444,0
0,0,9693,361,361,4,142,9067,0
0,0,325661,372,372,4,134,325122,0
0,0,57983,63,63,4,131,57381,1
0,0,482096,260,260,4,110,481446,0
0,0,152203,402,402,4,91,151562,0
0,0,7816,171,171,4,127,6941,1
0,0,459742,256,256,4,26,459083,0
0,0,8984,262,262,4,75,8412,1
0,0,285006,252,252,4,134,284026,0
0,0,786,374,374,4,35,88,0
0,0,521226,212,212,4,113,520573,0
0,0,1896,261,261,4,75,1198,1
0,0,423275,207,207,4,5,422700,0
0,0,297265,229,229,4,159,296609,0
0,0,413954,418,418,4,17,413337,0
0,0,10738,167,167,4,131,10142,1
0,0,410431,184,184,4,62,409799,0
0,0,717564,275,275,4,123,716974,1
0,0,497547,258,258,4,23,496699,0
0,0,1973331,334,334,4,74,1972666,0
0,0,9993,35,35,4,128,9376,1
0,0,12963,343,343,4,52,12349,0
0,0,1274037,192,192,4,57,1273459,1
1,0,2090413,220,220,3,40,2089832,1
0,0,203566,71,71,2,56,203195,1
0,0,641268,241,241,4,133,640657,1
0,0,1749740,337,337,4,96,1749048,0
0,0,537100,296,296,4,6,536468,1
0,0,3185,165,165,4,127,2544,1
0,0,1078119,196,196,4,162,1077559,0
0,0,567898,125,125,2,61,567485,0
0,0,4704,234,234,4,127,4066,0
0,0,55203,81,81,4,31,54550,0
0,0,288418,228,228,4,111,287768,0
0,0,165971,20,20,4,1,165327,0
0,0,627125,85,85,4,172,626559,1
0,0,1646736,218,218,4,19,1646206,0
0,0,11470,49,49,2,127,11081,1
0,0,661517,2,2,4,6,660867,1
