Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,0,302673,247,247,4,46,302005,0
0,0,633183,236,236,2,94,632827,1
0,0,1591262,332,332,4,69,1590720,0
0,0,548259,145,145,2,71,547909,0
0,0,627298,100,100,4,82,626603,1
0,0,555039,429,429,4,96,554545,1
0,0,269583,420,420,4,134,268954,0
1,0,1591401,214,214,3,128,1590901,0
0,0,1060193,191,191,4,57,1059636,1
0,0,266589,176,176,4,21,265723,0
0,0,21892,340,340,4,52,21179,0
0,0,400683,56,56,4,156,400036,1
0,0,11825,45,45,4,125,11139,0
0,0,564291,149,149,4,114,563632,1
0,0,1183104,326,326,4,39,1182499,0
0,0,1871216,109,109,4,17,1870641,0
0,0,1100102,407,407,4,100,1099440,1
0,0,217404,22,22,4,23,216745,0
0,0,2130876,105,105,4,95,2130250,1
0,0,5418,233,233,4,75,4696,1
0,0,266951,174,174,4,97,266226,0
0,0,643220,201,201,4,64,642618,0
0,0,238595,172,172,4,31,237978,1
0,0,174019,65,65,4,47,173294,1
0,0,33533,391,391,4,146,32910,1
0,0,66227,303,303,4,119,65685,0
0,0,1038285,192,192,4,95,1037734,1
0,0,1299223,187,187,4,95,1298663,0
0,0,549268,75,75,4,158,548651,0
0,0,1790185,221,221,4,34,1789544,1
0,0,110877,156,156,5,160,110344,1
1,0,44362,302,302,3,120,43754,1
0,0,375323,426,426,4,127,374682,1
0,1,1894275,111,111,4,28,1893637,1
0,0,48963,358,358,4,103,48349,0
0,0,63431,63,63,4,125,62859,0
0,0,559332,146,146,2,79,558976,0
1,0,1947,15,15,3,139,1330,1
0,1,849658,23,23,4,121,849029,1
0,0,17246,269,269,4,42,16593,0
0,0,11667,262,262,4,42,10975,1
0,0,1192370,315,315,4,159,1191744,1
0,0,777907,152,152,4,115,777242,0
0,0,474095,355,355,4,112,473496,0
0,0,548591,227,227,2,41,548190,0
0,0,1665163,29,29,4,149,1664528,0
0,0,15815,361,361,4,50,15231,0
0,0,423275,205,205,4,5,422700,0
0,0,50225,396,396,4,100,49587,0
0,0,23909,362,362,4,140,23259,0
0,0,1935320,217,217,4,121,1934724,0
0,0,1439745,90,90,4,57,1439215,1
0,0,1646736,215,215,4,19,1646206,0
0,0,5356,351,351,4,133,4736,1
0,0,272757,180,180,4,21,271798,0
0,0,422988,183,183,4,62,422386,0
0,0,431207,427,427,4,143,430704,0
0,0,563485,94,94,2,18,563114,0
0,0,4939,7,7,4,1,4241,1
0,0,488252,253,253,4,130,487683,0
0,0,2159962,327,327,4,69,2159390,0
0,0,1722444,339,339,4,21,1721857,1
1,0,210445,137,137,3,43,209840,1
0,0,636879,160,160,4,127,636250,1
0,0,2103139,222,222,4,57,2102468,1
0,0,211634,419,419,5,8,211245,0
0,0,34921,270,270,4,125,34262,1
0,0,1578872,120,120,4,17,1578312,0
0,0,596495,161,161,4,134,595866,0
0,0,9539,198,198,4,93,8904,1
0,0,491431,298,298,4,6,490859,1
0,0,458814,353,353,4,98,458125,0
0,0,283286,425,425,4,134,282588,0
0,0,1863,43,43,4,129,1279,0
1,0,1337715,212,212,3,30,1337152,0
0,0,10499,38,38,2,92,10110,1
0,0,6256,131,131,2,129,5888,0
0,0,77237,60,60,4,129,76545,0
0,0,1685667,117,117,0,159,1685527,0
0,0,566496,299,299,4,131,565864,1
0,0,1212108,312,312,4,17,1211533,0
0,0,8071,393,393,4,85,7124,1
0,0,631273,159,159,4,96,630704,1
0,0,1357417,311,311,4,145,1356881,1
0,0,1413348,211,211,4,13,1412725,1
0,0,897652,242,242,4,162,897068,0
0,0,102031,0,0,4,102,101630,1
0,0,460277,286,286,4,57,459570,0
0,0,542828,293,293,4,6,542232,1
0,0,2082607,35,35,4,57,2081918,1
0,0,673589,186,186,4,12,672981,1
0,0,253563,290,290,4,130,252895,0
0,0,1069989,195,195,4,57,1069351,0
0,0,54130,400,400,4,51,53294,1
1,0,225709,69,69,3,33,225092,1
0,0,2039757,329,329,4,168,2039173,1
0,0,55031,268,268,4,129,54300,0
0,0,42738,392,392,4,85,42403,1
0,0,698962,97,97,4,95,698387,1
0,0,1037760,369,369,4,167,1037092,1
0,0,510533,431,431,4,44,509916,0
0,0,1653046,113,113,4,57,1652444,1
0,0,602022,162,162,4,143,601444,0
0,0,9693,360,360,4,140,9067,0
0,0,325661,371,371,4,132,325122,0
0,0,57983,62,62,4,129,57381,1
0,0,482096,256,256,4,108,481446,0
0,0,152203,402,402,4,90,151562,0
0,0,7816,169,169,4,125,6941,1
0,0,459742,252,252,4,26,459083,0
0,0,8984,258,258,4,75,8412,1
0,0,285006,248,248,4,132,284026,0
0,0,786,373,373,4,35,88,0
0,0,521226,209,209,4,111,520573,0
0,0,1896,257,257,4,75,1198,1
0,0,433446,206,206,4,5,432955,0
0,0,297265,225,225,4,156,296609,0
0,0,421453,417,417,4,159,420860,0
0,0,10738,165,165,4,129,10142,1
0,0,410431,182,182,4,62,409799,0
0,0,739582,273,273,4,69,738989,0
0,0,497547,254,254,4,23,496699,0
0,0,2021354,36,36,4,17,2020752,1
1,0,22510,54,54,3,156,21845,0
0,0,12963,342,342,4,52,12349,0
0,0,1279824,190,190,4,17,1279111,1
0,0,2141017,328,328,4,48,2140400,0
0,0,203566,70,70,2,56,203195,1
0,0,641268,237,237,4,131,640657,1
1,0,1773473,335,335,3,119,1772775,1
0,0,537100,294,294,4,6,536468,1
0,0,3185,163,163,4,125,2544,1
0,0,1094415,319,319,4,57,1093786,1
0,0,567898,124,124,2,61,567485,0
0,0,4704,230,230,4,125,4066,0
0,0,55203,81,81,4,31,54550,0
0,0,288418,224,224,4,109,287768,0
0,0,165971,18,18,4,1,165327,0
0,0,627125,85,85,4,169,626559,1
0,0,606832,86,86,4,48,606242,0
0,0,11303,50,50,4,75,10641,1
0,0,661517,1,1,4,6,660867,1
