SportType,StageDistanceKm,ProCyclingStatsRaceId,StartLocation,StageType,StageDate,RaceEvent,NextStage,StageWinner,PreviousStage,StageNumber,StageDescription
1,200.5,181551.0,84,24,80,25,76,73,80,19.0,27
1,110.0,,53,24,65,23,62,70,66,6.0,24
1,208.0,210020.0,46,24,99,30,98,64,99,18.0,16
1,684.04,255766.0,104,13,163,42,147,32,108,,21
1,156.5,181539.0,10,21,72,25,68,38,87,9.0,27
1,192.1,110914.0,103,25,2,1,172,9,164,1.0,16
1,31.7,248760.0,65,20,108,37,128,30,110,,21
1,15.1,247208.0,89,22,109,35,108,76,167,1.0,26
1,65.0,181549.0,13,24,78,25,74,64,78,17.0,27
1,126.4,163707.0,22,24,34,14,33,21,38,5.0,16
1,171.53,256068.0,126,24,123,38,120,54,121,7.0,16
1,182.0,171001.0,148,24,43,22,58,4,62,5.0,16
1,193.1,,154,25,26,9,24,71,31,6.0,16
1,193.0,279160.0,134,21,153,49,157,66,155,14.0,16
1,219.9,268337.0,17,21,133,45,145,84,143,6.0,16
0,6.1,163630.0,37,26,29,12,29,58,167,0.0,16
1,3529.0,163736.0,78,12,163,16,47,17,23,,3
1,47.8,279561.0,137,20,158,50,170,74,152,,21
1,171.04,256066.0,122,21,122,38,119,32,120,5.0,16
1,259.0,139026.0,24,16,11,8,17,28,9,,21
1,,,73,21,17,11,18,32,26,2.0,16
1,197.8,256320.0,20,21,124,40,122,42,167,1.0,16
1,195.0,279161.0,132,24,154,49,158,14,156,15.0,16
1,203.0,279162.0,121,24,155,49,159,41,157,16.0,16
1,194.0,247147.0,142,24,104,36,112,47,114,4.0,16
1,198.9,,58,6,4,4,7,46,3,,21
1,699.52,209948.0,94,13,163,34,123,73,89,,6
1,1122.1,163638.0,37,7,163,16,43,32,22,,21
1,,255575.0,25,18,163,42,154,3,171,,0
1,787.7,172999.0,68,17,163,20,84,32,34,,21
1,200.0,210008.0,93,21,90,30,104,87,105,8.0,16
1,191.0,,59,21,128,46,149,22,148,4.0,16
1,168.1,255761.0,1,21,117,41,125,71,123,1.0,16
1,185.5,,85,25,3,3,1,92,4,2.0,16
1,161.3,255764.0,135,24,119,41,127,59,125,4.0,16
1,162.5,,85,25,6,7,8,63,167,1.0,16
1,207.5,171070.0,88,25,52,19,51,10,56,4.0,25
1,16.85,209947.0,55,22,85,31,175,73,170,5.0,29
1,14.0,171067.0,44,22,49,19,48,32,167,1.0,25
1,215.0,210003.0,17,21,88,30,102,42,102,3.0,27
1,164.6,,16,21,27,9,25,7,32,7.0,16
1,1205.5,256070.0,66,1,163,42,171,75,111,,21
1,203.1,255570.0,26,24,113,43,130,3,128,3.0,16
1,162.5,139126.0,57,21,15,6,6,33,13,5.0,14
1,16.8,163710.0,39,22,37,14,36,35,41,8.0,16
1,192.5,268346.0,129,23,140,45,140,58,137,14.0,16
1,213.5,171073.0,145,25,54,19,53,52,58,7.0,25
1,169.5,181544.0,76,25,75,25,71,71,75,13.0,27
1,165.1,268344.0,21,24,138,45,138,88,135,12.0,16
1,212.5,171069.0,150,21,51,19,50,71,55,3.0,25
1,174.4,209944.0,77,23,84,31,178,83,169,2.0,29
1,177.0,,0,23,127,46,148,71,147,3.0,16
1,211.0,116778.0,62,3,5,5,3,28,2,,21
1,20.3,,73,22,56,29,85,32,90,3.0,32
1,189.0,171033.0,87,23,48,17,42,13,48,8.0,16
1,27.2,210014.0,107,22,95,30,94,42,95,13.0,16
1,193.0,,7,23,129,46,150,5,149,5.0,16
1,173.28,256063.0,23,21,120,38,117,49,118,2.0,16
1,202.0,279148.0,140,25,148,49,163,40,153,2.0,16
1,181.0,171029.0,32,24,44,17,38,36,44,4.0,16
1,148.0,255527.0,142,24,111,39,121,84,122,4.0,16
1,179.1,139125.0,67,25,14,6,5,63,12,4.0,15
1,192.6,163705.0,61,25,32,14,31,71,36,3.0,16
1,815.5,138997.0,98,11,163,8,16,80,8,,7
1,130.5,,60,24,64,23,61,20,65,5.0,24
1,158.5,181541.0,8,24,73,25,69,42,88,10.0,27
1,183.4,139128.0,116,21,16,6,175,34,14,7.0,17
1,7.5,268305.0,63,22,126,47,153,73,167,1.0,16
1,180.0,,82,24,130,46,151,66,150,6.0,16
1,181.0,181538.0,43,25,71,25,82,24,86,8.0,27
1,257.0,139034.0,36,8,12,8,15,67,7,,21
1,215.0,149877.0,62,3,20,10,27,32,10,,21
1,188.3,170999.0,86,24,42,22,57,4,61,3.0,16
1,188.3,268352.0,29,25,143,45,143,18,140,19.0,16
1,167.0,210012.0,3,25,93,30,92,15,93,11.0,16
1,5.1,,119,22,23,9,21,93,167,1.0,16
1,18.5,255569.0,14,22,112,43,129,77,127,2.0,16
1,35.5,181533.0,34,28,67,25,78,1,81,3.0,27
1,239.3,270409.0,105,25,145,44,133,68,131,3.0,16
1,117.5,210015.0,138,24,96,30,95,42,96,14.0,16
1,161.0,279164.0,102,23,157,49,161,31,159,18.0,16
1,3348.8,279178.0,51,5,163,51,167,73,133,,21
1,3351.0,181554.0,97,12,163,28,89,32,53,,4
1,1012.75,170995.0,79,10,163,21,63,64,35,,21
1,951.6,181367.0,147,1,163,28,87,32,43,,13
1,159.0,171030.0,108,25,45,17,39,29,45,5.0,16
1,165.7,255762.0,71,23,118,41,126,82,124,2.0,16
1,,268378.0,69,14,163,48,166,32,126,,21
1,151.7,268343.0,2,24,137,45,137,39,134,11.0,16
1,178.0,290174.0,56,21,161,52,174,12,165,5.0,16
1,35.0,279155.0,131,22,151,49,155,74,162,9.0,16
1,201.1,255572.0,72,23,115,43,132,44,130,5.0,16
1,41.3,170998.0,14,28,41,22,56,0,60,2.0,16
1,187.5,171074.0,42,23,55,19,54,45,59,8.0,25
1,231.0,181537.0,52,25,70,25,81,24,85,7.0,27
1,237.3,,111,24,25,9,23,86,30,5.0,16
1,168.0,170993.0,11,21,40,18,46,29,52,6.0,16
1,202.0,247148.0,99,24,105,36,113,81,115,5.0,16
1,195.0,279163.0,109,25,156,49,160,32,158,17.0,16
1,192.9,268340.0,1,24,135,45,135,13,145,9.0,16
1,192.6,268345.0,76,25,139,45,139,50,136,13.0,16
1,170.5,210009.0,129,21,91,30,90,22,106,9.0,16
1,162.8,163708.0,153,23,35,14,34,72,39,6.0,16
1,181.0,247150.0,110,21,107,36,115,55,117,7.0,16
1,207.0,279154.0,142,21,150,49,165,11,161,8.0,16
1,758.5,114197.0,98,11,163,5,13,94,5,,22
1,224.0,171032.0,31,25,47,17,41,15,47,7.0,16
1,159.6,209992.0,75,23,86,32,105,48,109,2.0,30
1,217.5,210011.0,123,25,92,30,91,98,107,10.0,16
1,44.2,256841.0,54,2,125,54,179,73,172,,23
1,773.4,180620.0,4,19,163,27,107,60,63,,21
1,171.0,181550.0,144,25,79,25,75,10,79,18.0,27
1,178.0,,30,21,60,24,66,3,70,5.0,10
1,181.0,181536.0,20,21,69,25,80,19,84,6.0,27
1,167.3,270410.0,136,25,146,44,134,37,132,4.0,16
1,116.0,181553.0,64,25,81,25,175,7,82,21.0,27
1,216.0,279149.0,149,21,149,49,164,58,160,3.0,16
1,196.0,,7,24,131,46,152,86,151,7.0,16
1,184.0,209900.0,133,9,82,34,110,42,67,,21
1,189.1,293156.0,130,23,160,53,169,6,163,2.0,16
1,193.2,,48,21,24,9,22,58,29,4.0,16
1,148.1,268342.0,91,21,136,45,136,51,146,10.0,16
1,182.5,181532.0,92,25,66,25,77,71,73,2.0,27
1,199.2,,6,25,57,29,86,24,91,4.0,12
1,239.0,149878.0,40,4,21,10,28,46,15,,21
1,108.5,181542.0,2,24,74,25,70,32,74,11.0,27
1,16.53,256065.0,47,22,121,38,118,8,119,4.0,16
1,992.55,180695.0,79,10,163,28,88,60,49,,21
