Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,37772,134,134,7,63,34755,1
0,7310,32,32,7,39,4179,1
1,8362,131,131,2,89,5834,0
0,96112,112,112,7,12,92984,1
1,6579,63,63,2,8,5257,1
1,8781,25,25,2,49,5653,0
0,8449,121,121,7,77,5315,1
0,34018,53,53,6,48,31541,0
0,1015710,30,30,7,47,1014604,0
1,93861,97,97,2,51,92599,1
0,905463,46,46,7,65,902746,0
1,673601,71,71,2,81,670680,0
1,741862,157,157,2,75,740972,0
0,559272,79,79,7,55,556483,0
1,12199,144,144,2,35,10430,0
1,631461,70,70,2,41,630235,0
0,2165,135,135,8,21,1,1
0,68231,96,96,7,75,65097,1
0,704396,13,13,9,45,703461,0
1,301337,20,20,2,4,298548,1
1,796646,58,58,2,10,794730,0
0,11508,107,107,6,46,8902,1
1,1017672,44,44,2,11,1015075,0
