StrandOrientation,OrthologId,GenomicEndPosition,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition
0,6,422034,17,0,4,420934
0,65,907521,139,0,14,906301
0,45,12388,136,0,64,11468
1,97,2202884,182,0,19,2202237
1,32,65754,233,0,80,64810
1,100,1487286,178,0,18,1486264
1,10,17173,217,0,77,16040
0,28,13948,29,0,43,13148
0,9,313431,82,0,14,312547
0,9,285745,80,0,14,284939
1,73,970864,117,0,20,969914
0,73,1631767,69,0,20,1631120
0,43,6002,241,1,82,5043
1,36,1564778,71,0,20,1564014
1,80,643595,15,0,20,642765
1,9,407549,137,0,14,406749
0,6,251858,21,0,14,251211
1,12,4723,23,1,39,4340
1,28,23810,58,0,47,22572
0,76,231201,246,0,5,230431
1,56,2089274,124,0,19,2088630
0,28,13418,150,0,67,12669
0,55,1687805,68,0,20,1687044
0,17,25842,199,1,75,24370
0,30,9998,75,1,50,9753
0,53,1153229,240,0,19,1151997
0,100,1221966,175,0,18,1220947
0,16,1604402,187,0,19,1603254
1,6,1075329,3,0,14,1075195
1,67,884301,138,1,14,883339
0,54,23852,32,1,27,23046
0,93,1106541,227,0,15,1105297
1,22,655,0,1,83,2
0,34,223492,245,1,5,222386
1,14,1592913,72,1,20,1591840
0,9,658646,89,0,14,657867
0,72,266241,143,0,15,265438
0,78,11872,130,1,61,11348
0,15,1207750,193,0,14,1206605
