StrandOrientation,OrthologId,GenomicEndPosition,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition
1,13,4883,39,1,83,2628
1,45,519612,206,1,28,517492
0,75,2976,165,0,78,781
0,134,1159648,146,0,42,1157084
1,125,7454,51,0,90,5259
1,29,654471,74,1,53,652312
0,97,2907,32,0,73,667
1,90,27924,6,0,17,26149
1,112,1705791,88,0,54,1703299
1,55,3230,130,0,22,921
0,53,2152,8,0,61,38
0,41,526037,35,0,3,525222
0,30,482055,114,0,10,479794
0,133,394758,18,0,9,393970
0,43,805063,181,1,39,803291
1,77,3147,40,0,84,535
0,125,7548,53,0,92,5362
0,125,11573,111,0,104,9210
1,28,369509,60,1,13,367296
0,120,707127,46,0,23,704929
1,5,351915,202,0,58,350539
1,9,6111,21,0,69,4843
1,78,307939,227,0,11,306221
1,60,464804,167,1,22,462621
1,54,1036,12,0,64,2
0,113,763015,81,1,38,760970
1,60,1699,85,0,8,101
0,118,19404,201,0,123,17227
1,122,53099,224,0,39,50910
1,129,2191081,87,0,54,2188577
0,27,52834,185,1,0,50840
1,8,13918,124,1,106,11750
1,32,18062,136,1,109,16122
0,115,436942,178,1,24,434816
1,117,34512,90,1,98,32440
0,125,5683,55,0,93,3845
0,23,1835456,209,1,49,1833030
0,20,731499,28,1,23,729406
0,69,562476,174,1,10,560179
0,85,560608,182,0,16,558551
1,27,92121,142,0,41,90979
1,99,7735,187,0,80,5258
0,27,2352753,133,0,54,2351474
0,102,5117,218,1,82,2943
0,31,507624,193,0,3,505363
0,17,9642,215,0,125,7252
0,125,28514,112,0,105,26043
0,59,123424,233,1,8,121439
0,17,3774,16,1,66,1570
0,131,478021,37,1,2,475904
1,63,3637,164,0,34,1680
1,11,22349,98,1,10,20226
0,33,369971,59,0,56,367785
1,66,10067,24,1,46,8418
0,105,1108,162,1,77,1
0,125,3468,69,0,96,1171
0,133,1009265,76,0,38,1006986
0,95,609450,135,1,16,607396
1,133,28523,79,0,38,26538
1,41,2650,23,0,35,386
1,114,6868,186,0,121,4559
1,108,59968,191,1,3,57773
0,65,669243,189,1,18,667156
1,128,17178,109,1,103,14941
1,44,4593,1,0,17,2230
1,107,161779,94,0,12,159506
1,94,798,168,0,79,1
0,112,1167843,147,1,42,1165567
1,80,299939,228,1,11,297915
1,47,18493,44,1,34,16673
1,125,5471,140,0,112,3207
1,50,5333,19,0,67,3093
1,57,59387,93,0,42,57738
0,9,503101,137,1,7,500945
0,125,5583,100,0,100,3223
1,10,40877,205,1,29,40377
0,4,175988,213,1,21,173664
0,81,180595,121,0,60,178343
0,118,827,11,0,63,3
1,68,140815,229,0,11,140096
1,105,16433,195,0,81,14709
1,24,35613,197,1,122,33460
0,134,16106,72,1,97,14127
0,39,194620,127,0,55,192110
0,88,480713,34,0,4,478230
1,107,311650,216,0,12,309482
0,21,703891,71,0,23,701787
0,125,7225,107,0,102,4853
1,37,3201,58,0,75,2560
1,125,17152,139,0,111,14774
1,96,43304,159,0,57,40902
1,35,52112,105,0,45,49749
1,15,2335,171,0,12,101
1,135,3704,20,0,68,1446
1,36,12933,115,1,40,10912
1,105,60946,149,1,54,58898
0,6,1287,17,1,70,1
1,125,3133,50,0,90,824
0,133,468090,36,1,2,465892
1,133,18709,31,0,27,16532
0,0,399311,91,1,14,397290
1,124,66424,234,0,36,64094
0,126,469090,30,1,1,466913
1,124,4184,236,0,36,1923
0,0,754574,176,0,26,752403
0,45,646569,184,0,12,644707
0,66,480279,208,1,46,478171
0,49,636865,78,1,20,634829
0,121,377705,99,0,59,375522
0,69,459000,175,1,10,456733
0,104,703107,151,0,22,702547
0,83,411395,33,1,13,410220
1,103,5540,41,0,85,3963
1,42,85349,64,0,4,84366
1,116,115059,161,0,22,112891
1,13,28472,222,1,47,26358
1,20,3258,212,1,124,754
0,18,961848,157,1,37,959689
1,67,16197,180,1,120,13717
1,125,1669,45,0,87,2
1,51,113111,169,1,15,111105
1,61,81116,4,0,13,80040
1,66,27218,66,1,51,24993
0,16,2152465,192,0,53,2150273
0,36,5726,0,1,126,3723
1,29,1909430,132,1,53,1907460
0,109,1835184,65,0,48,1832923
1,95,67187,211,1,16,64983
1,107,315631,217,0,12,313523
1,111,6765,194,0,81,4204
1,125,1518,57,0,94,1
0,137,478833,232,0,6,476677
1,72,19107,106,1,45,16912
1,136,2336,152,1,115,3
0,19,468765,82,1,54,466540
1,125,4334,96,0,99,1968
1,44,71096,141,0,41,68619
0,127,909502,73,0,35,907241
0,38,1116077,156,1,41,1113876
1,106,62927,153,1,24,60651
1,26,57522,128,0,22,55348
0,118,1333,13,0,65,3
0,76,811009,214,1,33,808763
0,80,1475,2,0,127,3
0,25,477984,154,1,5,475453
0,70,2123600,86,0,53,2121408
1,50,4215,70,0,19,1969
0,123,252998,134,1,28,250869
1,125,6479,138,0,110,5838
1,84,68193,150,0,25,66007
