EntityType,GeneDescription,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,GeneType,OrthologousGene,ChromosomeId,GenomicStartPosition,StrandOrientation
1,0,476059,148,148,1,1,104,5,473501,0
0,0,1251196,180,180,2,0,121,30,1248512,0
0,0,1007699,206,206,2,0,71,23,1005114,1
0,0,1147282,167,167,2,0,61,32,1144757,1
0,0,696919,72,72,2,0,22,23,694046,0
1,0,1582479,185,185,1,1,96,31,1579936,0
0,0,221070,140,140,2,0,85,9,218443,1
0,0,463778,79,79,2,0,35,16,460986,0
0,0,11062,5,5,2,0,36,39,8450,0
0,0,1570228,99,99,5,0,41,30,1568267,1
0,0,280853,63,63,2,0,129,23,278046,0
0,0,546370,46,46,2,0,95,8,543824,0
0,0,399549,238,238,2,0,53,16,396772,0
0,0,57145,56,56,3,0,91,46,54284,0
0,0,817323,77,77,2,0,71,23,814468,0
1,0,408107,17,17,1,1,23,5,405750,0
0,0,60414,227,227,2,0,12,87,57859,1
0,0,988200,207,207,2,0,34,23,985546,1
0,0,7898,10,10,2,0,63,42,5274,1
0,0,245264,48,48,2,0,2,0,242583,0
0,0,4732,123,123,2,0,98,71,2051,0
0,0,21506,58,58,2,0,98,62,18858,0
0,0,23129,126,126,3,0,98,73,20358,1
0,0,428401,68,68,2,0,75,18,425663,0
1,0,1014233,134,134,1,1,28,31,1011738,0
0,0,34218,59,59,2,0,98,62,31414,0
0,0,2102129,102,102,2,0,101,31,2099463,1
0,0,15093,156,156,3,0,130,19,12226,0
0,0,1317329,98,98,2,0,86,30,1314768,0
0,0,352788,249,249,2,0,111,18,350182,1
0,0,565683,139,139,2,0,117,6,563344,1
0,0,10603,7,7,3,0,1,40,7772,1
0,0,212927,0,0,5,0,24,13,211077,1
1,0,276688,210,210,1,1,96,24,274223,0
0,0,652210,95,95,2,0,11,8,649424,0
0,0,10893,90,90,2,0,59,33,8359,1
0,0,4709,31,31,2,0,50,57,2067,1
0,0,119436,255,255,2,0,13,2,116878,0
0,0,14331,230,230,2,0,24,88,11776,1
0,0,1650945,12,12,2,0,127,31,1648582,1
0,0,7054,122,122,2,0,50,70,4541,0
0,0,456596,16,16,2,0,37,5,453903,1
0,0,3590,211,211,2,0,29,82,942,1
0,0,1816759,189,189,2,0,112,32,1814429,0
0,0,2010450,109,109,2,0,113,32,2008033,1
0,0,529696,175,175,2,0,65,1,526820,1
0,0,272153,64,64,2,0,71,23,269451,0
0,0,423886,65,65,2,0,117,6,421607,1
1,0,408724,138,138,1,1,31,35,406415,1
0,0,1036042,116,116,2,0,124,25,1033382,0
0,0,25731,9,9,3,0,57,41,22858,0
0,0,35248,51,51,2,0,98,61,32438,0
0,0,2099,3,3,5,0,126,37,3,1
0,0,867065,114,114,2,0,71,23,864531,0
0,0,460231,147,147,2,0,24,13,457457,1
0,0,2171498,182,182,2,0,101,31,2169063,1
0,0,783613,76,76,2,0,34,23,780839,0
0,0,35322,191,191,2,0,62,77,32611,1
0,0,506933,19,19,3,0,71,23,504105,0
0,0,41459,219,219,3,0,108,86,38613,1
0,0,584285,174,174,0,0,21,1,581721,0
0,0,404953,160,160,2,0,87,15,402317,0
0,0,16042,111,111,3,0,50,67,13142,0
1,0,574686,146,146,1,1,92,13,571897,1
0,0,596823,94,94,2,0,119,8,594229,1
1,0,71558,153,153,1,1,76,3,69066,0
0,0,1115182,220,220,2,0,77,24,1112378,0
0,0,556640,252,252,2,0,97,7,553878,0
0,0,22835,145,145,2,0,98,74,20457,0
0,0,65602,25,25,2,0,46,54,62846,0
0,0,321121,170,170,2,0,96,32,318503,0
0,0,3099,84,84,2,0,50,65,313,1
0,0,2201057,54,54,2,0,112,32,2198634,1
1,0,1882048,104,104,1,1,118,31,1879670,0
1,0,2065088,101,101,1,1,28,31,2062416,0
0,0,8030,143,143,2,0,50,74,5538,1
0,0,54570,28,28,3,0,55,44,51787,1
0,0,12466,229,229,2,0,102,87,9926,1
0,0,1745786,13,13,2,0,73,31,1743231,0
0,0,1189938,225,225,2,0,109,24,1187140,0
0,0,580806,93,93,5,0,84,8,578836,1
0,0,565358,82,82,2,0,112,32,563163,1
0,0,935144,131,131,2,0,85,31,932427,1
0,0,7331,91,91,3,0,60,48,4482,1
0,0,156435,34,34,3,0,85,19,153649,1
0,0,249052,71,71,2,0,3,9,246272,1
0,0,344245,14,14,2,0,99,0,341906,1
0,0,194602,248,248,3,0,85,9,191840,1
0,0,536061,256,256,2,0,87,15,533287,0
0,0,1851640,106,106,2,0,80,31,1848668,0
0,0,450835,66,66,2,0,117,6,448496,1
0,0,14547,21,21,2,0,46,52,12235,0
0,0,417885,136,136,2,0,52,16,415123,0
0,0,237391,70,70,2,0,20,9,234584,1
0,0,7271,23,23,2,0,98,53,4884,0
0,0,3982,2,2,2,0,69,36,1541,0
0,0,21057,154,154,2,0,43,3,18763,1
0,0,388287,239,239,2,0,116,16,385492,0
0,0,11601,40,40,2,0,50,59,9187,0
0,0,175571,92,92,2,0,103,28,172800,1
0,0,110238,228,228,3,0,100,87,107374,0
0,0,768058,75,75,2,0,71,23,765323,0
0,0,8573,215,215,2,0,64,84,6039,1
0,0,7513,4,4,2,0,125,38,4757,1
0,0,191757,113,113,2,0,58,10,188965,1
0,0,205713,246,246,2,0,19,9,202903,1
0,0,1484951,181,181,3,0,45,30,1482129,1
0,0,880730,133,133,2,0,40,31,877992,1
0,0,12861,240,240,2,0,109,89,10087,1
0,0,763632,129,129,2,0,73,31,761305,0
1,0,1152001,179,179,1,1,110,30,1149578,1
0,0,171302,231,231,4,0,11,12,169443,0
0,0,187696,247,247,2,0,14,9,185057,1
0,0,2180588,53,53,2,0,56,32,2178147,1
0,0,17047,38,38,2,0,105,45,14579,1
0,0,222070,177,177,2,0,66,5,219359,0
0,0,1181628,224,224,2,0,77,24,1179322,0
1,0,2776,49,49,1,1,10,61,113,1
0,0,950785,132,132,2,0,40,31,948302,1
0,0,8596,125,125,2,0,50,72,5819,0
0,0,24923,61,61,2,0,18,47,22032,0
1,0,42017,199,199,1,1,49,81,39222,0
0,0,1200167,193,193,2,0,34,23,1197396,0
0,0,665447,73,73,3,0,22,23,662586,1
1,0,316755,119,119,1,1,94,24,314314,0
1,0,396615,250,250,1,1,9,18,394090,1
0,0,381075,237,237,2,0,16,16,378301,0
1,0,2113696,52,52,1,1,28,31,2111357,0
1,0,255561,18,18,1,1,39,23,253126,0
0,0,22052,241,241,2,0,7,90,19278,1
0,0,198843,127,127,2,0,78,5,196225,0
0,0,775880,130,130,2,0,80,31,773208,1
0,0,421319,159,159,2,0,128,15,418704,0
0,0,167573,37,37,3,0,27,19,164778,1
0,0,11536,33,33,2,0,50,58,9554,1
1,0,597333,1,1,1,1,9,18,595705,1
