EntityType,GeneDescription,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,GeneType,OrthologousGene,ChromosomeId,GenomicStartPosition,StrandOrientation
1,0,408724,138,138,1,1,31,35,406415,1
0,0,1036042,116,116,2,0,122,25,1033382,0
0,0,25731,8,8,3,0,56,41,22858,0
0,0,35248,52,52,2,0,95,61,32438,0
0,0,2099,2,2,4,0,125,37,3,1
1,0,903444,114,114,1,1,47,23,900637,0
1,0,559805,147,147,1,1,89,13,557001,1
0,0,2171498,185,185,2,0,98,31,2169063,1
0,0,817323,78,78,2,0,70,23,814468,0
0,0,35322,194,194,2,0,61,77,32611,1
0,0,585177,206,206,3,0,22,23,582301,0
0,0,41459,220,220,3,0,105,86,38613,1
0,0,584285,177,177,0,0,21,1,581721,0
0,0,421319,162,162,2,0,127,15,418704,0
0,0,16042,110,110,3,0,50,67,13142,0
0,0,629809,112,112,3,0,7,13,627020,1
0,0,620072,44,44,2,0,92,8,617640,1
1,0,71558,155,155,1,1,75,3,69066,0
0,0,1115182,221,221,2,0,76,24,1112378,0
0,0,546370,47,47,2,0,92,8,543824,0
0,0,22835,146,146,2,0,95,74,20457,0
0,0,65602,24,24,2,0,45,54,62846,0
0,0,321121,173,173,2,0,93,32,318503,0
0,0,3099,85,85,2,0,50,65,313,1
0,0,2201057,55,55,2,0,110,32,2198634,1
1,0,1882048,103,103,1,1,116,31,1879670,0
1,0,2065088,100,100,1,1,28,31,2062416,0
0,0,8030,144,144,2,0,50,74,5538,1
0,0,54570,27,27,3,0,54,44,51787,1
0,0,12466,230,230,2,0,99,87,9926,1
0,0,1745786,12,12,2,0,72,31,1743231,0
0,0,1189938,226,226,2,0,106,24,1187140,0
0,0,596823,94,94,2,0,117,8,594229,1
0,0,565358,83,83,2,0,110,32,563163,1
0,0,935144,130,130,2,0,82,31,932427,1
0,0,7331,92,92,3,0,59,48,4482,1
0,0,167573,36,36,3,0,27,19,164778,1
0,0,191757,113,113,2,0,57,10,188965,1
0,0,344245,13,13,2,0,96,0,341906,1
0,0,205713,248,248,2,0,19,9,202903,1
0,0,546874,142,142,2,0,103,15,544250,0
0,0,1851640,105,105,2,0,79,31,1848668,0
0,0,468388,68,68,3,0,78,6,465485,0
0,0,14547,20,20,2,0,45,52,12235,0
0,0,425184,136,136,2,0,52,16,422410,0
0,0,249052,72,72,2,0,4,9,246272,1
0,0,7271,22,22,2,0,95,53,4884,0
0,0,3982,1,1,2,0,68,36,1541,0
0,0,21057,156,156,2,0,43,3,18763,1
0,0,399549,239,239,2,0,52,16,396772,0
0,0,11601,39,39,2,0,50,59,9187,0
0,0,175571,93,93,2,0,100,28,172800,1
0,0,110238,229,229,3,0,97,87,107374,0
0,0,783613,77,77,2,0,34,23,780839,0
0,0,8573,216,216,2,0,63,84,6039,1
0,0,7513,3,3,2,0,124,38,4757,1
0,0,171781,0,0,4,0,42,11,169685,1
0,0,221070,140,140,2,0,82,9,218443,1
0,0,1484951,184,184,3,0,44,30,1482129,1
0,0,880730,132,132,2,0,39,31,877992,1
0,0,12861,241,241,2,0,106,89,10087,1
0,0,763632,128,128,2,0,72,31,761305,0
1,0,1152001,182,182,1,1,107,30,1149578,1
0,0,184674,5,5,2,0,92,12,182293,0
0,0,194602,250,250,3,0,82,9,191840,1
0,0,2180588,54,54,2,0,55,32,2178147,1
0,0,17047,37,37,2,0,102,45,14579,1
0,0,222070,180,180,2,0,65,5,219359,0
0,0,1181628,225,225,2,0,76,24,1179322,0
1,0,2776,50,50,1,1,12,61,113,1
0,0,950785,131,131,2,0,39,31,948302,1
0,0,8596,124,124,2,0,50,72,5819,0
0,0,24923,62,62,2,0,18,47,22032,0
1,0,42017,202,202,1,1,49,81,39222,0
0,0,1200167,196,196,2,0,34,23,1197396,0
0,0,696919,73,73,2,0,22,23,694046,0
1,0,316755,118,118,1,1,91,24,314314,0
0,0,428401,69,69,2,0,74,18,425663,0
0,0,388287,240,240,2,0,114,16,385492,0
1,0,2113696,53,53,1,1,28,31,2111357,0
0,0,272153,65,65,2,0,70,23,269451,0
0,0,22052,242,242,2,0,9,90,19278,1
0,0,198843,126,126,2,0,77,5,196225,0
0,0,775880,129,129,2,0,79,31,773208,1
1,0,432436,160,160,1,1,60,15,429818,0
0,0,180486,34,34,2,0,41,19,177754,1
0,0,11536,32,32,2,0,50,58,9554,1
0,0,15093,158,158,3,0,129,19,12226,0
