Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,1582,12,1,692,5,1
1,3052,58,1,605,5,0
1,513917,238,1,513297,5,0
1,6017,224,1,3066,5,0
1,4965,130,1,2173,5,1
1,46075,235,1,44094,5,1
1,2706,92,1,1,5,1
1,89160,186,1,86623,5,1
1,475584,100,1,473026,5,0
1,620331,167,1,618505,5,0
1,6087,15,1,4936,5,1
1,1639600,203,1,1637255,5,0
1,1686,2,1,1,5,1
1,10351,181,1,7736,5,1
1,1399795,23,1,1397420,5,0
1,651190,199,1,650348,5,0
0,17833,32,0,17345,1,1
1,612,73,1,103,5,1
1,32383,207,1,29822,5,0
1,69602,86,1,68706,5,1
1,182518,44,1,180932,5,1
1,18217,122,1,15659,5,0
1,88109,223,1,87465,5,0
1,540826,37,1,537914,5,0
1,5666,174,1,3972,5,0
1,267665,229,1,267153,5,0
1,28634,145,1,28311,5,1
1,1121147,218,1,1120731,5,0
1,583,163,1,2,5,0
1,2783,39,1,909,5,1
1,67398,225,1,66466,5,1
0,453819,91,0,453466,1,0
1,11981,108,1,9216,5,0
1,935665,196,1,933350,5,0
1,9109,156,1,6119,5,1
1,228,18,1,1,5,0
0,2248,20,0,1520,1,1
1,578251,168,1,576644,5,0
1,3080,56,1,735,5,1
1,45115,208,1,42281,5,0
1,2190,102,1,1,5,1
1,922,9,1,412,5,0
1,543960,140,1,542011,5,0
1,663276,137,1,662509,5,0
1,783875,69,1,783721,5,0
1,24991,118,1,22313,5,0
0,1238,217,0,288,1,1
1,4197,152,1,3526,5,1
0,1066,0,0,947,1,1
1,1161359,97,1,1159086,5,0
1,73875,215,1,71692,5,1
1,8168,50,1,5343,5,0
1,1842055,213,1,1840004,5,0
1,40883,52,1,38052,5,1
1,9729,93,1,7402,5,1
1,17064,80,1,15238,5,0
1,521580,40,1,519241,5,0
1,207218,124,1,204852,5,1
1,640440,120,1,637990,5,0
1,957,173,1,103,5,1
1,504842,75,1,502038,5,0
1,45868,116,1,44981,5,1
1,18211,55,1,15392,5,1
1,963,78,1,103,5,1
1,772241,49,1,769332,5,0
0,1411,1,0,1097,2,0
1,24472,191,1,23342,5,1
1,35958,41,1,35374,5,1
1,34273,7,1,33176,5,1
1,617,57,1,1,5,0
1,521339,138,1,518895,5,0
1,392192,109,1,389835,5,0
1,28437,222,1,25624,5,1
1,4194,221,1,3232,5,0
1,16367,33,1,13620,5,1
1,13228,200,1,10472,5,1
1,1874,59,1,3,5,1
1,51751,111,1,49106,5,0
0,581031,239,0,580762,2,0
1,184333,77,1,183608,5,0
1,382722,105,1,380155,5,0
1,9773,230,1,7086,5,0
1,10829,83,1,8487,5,1
1,281858,157,1,279111,5,0
1,326018,106,1,323649,5,0
1,112160,88,1,109194,5,0
1,563,45,1,3,5,1
1,8610,81,1,7165,5,0
1,8014,87,1,5234,5,1
1,1020701,166,1,1018377,5,0
1,23344,170,1,21104,5,0
1,57748,53,1,55331,5,1
1,7904,101,1,5580,5,1
0,2011553,3,0,2010699,3,0
1,26773,115,1,26201,5,1
1,2033316,144,1,2030554,5,0
1,15743,211,1,15195,5,1
1,822273,216,1,821002,5,0
1,16756,28,1,15296,5,0
1,88412,99,1,86619,5,1
1,7310,236,1,4494,5,0
1,250640,177,1,247890,5,0
1,360854,47,1,358083,5,1
1,215357,64,1,214062,5,1
1,254233,184,1,251879,5,1
1,26957,141,1,26184,5,0
1,856711,134,1,855554,5,0
