Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,0,529696,176,176,2,0,65,526820,1
0,0,280853,62,62,2,0,129,278046,0
0,0,423886,65,65,2,0,116,421607,1
1,0,408724,139,139,1,1,32,406415,1
0,0,1036042,117,117,2,0,123,1033382,0
0,0,25731,8,8,3,0,57,22858,0
0,0,35248,50,50,2,0,98,32438,0
0,0,2099,2,2,5,0,126,3,1
1,0,903444,115,115,1,1,48,900637,0
0,0,460231,148,148,2,0,25,457457,1
0,0,2171498,183,183,2,0,101,2169063,1
0,0,817323,77,77,2,0,71,814468,0
0,0,35322,192,192,2,0,62,32611,1
0,0,585177,204,204,3,0,23,582301,0
0,0,41459,219,219,3,0,107,38613,1
0,0,584285,175,175,0,0,22,581721,0
0,0,404953,161,161,2,0,87,402317,0
0,0,16042,111,111,3,0,51,13142,0
1,0,574686,147,147,1,1,92,571897,1
0,0,596823,94,94,2,0,118,594229,1
1,0,71558,154,154,1,1,76,69066,0
0,0,1115182,220,220,2,0,77,1112378,0
0,0,556640,253,253,2,0,97,553878,0
0,0,22835,146,146,2,0,98,20457,0
0,0,65602,24,24,2,0,46,62846,0
0,0,321121,171,171,2,0,96,318503,0
0,0,3099,84,84,2,0,51,313,1
0,0,2201057,53,53,2,0,111,2198634,1
1,0,1882048,104,104,1,1,117,1879670,0
1,0,2065088,101,101,1,1,29,2062416,0
0,0,8030,144,144,2,0,51,5538,1
0,0,54570,27,27,3,0,55,51787,1
0,0,12466,229,229,2,0,102,9926,1
0,0,1745786,12,12,2,0,73,1743231,0
0,0,1189938,225,225,2,0,108,1187140,0
0,0,580806,93,93,5,0,84,578836,1
0,0,565358,82,82,2,0,111,563163,1
0,0,935144,131,131,2,0,85,932427,1
0,0,7331,91,91,3,0,60,4482,1
0,0,167573,36,36,3,0,28,164778,1
0,0,249052,71,71,2,0,4,246272,1
0,0,344245,13,13,2,0,99,341906,1
0,0,194602,249,249,3,0,85,191840,1
0,0,536061,257,257,2,0,87,533287,0
0,0,1851640,106,106,2,0,80,1848668,0
0,0,450835,66,66,2,0,116,448496,1
0,0,14547,20,20,2,0,46,12235,0
0,0,425184,137,137,2,0,53,422410,0
0,0,237391,70,70,2,0,21,234584,1
0,0,7271,22,22,2,0,98,4884,0
0,0,3982,1,1,2,0,69,1541,0
0,0,21057,155,155,2,0,43,18763,1
0,0,399549,239,239,2,0,53,396772,0
0,0,11601,39,39,2,0,51,9187,0
0,0,175571,92,92,2,0,103,172800,1
0,0,110238,228,228,3,0,100,107374,0
0,0,783613,76,76,2,0,35,780839,0
0,0,8573,215,215,2,0,64,6039,1
0,0,7513,3,3,2,0,125,4757,1
0,0,191757,114,114,2,0,58,188965,1
0,0,205713,247,247,2,0,20,202903,1
0,0,1484951,182,182,3,0,45,1482129,1
0,0,880730,133,133,2,0,40,877992,1
0,0,12861,241,241,2,0,108,10087,1
0,0,763632,129,129,2,0,73,761305,0
1,0,1152001,180,180,1,1,109,1149578,1
0,0,171302,231,231,4,0,13,169443,0
0,0,187696,248,248,2,0,16,185057,1
0,0,2180588,52,52,2,0,56,2178147,1
0,0,17047,37,37,2,0,105,14579,1
0,0,222070,178,178,2,0,66,219359,0
0,0,1181628,224,224,2,0,77,1179322,0
1,0,2776,48,48,1,1,12,113,1
0,0,950785,132,132,2,0,40,948302,1
0,0,8596,125,125,2,0,51,5819,0
0,0,24923,60,60,2,0,19,22032,0
1,0,42017,200,200,1,1,50,39222,0
0,0,1200167,194,194,2,0,35,1197396,0
0,0,696919,72,72,2,0,23,694046,0
1,0,316755,119,119,1,1,94,314314,0
0,0,428401,68,68,2,0,75,425663,0
0,0,388287,240,240,2,0,115,385492,0
1,0,2113696,51,51,1,1,29,2111357,0
0,0,272153,63,63,2,0,71,269451,0
0,0,22052,242,242,2,0,9,19278,1
0,0,198843,127,127,2,0,78,196225,0
0,0,775880,130,130,2,0,80,773208,1
0,0,421319,160,160,2,0,128,418704,0
0,0,180486,34,34,2,0,42,177754,1
0,0,11536,32,32,2,0,51,9554,1
0,0,15093,157,157,3,0,130,12226,0
