Gene_Classification,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
1,408724,138,0,406415,1
0,1036042,116,1,1033382,0
0,25731,8,2,22858,0
0,35248,53,1,32438,0
0,2099,2,4,3,1
1,903444,114,0,900637,0
1,559805,147,0,557001,1
0,2171498,185,1,2169063,1
0,817323,79,1,814468,0
0,35322,194,1,32611,1
0,585177,206,2,582301,0
0,41459,220,2,38613,1
0,594398,178,1,592146,1
0,421319,162,1,418704,0
0,16042,110,2,13142,0
0,629809,112,2,627020,1
0,620072,44,1,617640,1
1,86749,154,0,84020,1
0,1115182,221,1,1112378,0
0,546370,48,1,543824,0
0,22835,146,1,20457,0
0,65602,22,1,62846,0
0,321121,173,1,318503,0
0,3099,86,1,313,1
0,2201057,56,1,2198634,1
1,1882048,103,0,1879670,0
1,2065088,100,0,2062416,0
0,8030,144,1,5538,1
0,54570,25,2,51787,1
0,12466,230,1,9926,1
0,1745786,12,1,1743231,0
0,1189938,226,1,1187140,0
0,596823,95,1,594229,1
0,565358,84,1,563163,1
0,935144,130,1,932427,1
0,7331,93,2,4482,1
0,167573,35,2,164778,1
0,191757,113,1,188965,1
0,139709,256,1,138117,0
0,205713,249,1,202903,1
0,546874,142,1,544250,0
0,1851640,105,1,1848668,0
0,468388,69,2,465485,0
0,14547,18,1,12235,0
0,425184,136,1,422410,0
0,249052,73,1,246272,1
0,7271,20,1,4884,0
0,3982,1,1,1541,0
1,71558,155,0,69066,0
0,399549,239,1,396772,0
0,11601,39,1,9187,0
0,175571,94,1,172800,1
0,110238,229,2,107374,0
0,783613,78,1,780839,0
0,8573,216,1,6039,1
0,7513,3,1,4757,1
0,171781,0,4,169685,1
0,221070,140,1,218443,1
0,1484951,184,2,1482129,1
0,880730,132,1,877992,1
0,12861,241,1,10087,1
0,763632,128,1,761305,0
1,1152001,182,0,1149578,1
0,184674,5,1,182293,0
0,194602,251,2,191840,1
0,2180588,55,1,2178147,1
0,17047,36,1,14579,1
0,256062,181,1,253732,0
0,1181628,225,1,1179322,0
1,2776,51,0,113,1
0,950785,131,1,948302,1
0,8596,124,1,5819,0
0,24923,63,1,22032,0
1,42017,202,0,39222,0
0,1200167,196,1,1197396,0
0,696919,74,1,694046,0
1,316755,118,0,314314,0
0,428401,70,1,425663,0
0,388287,240,1,385492,0
1,2113696,54,0,2111357,0
0,272153,66,1,269451,0
0,22052,242,1,19278,1
0,222070,180,1,219359,0
0,775880,129,1,773208,1
1,432436,160,0,429818,0
0,180486,33,1,177754,1
0,11536,31,1,9554,1
0,15093,158,2,12226,0
