GeneInstanceType,GeneDescription,GenomicEndPosition,GeneLabel,GeneDbId,GeneSubclass,EncodedProtein,ChromosomeId,GenomicStartPosition,StrandOrientation,HostTaxon
0,0,990197,94,101,0,19,24,986493,1,6
0,0,4293498,38,35,0,19,22,4292311,1,5
0,0,1152291,102,109,0,15,24,1148608,1,6
0,0,1678839,88,95,0,15,31,1675105,1,6
0,0,2259949,192,199,0,7,11,2258465,1,7
0,0,77533,19,20,0,29,6,73331,1,4
0,0,422887,103,110,0,19,25,419138,1,6
0,0,3622347,85,92,0,19,31,3618703,0,6
0,0,5954817,154,161,0,6,13,5951374,1,7
0,0,15794397,187,194,0,7,13,15790722,0,7
0,0,2626786,37,34,0,19,22,2624759,0,5
0,0,1698923,113,120,0,19,27,1695120,1,6
0,0,129819,57,62,0,19,17,126013,1,5
0,0,16013824,188,195,0,6,13,16010084,1,7
0,0,10462169,173,180,0,6,13,10459962,1,7
0,0,278985,131,138,0,32,38,276142,0,8
0,0,4527437,87,94,0,5,31,4523676,0,6
0,0,39991,8,2,0,33,1,37926,1,0
0,0,78806,22,14,0,29,4,75012,1,3
0,0,209762,106,113,0,19,25,205917,0,6
0,0,2452752,4,86,0,13,20,2449024,0,5
0,0,3071,191,198,0,7,10,1,1,7
0,0,6072691,155,162,0,6,13,6068918,1,7
0,0,1313993,31,28,0,34,22,1312530,0,5
0,0,2385281,141,148,0,7,13,2382667,0,7
0,0,3663817,3,42,0,11,23,3660173,0,5
0,0,5949017,153,160,0,7,13,5946681,1,7
0,0,1171908,5,49,0,1,15,1168174,1,5
0,0,324588,63,68,0,19,17,320857,0,5
0,0,89469,56,61,0,19,17,85705,0,5
0,0,95167,128,135,0,32,32,91325,0,8
0,0,3058427,80,87,0,19,30,3054798,0,6
0,0,2318413,75,81,0,19,19,2314616,0,5
0,0,72448,17,18,0,27,6,68270,1,4
0,0,15575977,182,189,0,6,13,15572300,0,7
0,0,7376461,159,166,0,7,13,7374150,0,7
0,0,1643702,69,74,0,19,18,1639890,1,5
0,0,1066754,209,216,0,22,41,1065571,1,9
0,0,7007346,156,163,0,6,13,7005166,1,7
0,0,2216609,122,129,0,19,28,2212887,0,6
0,0,45538,54,59,0,19,17,41732,0,5
0,0,62173,22,9,0,29,3,61124,1,2
0,0,3879497,82,89,0,6,30,3875733,0,6
0,0,3998549,212,219,0,9,43,3996303,0,9
0,0,47179,24,21,0,19,0,43448,0,5
0,0,651422,195,202,0,19,44,647718,1,9
0,0,970358,91,98,0,15,24,968556,1,6
0,0,15188591,181,188,0,7,13,15186471,1,7
0,0,95588,125,132,0,32,33,91746,0,8
0,0,933349,89,96,0,19,24,929525,0,6
0,0,329342,64,69,0,19,17,325611,0,5
0,0,333473,27,24,0,0,22,329763,1,5
0,0,2401,134,141,0,6,8,65,1,7
0,0,9582610,168,175,0,6,13,9579467,1,7
0,0,3049087,143,150,0,7,13,3047831,0,7
0,0,1021293,48,48,0,19,15,1017589,1,5
0,0,50499,13,8,0,32,3,46531,1,2
0,0,660379,132,139,0,32,36,656534,1,8
0,0,75831,55,60,0,19,17,72196,1,5
0,0,7124284,158,165,0,7,13,7121353,0,7
0,0,64291,14,12,0,32,4,60047,1,3
0,0,128558,110,117,0,22,26,125670,0,6
0,0,166154,60,65,0,19,17,162348,0,5
0,0,3579565,145,152,0,7,13,3578197,1,7
0,0,820521,139,146,0,6,13,819496,1,7
0,0,4285337,150,157,0,6,13,4284348,1,7
0,0,36414,10,5,0,28,2,33385,1,1
0,0,577054,83,90,0,19,30,573326,1,6
0,0,388457,28,25,0,19,22,386850,1,5
0,0,2071573,121,128,0,23,28,2069770,0,6
0,0,1705473,114,121,0,19,27,1701874,1,6
0,0,53020,22,4,0,29,1,48803,1,0
1,0,431084,194,201,1,25,44,427217,1,9
0,0,1849714,34,31,0,19,22,1845908,1,5
0,0,2296751,211,218,0,9,42,2295359,0,9
0,0,1309324,30,27,0,19,22,1307483,0,5
0,0,2151123,1,76,0,11,18,2147506,1,5
0,0,9578594,167,174,0,7,13,9577091,1,7
0,0,972317,190,197,0,6,9,970326,1,7
0,1,1637142,68,73,0,19,18,1633333,1,5
0,0,132277,111,118,0,19,26,129494,0,6
0,0,15710916,185,192,0,6,13,15707113,0,7
0,0,4312155,135,142,0,6,8,4308352,0,7
0,0,1402028,52,57,0,19,16,1398297,0,5
0,0,1049774,208,215,0,22,41,1047327,1,9
0,0,15790203,186,193,0,6,13,15786472,0,7
0,0,35572,46,45,0,19,23,31850,1,5
0,0,1630586,67,72,0,19,18,1626783,1,5
0,0,10008881,171,178,0,7,13,10006623,0,7
0,0,7732801,202,209,0,19,44,7728989,0,9
0,0,2191903,71,77,0,19,19,2188100,0,5
0,0,63847,15,16,0,32,6,59612,1,4
0,0,2186645,210,217,0,6,42,2182830,0,9
0,0,2804198,198,205,0,22,44,2802744,1,9
0,0,726058,138,145,0,6,13,722345,1,7
0,0,1657273,70,75,0,19,18,1653761,1,5
0,0,431513,86,93,0,15,31,427800,0,6
0,0,7801604,163,170,0,6,13,7797783,1,7
0,0,9357129,203,210,0,19,44,9353467,0,9
0,0,52090,20,13,0,27,4,47957,1,3
0,0,1124935,95,102,0,15,24,1121207,1,6
0,0,2332044,77,83,0,19,19,2328241,0,5
0,0,2065035,119,126,0,19,28,2061388,0,6
0,0,53721,25,22,0,19,0,49990,0,5
0,0,652903,126,133,0,32,35,648881,1,8
0,0,985033,93,100,0,24,24,981335,1,6
0,0,2307206,73,79,0,19,19,2303436,0,5
0,0,1908029,140,147,0,7,13,1905427,0,7
0,0,28839,44,43,0,14,23,25132,1,5
0,0,11959711,176,183,0,7,13,11956169,0,7
0,0,319829,62,67,0,19,17,316098,0,5
0,0,4004773,199,206,0,20,44,4003152,0,9
0,0,91293,23,15,0,29,4,86278,1,3
0,0,3620418,146,153,0,6,13,3616747,1,7
0,0,10005750,170,177,0,6,13,10002838,0,7
0,0,9382536,204,211,0,10,44,9381414,1,9
0,0,1145528,100,107,0,26,24,1144470,1,6
1,0,5331246,41,38,1,17,22,5328981,0,5
0,0,447807,45,44,0,20,23,446937,0,5
0,0,2191719,115,122,0,15,27,2188102,1,6
0,0,2327068,76,82,0,19,19,2323274,0,5
1,0,159443,59,64,1,18,17,155850,0,5
0,0,977090,47,47,0,11,15,973266,0,5
0,0,1181603,5,51,0,1,15,1177872,1,5
0,0,3942314,42,40,0,19,21,3938604,0,5
1,0,1176752,49,50,1,2,15,1173039,1,5
0,0,1957169,117,124,0,19,28,1953366,0,6
0,0,1200116,5,54,0,1,15,1196301,1,5
1,0,2449393,142,149,1,8,13,2446677,1,7
0,0,1966167,36,33,0,19,22,1963411,1,5
0,0,62145,12,7,0,29,2,61864,1,1
0,0,2069666,120,127,0,22,28,2066351,0,6
0,0,2308247,197,204,0,7,44,2307577,0,9
0,0,765769,133,140,0,32,34,764270,0,8
0,0,37767,7,1,0,32,1,34525,1,0
0,0,603897,29,26,0,19,22,600274,1,5
0,0,2336954,78,84,0,19,19,2333202,0,5
1,0,1134638,97,104,1,21,24,1130899,1,6
0,0,2313444,74,80,0,19,19,2309641,0,5
0,0,5098514,200,207,0,22,44,5096660,1,9
0,0,4283484,149,156,0,6,13,4279741,1,7
0,0,7542966,201,208,0,24,44,7539256,0,9
0,0,7783560,162,169,0,7,13,7780308,0,7
0,0,1186466,5,52,0,1,15,1182723,1,5
0,0,12019079,178,185,0,6,13,12015300,1,7
0,0,7772134,160,167,0,6,13,7771136,0,7
0,0,15685855,184,191,0,7,13,15683891,0,7
0,0,3501676,144,151,0,6,13,3498395,0,7
0,0,3175883,2,39,0,11,21,3172254,0,5
0,0,15650717,183,190,0,6,13,15648225,1,7
0,0,2302259,72,78,0,19,19,2298363,0,5
0,0,4041319,213,220,0,31,43,4037516,0,9
0,0,10051797,205,212,0,24,44,10048057,1,9
0,0,284585,53,58,0,19,16,280740,0,5
0,0,2364879,193,200,0,6,12,2363188,0,7
0,0,8313586,164,171,0,6,13,8309909,0,7
0,0,576555,127,134,0,32,40,575134,0,8
0,0,629638,189,196,0,6,7,626021,1,7
0,0,2224448,116,123,0,23,27,2222719,0,6
0,0,3332,137,144,0,6,8,2571,1,7
1,0,967249,90,97,1,16,24,963552,1,6
1,0,72858,21,11,1,29,4,68880,1,3
0,0,14275183,180,187,0,6,13,14273723,0,7
0,0,123502,108,115,0,19,26,119669,0,6
0,0,65003,21,10,0,30,3,62277,1,2
0,0,145983,51,56,0,3,16,142360,1,5
0,0,7777943,161,168,0,6,13,7774500,0,7
0,0,1910918,35,32,0,19,22,1908330,1,5
0,0,1129781,96,103,0,19,24,1126050,1,6
0,0,59232,11,6,0,30,2,57178,1,1
0,0,979875,92,99,0,19,24,976177,1,6
