GeneType,GenomicStartPosition,EncodedProteinName,ChromosomeId,StrandOrientation,GeneDbId,GenomicEndPosition
1,1101,2,59,1,111,2102
0,1060936,24,16,0,196,1062126
0,704769,19,14,0,90,705599
0,76523,20,8,1,7,77581
0,837087,0,14,0,210,837722
0,712,29,49,1,75,1677
0,272211,17,15,0,214,272963
1,10170,2,75,0,198,11639
0,2187290,25,19,1,183,2187940
0,1470884,5,18,0,180,1471918
0,2091,11,62,1,133,2879
0,11231,0,35,0,220,12102
1,550737,2,14,1,86,551759
0,8728,22,24,1,4,9906
0,862533,9,14,0,140,863354
1,1327,2,33,0,168,2640
1,2048413,2,19,1,186,2049687
0,383100,15,4,0,37,384191
0,323095,26,11,1,158,323886
0,570836,11,7,0,48,571633
1,662260,2,20,0,17,663114
0,825718,19,19,1,13,826530
0,29922,22,48,0,61,31139
0,1228786,20,18,0,176,1229889
0,1217665,0,20,0,106,1218003
1,289571,2,14,0,79,290434
0,1021526,19,14,1,213,1022329
1,25858,2,29,1,45,27009
0,987176,0,20,1,113,987733
0,31118,11,37,0,222,31870
1,293887,2,12,1,99,295086
0,940901,11,14,1,6,941707
1,1762,2,36,0,221,2901
0,1588012,32,18,0,122,1588977
0,643769,26,6,0,118,644758
0,16873,29,80,1,235,17814
0,750031,25,19,1,154,750678
1,1116,2,25,1,8,1790
1,5971,2,0,1,181,7239
1,39978,2,68,0,151,41030
0,18244,11,72,0,165,19059
1,1151783,2,14,1,194,1152958
0,1693627,25,20,0,68,1694274
1,1283,2,58,1,108,2521
0,246700,11,15,0,144,247509
0,683826,31,20,0,57,684782
0,1069991,11,14,0,195,1070767
1,136807,2,12,0,157,137805
0,460051,30,14,1,201,461022
0,1576114,12,19,0,188,1577124
0,10047,23,46,1,50,11189
0,4142,11,26,0,9,5008
0,38151,22,48,0,62,39296
0,374896,20,4,1,35,375903
0,10958,22,81,0,236,12268
0,2027874,22,20,1,21,2029082
0,11804,23,68,0,152,13009
0,549704,11,7,0,49,550504
0,10985,11,37,1,224,11743
1,555144,2,1,0,169,556235
0,1147669,11,15,0,228,1148502
1,380962,2,10,0,15,381597
0,35402,23,29,1,46,36628
0,2155145,25,19,0,184,2155792
0,8375,11,30,1,74,9178
1,28721,2,72,0,163,29968
0,1647294,12,18,0,123,1648331
0,491209,22,14,0,202,492438
1,23046,34,28,0,33,23852
0,1521903,26,18,1,179,1522877
0,176870,21,17,1,110,178084
0,14528,11,78,0,219,15379
0,77144,11,3,0,41,77977
0,616495,11,14,0,207,617253
0,2478,6,65,1,148,3650
0,536177,22,14,1,87,537352
1,34406,2,13,1,44,35179
0,222,0,46,1,51,614
0,1911738,26,19,1,126,1912694
1,285889,2,12,1,98,287088
0,1164663,11,15,0,229,1165493
0,35989,23,72,1,164,37248
0,36670,11,28,0,31,37518
0,1782673,11,19,1,128,1783506
0,431740,15,5,0,247,432927
0,12327,0,60,1,112,13082
0,319014,23,15,0,146,320234
1,826311,2,14,1,209,827468
0,28568,1,40,0,25,28969
0,3023,0,22,1,1,3769
0,3,0,26,0,10,335
0,226831,1,12,1,20,227094
0,12945,22,48,0,63,14090
0,841,0,79,1,225,1026
0,1015,19,57,0,102,1863
0,1988282,11,20,1,190,1989097
1,445157,2,4,0,19,445921
0,246347,11,14,0,12,247162
0,1017216,7,14,1,212,1018268
0,22318,0,63,0,134,23025
0,854,11,34,1,215,1675
1,25832,34,72,0,162,26635
0,2096334,11,20,1,189,2097143
0,2141583,26,19,0,185,2142542
0,391007,0,12,0,85,392050
1,55386,2,28,1,32,55904
0,1678525,26,20,0,71,1679298
0,9845,33,52,0,94,10624
0,254511,19,15,0,142,255296
0,304740,8,14,0,83,305564
0,485586,15,1,0,58,486743
0,276769,11,14,0,81,277578
0,821287,19,14,0,208,822069
1,175745,2,21,0,104,177073
0,265029,26,11,1,200,265814
0,18002,19,55,0,97,18784
0,991897,11,14,1,211,992655
0,295851,22,14,0,78,297062
1,12324,2,56,1,100,13592
0,29968,11,42,1,28,30765
0,420934,15,4,0,18,422034
0,906301,22,14,0,139,907521
0,11468,0,64,0,136,12388
0,2202237,25,19,1,182,2202884
0,64810,29,80,1,233,65754
0,1486264,15,18,1,178,1487286
0,16040,23,77,1,217,17173
0,13148,10,43,0,30,13948
0,312547,11,14,0,82,313431
0,284939,11,14,0,80,285745
0,969914,31,20,1,117,970864
0,1631120,25,20,0,70,1631767
1,5043,2,82,0,241,6002
0,1564014,17,20,1,72,1564778
0,642765,11,20,1,16,643595
0,406749,11,14,1,137,407549
0,251211,0,14,0,22,251858
1,4340,2,39,1,24,4723
0,22572,22,47,1,59,23810
0,230431,28,5,0,246,231201
0,2088630,25,19,1,124,2089274
0,12669,17,67,0,150,13418
0,1687044,4,20,0,69,1687805
1,24370,2,75,0,199,25842
1,9753,2,50,0,76,9998
0,1151997,22,19,0,240,1153229
0,1220947,15,18,0,175,1221966
0,1603254,18,19,0,187,1604402
0,1075195,1,14,1,3,1075329
1,883339,2,14,1,138,884301
1,13361,2,27,1,14,13960
0,1105297,22,15,0,227,1106541
1,2,2,83,1,0,655
1,222386,34,5,0,245,223492
1,1591840,34,20,1,73,1592913
0,657867,11,14,0,89,658646
0,265438,11,15,0,143,266241
1,11348,2,61,0,130,11872
0,1206605,22,14,0,193,1207750
