GeneType,GenomicStartPosition,EncodedProteinName,ChromosomeId,StrandOrientation,GeneDbId,GenomicEndPosition
0,36670,11,27,0,31,37518
0,1588012,31,17,0,124,1588977
0,1146423,7,17,1,177,1147481
0,14528,11,78,0,219,15379
0,77144,11,3,0,41,77977
0,616495,11,14,0,207,617253
0,2478,6,65,1,150,3650
0,536177,22,14,1,90,537352
1,34406,2,13,1,44,35179
0,222,0,46,1,51,614
1,1920505,2,18,1,128,1921338
1,285889,2,12,1,101,287088
0,1172566,18,15,0,231,1173402
0,35989,23,72,1,167,37248
1,55386,2,27,1,32,55904
1,1886823,2,18,0,130,1887968
0,431740,14,5,0,247,432927
0,12327,0,60,1,114,13082
0,385279,22,15,0,175,386514
1,826311,2,14,1,209,827468
0,28568,1,40,0,25,28969
0,1,0,22,0,2,738
0,4142,11,25,0,9,5008
0,226831,1,12,1,19,227094
0,12945,22,48,0,64,14090
0,841,0,79,1,225,1026
0,1015,18,57,0,105,1863
0,2027874,22,19,1,20,2029082
1,445157,2,4,0,18,445921
0,246347,11,14,0,12,247162
0,1021526,18,14,1,213,1022329
0,22318,0,63,0,137,23025
0,854,11,34,1,215,1675
1,25832,34,72,0,165,26635
0,2150759,9,19,1,67,2151652
0,2155145,24,18,0,187,2155792
0,391007,0,12,0,88,392050
0,18321,23,28,1,47,19523
0,1687044,4,19,0,71,1687805
0,9845,32,52,0,97,10624
0,265438,11,15,0,144,266241
0,304740,8,14,0,86,305564
0,485586,14,1,0,59,486743
0,276769,11,14,0,84,277578
0,821287,18,14,0,208,822069
0,259,25,21,0,1,1047
0,265029,25,11,1,200,265814
0,18002,18,55,0,100,18784
0,996476,11,14,1,212,997273
0,295851,22,14,0,81,297062
1,12324,2,56,1,103,13592
0,29968,11,42,1,28,30765
0,420934,14,4,0,17,422034
0,940901,11,14,1,7,941707
0,11468,0,64,0,139,12388
1,269074,2,19,1,149,269718
0,64810,28,80,1,234,65754
0,1521903,25,17,1,182,1522877
0,16040,23,77,1,217,17173
0,13148,10,43,0,30,13948
0,312547,11,14,0,85,313431
0,284939,11,14,0,83,285745
0,974237,30,19,1,118,975187
0,1678525,25,19,0,73,1679298
1,5043,2,82,0,241,6002
1,1591840,34,19,1,75,1592913
1,662260,2,19,0,16,663114
0,406749,11,14,1,140,407549
0,251211,0,14,0,21,251858
1,4340,2,39,1,24,4723
0,22572,22,47,1,60,23810
0,230431,27,5,0,246,231201
0,2141583,25,18,0,188,2142542
0,12669,16,67,0,152,13418
0,1693627,24,19,0,70,1694274
1,24370,2,75,0,199,25842
1,9753,2,50,0,78,9998
0,1576114,12,18,0,190,1577124
0,1228786,20,17,0,179,1229889
0,1777443,13,18,0,132,1778534
1,1151783,2,14,1,195,1152958
0,906301,22,14,0,142,907521
1,23046,34,27,0,33,23852
0,1147669,11,15,0,229,1148502
1,2,2,83,1,0,655
1,222386,34,5,0,245,223492
0,1631120,24,19,0,72,1631767
0,657867,11,14,0,92,658646
0,272211,16,15,0,214,272963
1,11348,2,61,0,133,11872
0,246700,11,15,0,145,247509
