Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
0,0,201879,299,200095,0
0,0,8589,29,6541,1
0,0,1385359,152,1383590,0
1,0,688837,87,685982,0
0,0,54516,93,53479,1
1,0,1443,19,1,1
1,0,201254,158,198909,0
1,0,670094,37,667467,0
1,0,628364,99,625434,0
0,0,10587,181,8119,1
0,0,61849,46,60071,1
1,0,4799,270,2103,0
0,0,3597,234,1834,0
1,0,5025,157,2677,1
0,0,20670,139,18052,1
1,0,829858,118,827087,0
1,0,2071578,163,2068987,0
1,0,411543,243,408877,0
1,0,848494,161,847454,0
1,0,8756,144,5919,1
0,0,169188,306,166855,1
1,0,16396,294,13598,0
1,0,492103,128,489575,0
1,0,14953,302,12005,1
0,0,427483,287,425420,0
1,0,570499,251,567725,0
0,0,36437,101,35517,1
1,0,68621,190,67503,1
1,0,245943,61,244298,0
1,0,556405,239,554000,1
0,0,8383,219,7271,0
1,0,873816,170,871123,0
0,0,20605,215,20087,0
1,0,2350211,166,2347587,0
1,0,14712,221,11650,0
1,0,14455,89,11690,0
0,0,1137976,136,1133828,0
1,0,96498,207,94816,1
1,0,83774,186,82602,1
1,0,3538,292,857,1
1,0,483389,320,481422,0
0,0,85945,309,83153,1
1,0,6970,58,4526,0
0,0,22871,4,21810,1
0,0,2258,47,3,1
0,0,728090,36,725151,0
0,0,1739,12,3,1
0,0,258722,218,256827,0
1,0,8963,176,6399,1
1,0,145152,315,142906,1
1,0,572075,300,569139,0
0,0,2028848,178,2027736,0
1,0,33122,281,30594,1
1,0,690828,274,688522,0
0,0,45706,260,43370,1
1,0,588116,3,586977,0
0,0,4613,116,1626,1
0,0,12865,289,9965,1
1,0,4342,81,1385,1
1,0,9360,255,6577,0
0,0,367390,216,364778,0
0,0,25602,134,22921,1
0,0,563158,321,560651,0
0,0,467624,169,464685,0
0,0,2010044,11,2009265,0
0,0,1225,52,1,1
1,0,9553,111,7784,0
1,0,33240,54,30436,1
1,0,197559,192,195199,1
1,0,2762,131,822,0
0,0,447897,285,446350,0
1,0,36839,205,34572,1
1,0,1721524,41,1718519,1
0,0,21702,59,18811,0
1,0,517997,130,514713,0
1,0,1984663,164,1981777,0
1,0,5794,135,3014,0
1,0,16034,125,13233,0
1,0,1133115,269,1130755,1
0,0,1973,1,3,1
1,0,1174681,75,1172813,0
0,0,3158,6,342,1
1,0,648458,159,645735,0
1,0,28068,64,25282,1
0,0,1171911,146,1168945,0
0,0,2772,318,301,1
1,0,265804,200,263906,0
0,0,496864,168,494066,0
1,0,1626838,107,1624217,0
1,0,29971,143,27197,1
0,0,9695,154,7212,1
1,0,474181,191,471830,0
1,0,4543,137,1706,1
0,0,1430611,97,1429409,0
1,0,2149200,265,2146741,0
1,0,3014,94,228,1
0,0,750304,208,747923,0
1,0,46833,74,44356,0
1,0,754760,204,752910,0
1,0,6217,319,3602,1
1,0,396132,244,393928,0
1,0,128705,206,127131,1
1,0,496021,26,493463,0
1,0,56619,316,53854,1
1,0,1094,23,159,1
0,0,117865,211,115973,1
0,0,6529,156,4547,1
1,0,174847,193,172793,1
1,0,12451,175,9695,1
0,0,6840,284,3826,0
1,0,1175229,145,1172704,0
1,0,388046,38,385203,0
1,0,1182,91,1,1
1,0,22938,85,21226,1
1,0,1130391,196,1127446,0
1,0,11829,32,8980,1
1,0,4777,18,2027,1
0,0,7112,282,4374,1
1,0,1008775,188,1006142,0
1,0,7245,290,4687,1
1,0,10610,172,8169,1
1,0,2272,40,2,0
1,0,1767155,267,1764399,1
1,0,905310,39,902803,0
0,0,729858,199,727477,0
1,0,214887,305,212992,0
0,0,34372,2,33320,1
0,0,38223,30,36197,1
1,0,27589,108,25172,0
1,0,2120212,105,2117660,0
1,0,3783,84,1453,1
1,0,596370,276,593812,0
1,0,19819,121,16985,1
0,0,392186,224,389424,0
0,0,36463,115,33455,1
1,0,439193,286,435576,0
0,0,598524,92,596251,0
0,0,17724,293,14986,1
1,0,107280,48,104554,0
1,0,21022,62,18272,1
0,0,478312,10,477440,0
1,0,2982,70,445,1
1,0,342240,151,339421,1
1,0,2020967,177,2018517,0
1,0,68416,261,66416,1
0,0,1204,126,2,0
0,0,553364,250,550602,0
1,0,2360044,13,2358530,0
0,0,851849,119,849015,0
0,0,3713,283,2106,0
1,0,12394,303,9605,0
0,0,748745,35,745776,0
0,0,4567,55,1604,0
1,0,20212,246,17501,1
1,0,3790,209,806,0
1,0,58311,298,56848,1
0,0,645301,275,642806,0
1,0,7188,124,4384,0
1,0,458839,16,457553,0
0,0,811998,312,810235,0
1,0,26744,325,24147,1
0,0,968,8,3,0
1,0,905988,95,903148,0
1,0,9121,288,6152,1
1,0,582104,238,579438,0
1,0,79885,229,77750,1
1,0,15577,69,12521,1
0,0,169312,66,166550,0
1,0,1113039,295,1110685,1
0,0,531490,33,528650,0
1,0,15172,112,12569,0
1,0,710712,198,708220,0
1,0,351197,217,348939,0
1,0,56555,324,54387,1
1,0,6673,232,3815,0
0,0,31215,301,30121,1
1,0,4394,68,1644,1
1,0,2028531,266,2025571,0
1,0,11733,73,9154,0
0,0,4119,43,967,1
1,0,27235,147,24623,1
1,0,783456,79,780772,0
0,0,29687,110,27789,1
1,0,242630,117,239769,1
1,0,3660,171,874,1
1,0,106204,279,104012,1
0,0,1981,297,2,0
1,0,9934,86,6965,1
1,0,577397,7,576201,0
1,0,1820,9,189,0
1,0,485801,34,483723,0
1,3,11541,326,8509,1
1,0,619021,150,617285,0
0,0,13820,28,12766,1
1,0,2194888,106,2192474,1
0,0,47207,80,45534,1
1,0,639965,257,637563,0
