SportType,StageLabel,HostCountry,ProCyclingStatsRaceId,StartLocation,StageType,StageWinner,RaceEvent,NextStage,StageDate,PreviousStage,StageNumber,StageClassificationLeader,GeneralClassificationLeader,StageDescription
1,7,8,181401.0,47,20,49,3,4,9,14,7.0,49,24,21
1,29,3,210013.0,138,20,64,7,20,31,31,12.0,64,7,14
1,111,3,268346.0,117,19,43,24,100,106,111,14.0,42,6,14
1,144,7,281357.0,92,19,68,34,133,123,142,4.0,68,30,14
1,123,7,268452.0,44,21,32,29,112,111,124,11.0,31,22,24
1,80,3,256323.0,105,21,38,17,71,64,82,4.0,37,11,14
1,91,7,256624.0,14,21,22,22,82,85,93,13.0,21,19,24
1,145,7,279354.0,11,16,63,33,155,148,123,,52,27,12
1,39,7,209931.0,150,18,42,10,30,23,160,1.0,41,12,22
1,28,3,210012.0,2,21,9,7,19,30,30,11.0,8,7,14
1,146,7,279323.0,11,22,0,35,143,129,160,1.0,0,10,24
1,36,8,209997.0,104,20,17,8,27,25,38,7.0,16,4,21
1,97,7,256631.0,133,17,36,22,88,91,99,19.0,35,20,24
1,5,8,181399.0,53,20,14,3,2,7,12,5.0,13,24,21
1,132,7,268449.0,60,20,27,29,120,109,133,8.0,26,22,24
1,100,7,256615.0,134,21,25,22,90,78,102,5.0,24,8,24
1,108,3,268342.0,81,17,36,24,97,103,116,10.0,35,30,14
1,2,7,173681.0,22,15,47,1,9,148,2,,52,16,2
1,40,7,209932.0,150,17,31,10,31,24,40,2.0,30,12,22
1,42,6,218528.0,7,20,68,13,32,20,41,2.0,68,30,14
1,122,7,268473.0,141,16,55,27,134,148,90,,52,22,11
1,102,7,256617.0,50,20,44,22,92,80,104,7.0,43,20,24
1,65,7,247329.0,71,20,53,16,58,51,66,8.0,55,23,24
1,61,7,247323.0,70,19,11,16,54,47,62,3.0,10,20,24
1,133,7,268450.0,144,20,34,29,111,110,134,9.0,33,22,24
1,37,5,210084.0,12,10,19,12,127,148,16,,52,5,8
1,92,7,256625.0,39,20,59,22,83,86,94,14.0,60,19,24
1,74,3,256336.0,84,20,68,17,66,72,76,17.0,68,30,14
1,12,7,,16,17,26,4,8,4,18,3.0,25,7,23
1,131,7,268447.0,18,20,27,29,119,108,132,6.0,26,22,24
1,101,7,256616.0,107,17,36,22,91,79,103,6.0,35,20,24
1,35,8,210000.0,63,9,17,12,73,148,10,,52,4,7
1,16,7,181853.0,109,20,69,6,11,15,22,15.0,69,28,25
1,164,7,290110.0,124,20,68,38,152,145,158,3.0,68,30,14
1,135,4,279090.0,52,19,53,30,124,124,135,4.0,55,9,14
1,21,7,181842.0,146,19,6,6,15,11,27,4.0,6,14,25
1,6,8,181400.0,48,20,67,3,3,8,13,6.0,67,24,21
1,141,7,281361.0,102,14,68,32,154,148,122,,52,30,15
1,163,7,290115.0,123,12,68,37,158,148,140,,52,30,15
1,124,7,268453.0,120,20,56,29,113,112,125,12.0,58,22,24
1,166,7,,96,21,41,2,158,1,0,2.0,40,16,14
1,41,7,209925.0,24,12,46,12,74,148,20,,52,15,13
1,89,7,256622.0,10,17,53,22,80,83,91,11.0,55,19,24
1,129,7,268461.0,78,20,56,29,118,117,130,20.0,58,22,24
1,134,4,281082.0,26,2,53,32,149,144,107,,52,20,15
1,128,7,268460.0,132,19,35,29,117,116,129,19.0,34,22,24
1,103,7,256618.0,125,21,20,22,93,81,105,8.0,19,20,24
1,15,7,181852.0,34,20,64,6,10,14,21,14.0,64,28,25
1,75,3,256337.0,99,20,68,17,67,73,77,18.0,68,30,20
1,96,7,256630.0,119,20,46,22,87,90,98,18.0,46,20,24
1,130,7,268462.0,65,21,30,29,158,118,131,21.0,29,22,24
1,157,0,279326.0,9,17,32,35,146,131,152,4.0,31,22,24
0,1,2,,59,1,62,0,0,148,1,,52,26,14
1,154,7,279342.0,77,19,75,35,144,142,149,20.0,75,27,24
1,106,1,268436.0,69,4,55,27,123,99,71,,52,22,0
1,47,3,247295.0,61,20,61,14,41,41,49,16.0,32,20,18
1,107,4,268287.0,129,20,74,23,94,97,108,5.0,74,30,14
1,77,3,256339.0,67,18,76,17,69,75,79,20.0,76,30,20
1,31,3,210015.0,135,20,31,7,22,33,33,14.0,69,7,14
1,112,3,268350.0,115,20,68,24,101,107,112,17.0,68,6,14
1,27,3,210011.0,114,21,76,7,18,29,37,10.0,76,7,14
1,95,7,256629.0,140,20,53,22,86,89,97,17.0,55,20,24
1,13,7,,41,20,19,4,158,5,19,6.0,18,20,23
1,120,7,269595.0,6,20,1,28,108,95,120,3.0,1,1,14
1,116,7,268312.0,54,11,12,27,128,148,86,,52,3,15
1,38,5,210082.0,88,20,19,9,28,37,39,4.0,18,5,14
1,34,3,210005.0,113,17,52,7,25,28,36,5.0,54,7,14
1,159,7,279330.0,40,20,53,35,148,133,154,8.0,55,27,24
1,43,6,218529.0,62,18,66,13,33,21,42,3.0,66,30,14
1,55,7,247334.0,60,20,23,16,47,54,57,12.0,22,23,24
1,105,4,268475.0,15,3,68,27,122,120,70,,52,30,15
1,30,3,210014.0,99,18,31,7,21,32,32,13.0,30,7,14
1,125,7,268454.0,110,21,35,29,114,113,126,13.0,34,22,24
1,0,7,,22,17,47,2,156,0,160,1.0,47,16,17
1,84,7,255369.0,6,21,2,21,75,59,87,2.0,2,17,14
1,82,3,256328.0,36,20,5,17,60,66,84,9.0,5,30,14
1,109,3,268343.0,1,20,29,24,98,104,109,11.0,28,6,14
1,155,7,279343.0,149,21,32,35,158,143,151,21.0,31,27,24
1,117,7,268309.0,147,20,10,25,104,98,118,5.0,9,22,14
1,143,7,281356.0,4,21,72,34,132,122,141,3.0,72,30,14
1,52,7,247345.0,57,16,53,15,78,148,44,,52,20,9
1,25,4,221346.0,75,5,45,11,37,35,8,,52,13,15
1,167,7,210034.0,121,0,55,12,59,34,6,,52,22,15
1,22,7,181844.0,56,21,48,6,16,12,28,6.0,48,25,25
1,99,7,256614.0,43,21,20,22,89,77,101,4.0,19,21,24
1,66,7,247330.0,28,21,51,16,45,52,67,9.0,53,23,24
1,53,7,247321.0,57,19,53,16,52,45,160,1.0,55,20,24
1,152,7,279339.0,108,20,53,35,141,140,147,17.0,55,27,24
1,138,7,279121.0,145,11,29,33,151,148,117,,52,6,15
1,64,7,247328.0,145,19,45,16,57,50,65,7.0,44,23,24
1,23,7,181845.0,103,21,73,6,17,13,29,7.0,73,25,25
1,18,7,181855.0,51,19,45,6,13,17,24,17.0,44,28,25
1,73,3,256334.0,37,20,63,17,65,71,75,15.0,63,30,20
1,148,7,279334.0,151,21,30,35,137,136,143,12.0,29,27,24
1,115,8,268340.0,0,20,8,24,96,102,115,9.0,7,30,14
1,20,7,181859.0,5,21,18,6,158,19,26,21.0,17,28,25
1,104,4,270594.0,26,2,19,26,121,119,69,,52,5,15
1,49,3,247299.0,73,23,61,14,43,43,51,20.0,68,30,18
1,151,7,279338.0,68,19,29,35,140,139,146,16.0,28,27,24
1,110,3,268344.0,21,20,70,24,99,105,110,12.0,70,6,14
1,158,7,279327.0,79,17,32,35,147,132,153,5.0,31,22,24
1,142,7,281354.0,102,20,68,34,131,121,160,1.0,68,30,14
1,76,3,256338.0,83,21,39,17,68,74,78,19.0,38,30,20
1,69,3,256329.0,1,21,38,17,61,67,85,10.0,37,30,14
1,86,7,255371.0,32,18,66,21,77,61,89,4.0,66,29,14
1,68,3,256343.0,20,7,68,20,95,148,46,,52,30,1
1,156,7,279325.0,131,20,55,35,145,130,150,3.0,57,22,24
1,165,7,290112.0,8,17,3,38,153,146,159,5.0,3,30,14
1,136,4,279091.0,80,20,53,30,125,125,136,5.0,55,20,14
1,72,3,256333.0,25,17,4,17,64,70,74,14.0,4,30,14
1,44,6,218530.0,3,21,15,13,34,22,43,4.0,14,30,14
1,63,7,247327.0,17,20,24,16,56,49,64,6.0,23,23,24
1,11,7,,148,19,31,4,7,3,17,2.0,30,7,23
1,71,3,256332.0,90,21,38,17,63,69,73,13.0,37,30,14
1,121,7,269596.0,93,21,40,28,109,96,121,4.0,39,1,14
1,161,8,290160.0,100,8,10,37,158,148,161,,52,2,16
1,113,3,268338.0,136,20,68,24,102,100,113,7.0,68,30,14
1,32,1,210003.0,19,17,31,7,23,26,34,3.0,30,7,18
1,118,7,269593.0,66,20,55,28,106,93,160,1.0,57,22,14
1,140,7,279117.0,127,19,29,31,130,128,139,4.0,28,6,14
1,26,3,210024.0,35,7,31,12,38,148,9,,52,4,6
1,81,3,256327.0,95,20,16,17,72,65,83,8.0,15,30,14
1,126,7,268457.0,122,21,35,29,115,114,127,16.0,34,22,24
1,114,3,268339.0,38,17,76,24,103,101,114,8.0,76,30,14
1,127,7,268459.0,139,20,55,29,116,115,128,18.0,57,22,24
1,83,7,255373.0,45,13,66,19,105,148,54,,52,29,15
1,59,7,247340.0,130,20,13,16,51,58,61,17.0,12,20,24
1,88,7,256621.0,111,17,44,22,79,82,106,10.0,43,19,24
1,62,7,247326.0,55,19,72,16,55,48,63,5.0,72,20,24
1,48,3,247297.0,87,20,56,14,42,42,50,18.0,45,20,18
1,93,7,256626.0,89,20,54,22,84,87,95,15.0,56,19,24
1,162,8,290157.0,112,20,56,36,150,147,157,4.0,58,2,14
1,10,7,,148,19,31,4,6,2,160,1.0,30,7,23
1,153,7,279340.0,101,20,55,35,142,141,148,18.0,57,27,24
1,50,3,247300.0,76,21,68,14,158,44,52,21.0,62,30,18
1,85,7,255370.0,137,19,19,21,76,60,88,3.0,18,5,14
1,19,7,181856.0,42,21,28,6,14,18,25,18.0,27,28,25
1,54,7,247332.0,29,21,53,16,46,53,68,10.0,55,20,24
1,160,7,279331.0,27,20,33,35,135,134,155,9.0,32,27,24
1,87,7,256634.0,22,16,53,20,110,148,55,,52,20,15
