Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,Nationality,Birthplace,RepresentingCountry,UciRiderId,Languages,WeightKg,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId
1,39,62257.0,26197.0,39,,181203.0,4,21,3,136296.0,2,65.0,16,36,105159.0,38937.0,14,177.0,24
1,7,61538.0,24057.0,14,,177672.0,6,33,5,91640.0,4,82.0,12,14,79184.0,27099.0,17,193.0,24
1,25,14372.0,56.0,22,,140610.0,6,16,5,14262.0,4,63.0,31,21,5274.0,27.0,16,174.0,10
1,36,54579.0,19897.0,34,,139754.0,8,24,7,72971.0,5,,36,32,68144.0,10802.0,14,187.0,24
1,35,39842.0,12843.0,23,1311517.0,140292.0,3,29,1,67388.0,9,58.0,27,22,57418.0,2276.0,2,166.0,20
2,23,2747.0,3448.0,20,1352523.0,140768.0,13,10,8,32923.0,1,70.0,6,20,16824.0,14.0,16,175.0,15
1,29,52043.0,20093.0,7,7998.0,140961.0,6,6,8,81988.0,4,71.0,17,7,67419.0,14717.0,14,186.0,1
1,27,26009.0,12193.0,25,1940308.0,140797.0,11,39,8,54603.0,7,78.0,30,23,30229.0,784.0,0,184.0,14
1,22,58428.0,21992.0,19,23650.0,168776.0,7,30,2,86895.0,5,,24,19,77835.0,16793.0,14,179.0,8
1,11,11009.0,5139.0,3,188233.0,140904.0,8,13,7,55131.0,5,65.0,22,4,27924.0,581.0,0,183.0,11
1,9,89232.0,,16,,209985.0,6,28,8,301151.0,4,,21,16,154036.0,80489.0,13,194.0,24
1,5,54687.0,21365.0,37,5092.0,139751.0,8,27,7,88544.0,5,75.0,29,35,73117.0,22133.0,8,194.0,5
1,38,58050.0,20184.0,38,,135591.0,2,36,0,89133.0,0,72.5,5,36,71225.0,19274.0,16,173.0,2
0,17,47965.0,17988.0,36,,138125.0,2,37,8,70962.0,0,74.0,19,34,64279.0,8377.0,14,1.85,24
1,2,56070.0,20777.0,13,203494.0,179769.0,3,19,8,86568.0,9,71.0,23,13,79781.0,18575.0,7,180.0,24
1,40,54395.0,20730.0,40,252749.0,168961.0,2,14,0,75859.0,0,70.0,35,37,74709.0,18258.0,11,187.0,3
1,4,89309.0,29699.0,32,,211947.0,3,4,1,353375.0,9,,4,30,144923.0,81835.0,10,174.0,24
1,20,54758.0,19995.0,30,1861.0,133760.0,4,2,8,81993.0,2,74.0,2,28,77076.0,14902.0,14,179.0,24
1,21,45487.0,15789.0,18,7186.0,133565.0,12,18,10,55607.0,8,72.0,20,18,62028.0,9234.0,14,183.0,22
1,13,50824.0,18498.0,4,5628.0,138830.0,13,35,11,63841.0,1,72.0,18,5,58906.0,16154.0,8,187.0,12
1,13,50824.0,18498.0,4,5628.0,138830.0,13,35,11,63841.0,1,72.0,18,5,58906.0,16154.0,8,187.0,12
1,33,59207.0,,31,,192552.0,1,26,8,91180.0,5,82.0,23,29,74088.0,,18,180.0,24
1,6,69634.0,26526.0,35,5000.0,194619.0,12,17,10,149727.0,8,66.0,26,33,115790.0,45992.0,12,176.0,24
1,0,11476.0,6909.0,28,,140842.0,9,38,6,45055.0,5,77.0,23,26,18730.0,1709.0,15,190.0,18
