EncodedProtein,OrthologId,GenomicEndPosition,GeneId,GeneDbId,ChromosomeId,GenomicStartPosition
2,3,959824,13,13,0,958735
1,8,2827124,83,83,0,2826149
1,8,4357200,154,154,0,4356532
1,2,1618754,204,204,5,1617789
1,1,835336,176,176,2,834360
1,8,3471297,112,112,0,3470331
1,8,4624792,161,161,0,4624492
1,8,2363229,62,62,0,2362303
1,8,3991057,145,145,0,3990489
1,8,713930,3,3,0,712959
1,8,3081081,99,99,0,3080348
1,8,3658680,124,124,0,3657775
1,0,3130797,232,232,10,3129888
1,8,3193314,102,102,0,3192405
1,0,35088,222,222,10,34091
1,0,3096667,225,225,10,3095699
1,8,3337829,107,107,0,3336940
1,8,2382674,67,67,0,2381690
1,8,1218576,30,30,0,1217713
1,0,3100508,226,226,10,3099590
1,2,1606577,202,202,5,1605587
1,8,2961608,94,94,0,2960623
1,8,3654541,123,123,0,3653626
1,8,3851936,126,126,0,3851292
1,3,1722743,211,211,6,1721734
1,8,4396545,156,156,0,4395898
1,11,38718,180,180,3,37728
1,8,2348993,58,58,0,2348378
1,8,4674500,162,162,0,4674023
1,8,2568455,74,74,0,2567453
1,2,1569787,200,200,5,1568882
1,8,870727,11,11,0,869853
1,8,1251779,34,34,0,1250937
1,8,1214186,29,29,0,1213213
1,8,3635309,122,122,0,3634361
1,8,4423505,157,157,0,4422687
1,3,1730683,213,213,6,1729945
1,8,3949671,138,138,0,3948636
1,8,1856079,47,47,0,1855124
1,8,2823781,82,82,0,2822807
1,1,813663,172,172,2,812738
1,11,54050,183,183,3,53050
1,8,1478839,40,40,0,1477894
1,8,2728505,78,78,0,2727547
1,2,1630504,206,206,5,1629542
1,8,3511547,117,117,0,3510660
1,8,1198292,26,26,0,1197318
2,14,886301,179,179,2,885423
1,8,3630502,121,121,0,3629473
2,6,37246,191,191,4,36216
1,8,706356,1,1,0,705402
1,0,3166097,234,234,10,3165117
1,8,2840902,87,87,0,2839937
1,13,1527077,218,218,8,1526144
2,3,3289870,106,106,0,3288906
1,9,3289,221,221,9,2476
1,8,2834062,85,85,0,2833074
1,8,1289899,35,35,0,1288988
1,8,2292995,55,55,0,2292070
1,8,3871709,128,128,0,3870942
1,2,1535834,197,197,5,1534863
1,2,1623017,205,205,5,1622000
1,2,1599674,201,201,5,1598787
1,8,867371,10,10,0,866391
2,12,1610485,203,203,5,1609781
1,0,3162441,233,233,10,3161514
1,8,1209985,28,28,0,1208980
1,10,33815,190,190,4,32835
1,8,750322,5,5,0,749314
1,8,3253701,104,104,0,3252689
1,8,1238650,32,32,0,1237682
1,5,41331,168,168,1,40400
1,8,3963135,141,141,0,3962225
1,1,817549,173,173,2,817059
1,4,2228516,216,216,7,2227599
1,8,3601569,119,119,0,3600815
1,8,2309588,56,56,0,2308875
1,8,3487893,116,116,0,3486897
1,8,3341774,108,108,0,3340903
2,3,4392476,155,155,0,4391482
1,8,817233,8,8,0,816237
1,8,2368035,63,63,0,2367171
1,0,3126460,231,231,10,3125490
1,8,2321136,57,57,0,2320393
1,8,1535963,42,42,0,1534977
1,2,1531659,196,196,5,1530673
1,8,3928035,134,134,0,3927312
1,8,1474816,39,39,0,1474233
1,8,3262281,105,105,0,3261420
1,0,3089002,223,223,10,3088123
1,8,3906646,132,132,0,3905933
1,8,1135405,23,23,0,1134492
1,0,3116397,228,228,10,3115586
2,3,2127533,51,51,0,2126698
1,8,2553401,72,72,0,2552386
1,11,50281,182,182,3,49319
1,11,125238,186,186,3,124273
1,8,1382865,38,38,0,1381870
1,2,1566639,199,199,5,1565667
2,16,1009605,170,170,1,1008886
1,13,1525569,217,217,8,1524684
1,1,826843,175,175,2,825971
1,8,967539,15,15,0,966566
1,8,1609685,43,43,0,1608659
1,8,2819209,81,81,0,2818421
1,0,3121885,230,230,10,3121014
2,3,1040606,18,18,0,1039800
1,1,838943,177,177,2,837978
1,8,3958817,140,140,0,3957831
1,8,1487516,41,41,0,1486532
1,10,63777,193,193,4,62796
1,8,3712714,125,125,0,3711781
1,8,4769513,166,166,0,4768631
1,10,1515860,194,194,4,1514896
1,3,1718127,210,210,6,1717211
1,8,745630,4,4,0,744707
1,8,2930278,92,92,0,2929420
1,8,2121499,49,49,0,2120598
1,8,3475811,113,113,0,3474883
1,8,710413,2,2,0,709282
1,8,3392268,111,111,0,3391673
1,8,2879567,90,90,0,2878703
1,8,1649617,45,45,0,1648674
1,8,3975591,142,142,0,3974574
1,8,2517420,71,71,0,2516791
1,11,41910,181,181,3,40986
1,8,1247370,33,33,0,1246604
2,3,963298,14,14,0,962347
1,8,813072,7,7,0,812093
1,8,4058883,149,149,0,4058242
1,1,822698,174,174,2,821677
2,3,1164370,24,24,0,1163401
1,8,2975921,95,95,0,2975048
1,8,2795416,79,79,0,2794433
1,8,2560429,73,73,0,2559575
1,8,3344923,109,109,0,3344054
1,8,1860672,48,48,0,1859648
1,4,1564,214,214,7,573
1,8,874894,12,12,0,873910
1,8,2723923,77,77,0,2723008
1,8,3986597,144,144,0,3986148
2,6,4163,189,189,4,3357
1,8,3484725,115,115,0,3483913
2,3,3883348,131,131,0,3882399
1,4,16470,215,215,7,15481
1,8,2124567,50,50,0,2123632
1,8,1799441,46,46,0,1798627
1,8,4266476,151,151,0,4265571
1,8,4739055,165,165,0,4738454
1,8,4685863,163,163,0,4685216
1,8,4049767,147,147,0,4048793
1,8,2270503,54,54,0,2269514
1,8,1612962,44,44,0,1612027
1,2,1643801,208,208,5,1642894
1,0,3092504,224,224,10,3091527
1,8,1084006,22,22,0,1083168
1,8,3954615,139,139,0,3953625
2,3,2510002,70,70,0,2509226
1,5,38255,167,167,1,37374
1,0,3120182,229,229,10,3119289
1,8,3856099,127,127,0,3855436
1,8,3391129,110,110,0,3390208
1,8,3875858,129,129,0,3874863
1,8,2837856,86,86,0,2836889
1,8,2719470,76,76,0,2718746
1,10,1066,188,188,4,97
1,8,3202332,103,103,0,3201416
2,15,1531532,219,219,8,1530570
1,8,1080374,21,21,0,1079384
1,8,4698031,164,164,0,4697363
1,8,2371632,64,64,0,2371039
0,8,2949277,93,93,0,2948707
2,3,1195244,25,25,0,1194248
1,8,2876969,89,89,0,2875871
