profession,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,cyclist_name,birth_place,uci_rider_id,weight_kg,birth_date,olympedia_people_id,last_name,first_name,cycling_archives_cyclist_id,first_cycling_rider_id,height_cm,cycling_discipline
0,7,41075.0,10536,3,8232.0,140489,3,34,60455.0,68.0,22,,27,3,46549,948.0,183.0,2
0,18,20041.0,6807,37,61270.0,140781,37,32,32596.0,67.0,17,125028.0,9,36,21225,114.0,182.0,2
0,27,49621.0,18313,25,3871.0,133720,25,47,70623.0,70.0,37,,32,22,57216,8388.0,182.0,1
0,28,51170.0,11818,36,9793.0,137745,36,12,77534.0,62.0,26,,25,35,66567,6222.0,178.0,2
0,37,3827.0,4557,48,120363.0,140194,48,38,48167.0,69.0,18,,12,45,25237,1783.0,179.0,2
0,44,56666.0,18975,0,32176.0,133024,0,1,70590.0,58.0,39,133999.0,46,0,65132,20147.0,172.0,4
0,26,9290.0,84,23,138273.0,140549,23,2,11232.0,60.0,0,103648.0,22,20,4044,4.0,171.0,2
0,44,56666.0,18975,0,32176.0,133024,0,1,70590.0,58.0,39,133999.0,46,0,65132,20147.0,172.0,4
0,46,17795.0,43,49,55134.0,140553,49,37,13980.0,66.0,2,103619.0,44,45,8149,139.0,177.0,2
0,47,47214.0,16722,50,34792.0,140674,50,39,64531.0,71.0,35,132670.0,45,46,52973,6228.0,183.0,0
1,0,49682.0,17893,41,39580.0,134456,41,1,553301.0,58.0,39,143135.0,46,40,65130,6242.0,172.0,4
0,30,14372.0,56,28,,140610,28,16,14262.0,63.0,3,,35,25,5274,27.0,174.0,2
0,23,69878.0,26378,17,,206876,17,29,162777.0,,51,,37,15,118440,61639.0,168.0,2
0,24,69190.0,25740,19,,196424,19,13,112082.0,,48,,42,16,115868,38195.0,175.0,2
0,52,70304.0,26482,20,,196333,20,3,107840.0,63.0,52,146032.0,1,17,108403,50303.0,178.0,2
1,20,19255.0,3891,14,508772.0,140196,14,4,32532.0,71.0,15,113194.0,40,12,11292,716.0,183.0,4
0,3,16289.0,5,2,470645.0,140924,2,25,14575.0,61.0,4,103634.0,41,2,7005,38.0,177.0,2
0,15,58274.0,21785,9,48668.0,181024,9,9,93732.0,58.0,40,,27,29,85146,25680.0,167.0,2
1,41,3516.0,1303,44,31384.0,140584,44,8,,75.0,7,106895.0,10,42,12756,271.0,190.0,4
0,12,50824.0,18498,7,5628.0,138830,7,48,63841.0,72.0,36,,24,6,58906,16154.0,187.0,1
0,11,22917.0,6177,5,25109.0,140232,5,33,45643.0,65.0,21,134607.0,6,5,20659,1006.0,179.0,2
0,45,56672.0,22018,46,52940.0,168758,46,14,86735.0,,47,143136.0,15,43,74063,16639.0,183.0,4
0,16,65688.0,24926,11,465450.0,198937,11,52,95844.0,60.0,49,,5,9,100412,58275.0,175.0,2
0,9,22663.0,5789,4,1529344.0,140869,4,26,43936.0,69.0,14,126950.0,14,4,22017,713.0,186.0,2
0,9,22663.0,5789,4,1529344.0,140869,4,26,43936.0,69.0,14,126950.0,14,4,22017,713.0,186.0,2
0,40,4863.0,446,39,23661.0,140571,39,46,15732.0,57.0,5,,13,38,8397,65.0,159.0,2
0,46,17795.0,43,49,55134.0,140553,49,37,13980.0,66.0,2,103619.0,44,45,8149,139.0,177.0,2
0,49,47787.0,13540,21,,138301,21,42,513545.0,64.0,23,,27,18,26814,2340.0,173.0,2
0,13,46049.0,19242,8,,139823,8,44,69149.0,80.0,42,,27,7,43239,7730.0,183.0,1
1,20,19255.0,3891,14,508772.0,140196,14,4,32532.0,71.0,15,113194.0,40,12,11292,716.0,183.0,4
0,34,30026.0,7147,34,140921.0,140611,34,17,57601.0,62.0,13,132499.0,30,33,32008,563.0,172.0,2
0,21,14221.0,333,24,45721.0,140862,24,24,24447.0,73.0,11,125333.0,38,21,9905,,186.0,2
0,4,47589.0,20960,43,12247.0,158017,43,50,74994.0,83.0,43,146671.0,21,41,65329,16724.0,193.0,4
0,5,47686.0,17534,18,8603.0,140333,18,23,59773.0,72.0,32,142502.0,16,30,37589,2325.0,183.0,0
0,1,3262.0,387,1,1397142.0,137456,1,20,518429.0,62.0,10,111578.0,8,1,1567,3.0,176.0,2
0,33,56041.0,20719,33,127549.0,174582,33,41,88889.0,65.0,27,135863.0,34,32,72449,18655.0,177.0,3
0,43,8783.0,4443,45,77385.0,140517,45,28,44439.0,64.0,19,135248.0,19,42,19060,730.0,178.0,2
0,48,15225.0,2437,42,,140630,42,40,30369.0,68.0,16,111612.0,47,40,13510,147.0,176.0,2
0,53,12832.0,7751,53,75813.0,140343,53,45,862522.0,65.0,20,135250.0,29,49,25301,929.0,183.0,0
1,25,39287.0,13240,12,66281.0,140835,12,15,55029.0,67.0,24,122451.0,43,10,21075,1310.0,178.0,4
0,16,65688.0,24926,11,465450.0,198937,11,52,95844.0,60.0,49,,5,9,100412,58275.0,175.0,2
0,32,30163.0,10644,32,72926.0,140175,32,10,48801.0,62.0,25,126309.0,18,31,27518,,173.0,4
0,34,30026.0,7147,34,140921.0,140611,34,17,57601.0,62.0,13,132499.0,30,33,32008,563.0,172.0,2
0,50,41885.0,13080,47,142323.0,140628,47,18,64737.0,65.0,29,,28,44,58535,860.0,180.0,2
0,39,52044.0,20798,26,9184.0,132438,26,0,86938.0,70.0,44,143404.0,36,23,71789,16643.0,183.0,2
0,19,12980.0,1999,10,1980.0,140438,10,31,26925.0,53.0,9,,31,8,11870,452.0,165.0,2
0,17,46909.0,16707,13,57772.0,134924,13,36,62712.0,65.0,31,134609.0,2,11,56765,10303.0,183.0,2
