StrandOrientation,GeneDescription,GenomicEndPosition,GeneDbId,GenomicStartPosition
0,0,2893,384,2228
1,0,36160,19,35462
1,0,628319,185,627354
0,0,978860,278,978390
0,0,288480,175,287506
0,0,331967,154,331098
0,0,467996,365,467418
0,0,1344856,200,1344239
0,1,340144,413,339536
0,0,218124,167,217234
0,0,17055,47,16375
1,0,1049,287,204
1,0,789660,152,789061
1,0,855201,23,854569
1,0,281,10,3
0,0,16035,343,15472
1,0,301818,281,301183
1,0,6125,11,5631
0,0,578960,76,578253
0,0,1670681,28,1670067
1,0,538452,146,537880
0,0,278450,246,277617
0,0,473006,256,472107
0,0,16573,166,15977
0,0,1236,124,691
1,0,2152710,105,2152117
0,0,750998,202,750414
1,0,497850,297,497083
1,0,653543,83,652923
0,0,729959,95,729363
1,0,350824,414,350453
1,0,584282,133,583626
0,0,425782,142,425384
0,0,1183104,326,1182499
0,0,160801,403,160181
0,0,10872,103,10210
1,0,412598,283,411981
1,0,514088,296,513441
1,0,667099,4,666332
0,0,244449,291,243556
0,0,223254,292,222562
0,0,260483,177,259935
0,0,1078119,194,1077559
1,0,198335,41,197730
1,0,1243238,188,1242540
0,0,1109266,398,1108595
0,0,6197,387,5628
1,0,38888,78,38181
0,0,374682,40,374062
0,0,1420673,90,1420101
1,0,388432,196,388043
0,0,70633,58,70109
0,0,11230,374,10535
1,0,673589,186,672981
0,0,1677970,117,1677395
0,0,5761,375,5141
0,0,1886263,220,1885670
1,0,311313,422,310645
1,0,274287,173,273715
0,0,433446,207,432955
1,0,36542,385,35961
0,0,541203,102,540331
1,0,375081,121,374536
1,0,1134002,408,1133424
1,0,1481322,92,1480762
0,0,1261581,325,1260970
1,0,1739,6,1236
0,0,405277,141,404699
1,0,1581481,217,1580900
1,0,2442,288,1612
1,1,327963,424,327337
0,0,1411596,21,1410949
0,0,253089,178,252442
0,0,897457,275,896894
1,0,358436,280,358038
1,0,11470,46,11081
1,0,371048,279,370350
0,0,1943209,9,1942577
1,0,7470,271,6853
1,0,76266,282,75574
1,0,21243,14,20602
1,0,605996,241,605367
0,0,332148,411,331510
0,0,844685,368,844098
0,0,1875155,221,1874526
1,0,617680,236,617066
0,0,59685,48,58891
0,0,1591262,332,1590720
0,0,31626,357,31012
0,0,67780,415,67067
0,0,425359,251,424565
0,0,281837,179,281250
0,0,1169771,348,1169145
0,0,1200244,313,1199621
0,0,18926,390,18276
1,0,2115566,25,2114982
1,0,1109679,317,1109041
1,0,1559,50,987
0,0,413954,418,413337
0,0,128464,416,128075
1,0,1139142,316,1138561
0,0,385637,20,384969
1,0,1348,168,512
0,0,567879,381,567310
1,0,190891,65,190256
1,0,3660,197,3085
0,0,1001979,94,1001410
0,0,1671935,118,1671336
1,0,3008,164,2760
0,0,17644,349,17072
0,0,393310,284,392783
0,0,1025055,193,1024453
0,0,1611491,331,1610868
1,0,11006,13,10434
0,0,1840810,109,1840178
1,0,1182146,314,1181541
1,0,377041,363,376496
0,0,389569,252,388676
1,0,1235855,189,1235211
0,0,1806636,338,1806064
0,0,7249,52,6641
0,0,452612,285,451995
0,0,410649,143,410251
0,0,1121,2,531
0,0,690105,149,689434
0,0,7534,344,7151
0,0,14571,377,14272
0,0,237931,289,237338
0,0,622513,26,621803
0,0,253619,171,252897
0,0,244194,181,243160
0,0,1176204,399,1175530
1,0,668902,150,668282
1,0,22995,306,22609
1,0,47042,79,46335
1,0,6670,230,6140
1,0,462219,364,461563
0,0,1079,127,750
1,1,1784731,334,1784156
0,0,1392058,309,1391459
1,0,170789,67,170208
1,0,44727,395,44119
0,0,917604,276,916954
0,0,7294,264,6638
0,0,9111,131,8734
1,0,633393,81,632488
0,0,2852,16,2211
0,0,1610144,114,1609563
1,0,219644,70,218985
1,0,873,5,262
0,0,462632,140,462006
0,0,1707,378,1054
0,0,555039,77,554104
1,0,891600,274,891058
1,0,522983,295,522417
0,0,897652,243,897068
0,0,445439,134,444747
0,0,8892,376,8245
0,0,407298,184,406639
1,0,95645,63,95094
1,0,296809,421,296102
1,0,438791,31,438168
0,0,296422,247,295724
1,0,311595,412,311224
0,0,22912,57,22523
1,0,20624,73,19953
0,0,262228,36,261515
1,0,603114,240,602248
0,0,610905,157,610333
0,0,862102,244,861431
1,0,9993,32,9376
1,0,1448091,88,1447573
1,0,12594,199,11959
0,0,367683,155,367096
0,0,28027,43,27344
0,0,406686,139,406078
0,0,32545,265,31979
0,0,11424,39,10828
0,0,465000,354,464038
1,0,874302,277,873739
1,0,1570983,120,1570405
0,0,456160,322,455483
0,0,28680,129,27985
0,0,478938,101,478315
1,0,494817,204,494134
0,0,21792,346,21193
1,0,649380,239,648745
0,0,499409,366,498789
0,0,21840,233,21079
0,0,551183,229,550740
0,0,53116,397,52718
0,0,302673,248,302005
1,0,633183,237,632827
0,0,1148872,410,1148204
0,0,548259,144,547909
1,0,627298,99,626603
1,0,555039,429,554545
0,0,269583,420,268954
0,0,1587490,214,1586741
1,0,1060193,191,1059636
0,0,266589,176,265723
0,0,21892,340,21179
1,0,400683,55,400036
0,0,11825,44,11139
1,0,564291,148,563632
1,0,1722444,339,1721857
0,0,1871216,108,1870641
1,0,1081012,406,1080440
0,0,217404,22,216745
1,0,2130876,104,2130250
1,0,5418,234,4696
0,0,266951,174,266226
0,0,643220,201,642618
1,0,238595,172,237978
1,0,174019,64,173294
1,0,33533,391,32910
0,0,66227,303,65685
1,0,1038285,192,1037734
0,0,1299223,187,1298663
0,0,549268,74,548651
1,0,1790185,222,1789544
1,0,110877,156,110344
1,0,44362,302,43754
1,0,375323,426,374682
1,1,1894275,110,1893637
0,0,48963,358,48349
0,0,63431,62,62859
0,0,559332,145,558976
1,0,1947,15,1330
1,0,807869,24,807330
0,0,17246,269,16593
1,0,11667,262,10975
1,0,1192370,315,1191744
0,0,777907,151,777242
0,0,474095,355,473496
0,0,548591,228,548190
1,0,1654543,29,1654004
0,0,15815,361,15231
1,0,417430,206,416753
0,0,50225,396,49587
0,0,23909,362,23259
0,0,1935320,218,1934724
1,0,1439745,89,1439215
0,0,1628056,215,1627475
1,0,5356,351,4736
0,0,272757,180,271798
0,0,422988,183,422386
0,0,431207,427,430704
0,0,563485,93,563114
1,0,4939,7,4241
0,0,488252,254,487683
0,0,2159962,327,2159390
0,0,305429,372,304515
1,0,210445,136,209840
1,0,636879,160,636250
1,0,2103139,223,2102468
0,0,211634,419,211245
1,0,34921,270,34262
0,0,1578872,119,1578312
0,0,596495,161,595866
1,0,9539,198,8904
1,0,491431,298,490859
0,0,458814,353,458125
0,0,283286,425,282588
0,0,1863,42,1279
1,0,1306828,211,1306226
1,0,10499,37,10110
0,0,6256,130,5888
0,0,77237,59,76545
0,0,1685667,116,1685527
1,0,566496,299,565864
0,0,1212108,312,1211533
1,0,8071,393,7124
1,0,631273,159,630704
1,0,1357417,311,1356881
0,0,1337715,213,1337152
1,0,893116,242,892445
1,0,102031,0,101630
0,0,460277,286,459570
1,0,542828,293,542232
1,0,2082607,34,2081918
1,0,632235,85,631654
0,0,253563,290,252895
0,0,1069989,195,1069351
1,0,54130,400,53294
1,0,225709,68,225092
1,0,2039757,329,2039173
0,0,55031,268,54300
1,0,42738,392,42403
1,0,698962,96,698387
1,0,930600,245,929947
0,0,510533,431,509916
1,0,1653046,112,1652444
0,0,602022,162,601444
0,0,9693,360,9067
0,0,325661,371,325122
1,0,57983,61,57381
0,0,482096,257,481446
0,0,152203,402,151562
1,0,7816,169,6941
0,0,459742,253,459083
1,0,8984,259,8412
0,0,285006,249,284026
0,0,786,373,88
0,0,521226,210,520573
1,0,1896,258,1198
0,0,423275,205,422700
0,0,297265,226,296609
0,0,421453,417,420860
1,0,10738,165,10142
0,0,410431,182,409799
1,0,717564,272,716974
0,0,497547,255,496699
1,0,2021354,35,2020752
0,0,22510,53,21845
0,0,12963,342,12349
1,0,1279824,190,1279111
0,0,2141017,328,2140400
1,0,203566,69,203195
1,0,641268,238,640657
1,0,1773473,335,1772775
1,0,537100,294,536468
1,0,3185,163,2544
1,0,1094415,319,1093786
0,0,567898,123,567485
0,0,4704,231,4066
0,0,55203,80,54550
0,0,288418,225,287768
0,0,165971,18,165327
1,0,627125,84,626559
0,0,1646736,216,1646206
1,0,11303,49,10641
1,0,661517,1,660867
