StrandOrientation,GeneDescription,GenomicEndPosition,GeneDbId,GenomicStartPosition
1,0,6868,183,4559
0,0,3468,69,1171
0,0,2352753,128,2351474
1,0,85349,65,84366
1,0,303473,215,301437
1,0,49973,25,48072
0,0,6110,98,3849
1,0,9061,54,6806
1,0,6479,133,5838
0,0,369971,59,367785
1,0,19107,103,16912
1,0,316113,226,313945
1,0,5333,20,3093
1,0,4679,112,2307
0,0,2152465,190,2150273
0,0,1347,22,4
1,0,3770,49,732
0,0,23314,236,21104
0,0,763294,174,761027
0,0,411395,36,410220
1,0,51771,234,49540
0,0,469090,33,466913
0,0,909502,73,907241
1,0,68193,145,66007
1,0,315631,214,313523
1,0,10067,27,8418
0,0,609383,77,607077
1,0,351915,199,350539
0,0,400277,26,398004
0,0,702444,211,701878
1,0,369509,60,367296
1,0,3147,42,535
0,0,526037,38,525222
1,0,57522,124,55348
0,0,1375691,118,1373202
0,0,19404,198,17227
1,0,66424,233,64094
1,0,6576,164,4354
0,0,4947,45,2638
0,0,399311,89,397290
0,0,646569,181,644707
1,0,20107,67,17801
0,0,2123600,85,2121408
0,0,2949,221,565
1,0,654471,74,652312
1,0,828777,106,827212
1,0,27070,138,24536
1,0,311650,213,309482
1,0,16283,184,15441
0,0,5683,55,3845
0,0,477984,148,475453
0,0,1178466,114,1176085
0,0,22657,143,20729
1,0,60946,144,58898
1,0,34512,88,32440
0,0,1028709,166,1026565
1,0,224206,200,222371
1,0,92121,137,90979
0,0,731499,32,729406
1,0,7491,125,5182
1,0,1036,14,2
1,0,14203,56,11819
0,0,1475,1,3
0,0,471716,219,470270
1,0,1909430,127,1907460
0,0,669243,186,667156
1,0,18709,34,16532
1,0,18062,131,16122
0,0,668634,154,666520
