Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
0,0,160801,403,160181,0
1,0,10872,104,10210,0
0,0,412598,280,411981,1
0,0,514088,294,513441,1
0,0,667099,4,666332,1
0,0,253563,288,252895,0
0,0,237931,286,237338,0
0,0,266589,177,265723,0
0,0,1078119,193,1077559,0
0,0,198335,43,197730,1
0,0,1243238,187,1242540,1
0,0,1176204,399,1175530,0
0,0,6197,387,5628,0
0,0,38888,79,38181,1
0,0,374682,42,374062,0
0,0,1420673,91,1420101,0
0,0,388432,195,388043,1
0,0,70633,60,70109,0
0,0,11230,374,10535,0
0,0,694973,307,694383,0
0,0,1677970,118,1677395,0
0,0,5761,375,5141,0
0,0,1886263,218,1885670,0
0,0,311313,422,310645,1
0,0,282372,174,281740,1
0,0,456160,321,455483,0
0,0,36542,385,35961,1
0,0,541203,103,540331,0
0,0,375081,122,374536,1
0,0,1142859,409,1142287,1
0,0,1481322,93,1480762,1
0,0,1306828,209,1306226,1
0,0,1739,6,1236,1
0,0,410649,141,410251,0
0,0,1587490,212,1586741,0
0,0,2442,285,1612,1
0,1,327963,424,327337,1
0,0,1411596,22,1410949,0
0,0,260483,178,259935,0
0,0,917604,274,916954,0
0,0,371048,277,370350,1
0,0,11470,48,11081,1
0,0,377176,142,376607,0
0,0,1943209,9,1942577,0
0,0,7470,269,6853,1
0,0,76266,279,75574,1
0,0,21243,15,20602,1
0,0,605996,239,605367,1
0,1,340144,413,339536,0
1,0,862102,242,861431,0
0,0,1875155,219,1874526,0
0,0,617680,234,617066,1
0,0,59685,50,58891,0
0,0,1611491,330,1610868,0
0,0,31626,357,31012,0
0,0,67780,415,67067,0
0,0,430625,13,430509,0
0,0,288480,176,287506,0
0,0,1187163,346,1186465,0
0,0,1200244,312,1199621,0
0,0,18926,390,18276,0
0,0,2115566,26,2114982,1
0,0,1109679,316,1109041,1
0,0,1559,52,987,1
0,0,413954,418,413337,0
0,0,128464,416,128075,0
0,0,1139142,315,1138561,1
0,0,462219,364,461563,1
0,0,1348,168,512,1
0,0,1344856,199,1344239,0
0,0,190891,67,190256,1
0,0,3660,196,3085,1
0,0,1001979,95,1001410,0
1,0,1671935,119,1671336,0
0,0,3008,163,2760,1
0,0,17644,348,17072,0
0,0,393310,281,392783,0
0,0,1025055,192,1024453,0
0,0,1654543,31,1654004,1
0,0,11006,14,10434,1
0,0,1840810,110,1840178,0
0,0,1182146,313,1181541,1
0,0,377041,363,376496,1
0,0,398667,249,398035,0
0,0,1235855,188,1235211,1
0,0,1806636,337,1806064,0
0,0,7249,54,6641,0
0,0,452612,282,451995,0
0,0,425782,140,425384,0
0,0,1121,2,531,0
0,0,725245,151,724664,1
0,0,7534,343,7151,0
0,0,14571,377,14272,0
0,0,244449,289,243556,0
0,0,622513,27,621803,0
0,0,261062,175,260553,0
0,0,253089,179,252442,0
0,0,305429,372,304515,0
1,0,690105,148,689434,0
0,0,22995,305,22609,1
0,0,47042,80,46335,1
0,0,6670,228,6140,1
0,0,467996,365,467418,0
0,0,1079,127,750,0
0,1,1784731,333,1784156,1
0,0,1392058,308,1391459,0
0,0,170789,69,170208,1
1,0,44727,395,44119,1
1,0,978860,276,978390,0
0,0,7294,262,6638,0
0,0,9111,131,8734,0
0,0,633393,82,632488,1
0,0,2852,17,2211,0
0,0,1610144,115,1609563,0
0,0,219644,71,218985,1
0,0,873,5,262,1
0,0,462632,139,462006,0
0,0,1707,378,1054,0
0,0,555039,78,554104,0
0,0,897457,273,896894,0
0,0,522983,293,522417,1
0,0,930600,243,929947,1
0,0,459742,250,459083,0
0,0,8892,376,8245,0
0,0,410431,182,409799,0
0,0,95645,65,95094,1
0,0,296809,421,296102,1
0,0,438791,33,438168,1
0,0,302673,245,302005,0
0,0,332148,411,331510,0
0,0,22912,59,22523,0
0,0,20624,74,19953,1
0,0,276224,136,275592,0
0,0,603114,238,602248,1
0,0,610905,156,610333,0
1,0,893116,240,892445,1
0,0,9993,34,9376,1
0,0,1448091,89,1447573,1
0,0,12594,198,11959,1
0,0,389569,248,388676,0
0,0,28027,45,27344,0
0,0,406686,138,406078,0
0,0,32545,263,31979,0
1,0,11424,41,10828,0
0,0,474095,354,473496,0
1,0,891600,272,891058,1
0,0,1570983,121,1570405,1
0,0,487260,202,486679,1
1,0,28680,129,27985,0
0,0,478938,102,478315,0
0,0,1109266,398,1108595,0
0,0,21792,345,21193,0
0,0,649380,237,648745,1
0,0,538452,146,537880,1
0,0,21840,231,21079,0
0,0,567898,124,567485,0
0,0,53116,397,52718,0
0,0,308712,370,308044,0
0,0,633183,235,632827,1
0,0,1591262,331,1590720,0
0,0,559332,144,558976,0
0,0,627298,100,626603,1
0,0,555039,429,554545,1
0,0,269583,420,268954,0
1,0,1591401,213,1590901,0
0,0,1060193,190,1059636,1
0,0,272757,181,271798,0
0,0,21892,339,21179,0
0,0,400683,57,400036,1
0,0,11825,46,11139,0
0,0,610947,367,610288,1
0,0,1183104,325,1182499,0
0,0,1871216,109,1870641,0
0,0,1100102,407,1099440,1
0,0,223254,290,222562,0
0,0,2130876,105,2130250,1
0,0,5418,232,4696,1
0,0,274287,173,273715,1
0,0,643220,200,642618,0
0,0,253619,171,252897,0
0,0,174019,66,173294,1
0,0,33533,391,32910,1
0,0,66227,302,65685,0
0,0,1038285,191,1037734,1
0,0,1299223,186,1298663,0
0,0,549268,75,548651,0
0,0,1790185,220,1789544,1
0,0,110877,155,110344,1
0,0,70385,299,69732,0
0,0,375323,426,374682,1
0,1,1894275,111,1893637,1
0,0,48963,358,48349,0
0,0,63431,64,62859,0
0,0,563485,94,563114,0
1,0,1947,16,1330,1
0,1,849658,24,849029,1
0,0,17246,267,16593,0
0,0,11667,260,10975,1
0,0,1192370,314,1191744,1
0,0,789660,150,789061,1
0,0,484940,355,484143,0
0,0,551183,227,550740,0
0,0,1665163,30,1664528,0
0,0,15815,361,15231,0
0,0,423275,204,422700,0
0,0,50225,396,49587,0
0,0,23909,362,23259,0
0,0,1935320,216,1934724,0
0,0,1439745,90,1439215,1
0,0,1646736,214,1646206,0
0,0,5356,350,4736,1
0,0,281837,180,281250,0
0,0,217404,23,216745,0
0,0,431207,427,430704,0
0,0,565167,382,564760,0
0,0,4939,7,4241,1
0,0,497547,252,496699,0
0,0,2159962,326,2159390,0
0,0,1722444,338,1721857,1
1,0,210445,135,209840,1
0,0,636879,159,636250,1
0,0,2103139,221,2102468,1
0,0,211634,419,211245,0
0,0,34921,268,34262,1
0,0,1578872,120,1578312,0
0,0,596495,160,595866,0
0,0,9539,197,8904,1
0,0,491431,296,490859,1
0,0,465000,353,464038,0
0,0,283286,425,282588,0
0,0,1863,44,1279,0
1,0,1337715,211,1337152,0
0,0,10499,39,10110,1
0,0,6256,130,5888,0
0,0,77237,61,76545,0
0,0,1685667,117,1685527,0
0,0,566496,297,565864,1
0,0,1212108,311,1211533,0
0,0,8071,393,7124,1
0,0,631273,158,630704,1
0,0,1357417,310,1356881,1
0,0,1413348,210,1412725,1
0,0,897652,241,897068,0
0,0,102031,0,101630,1
0,0,460277,283,459570,0
0,0,542828,291,542232,1
0,0,2082607,36,2081918,1
0,0,673589,185,672981,1
0,0,262590,287,261997,0
0,0,1069989,194,1069351,0
0,0,54130,400,53294,1
0,0,238595,172,237978,1
0,0,2039757,328,2039173,1
0,0,55031,266,54300,0
0,0,42738,392,42403,1
0,0,698962,97,698387,1
0,0,1037760,369,1037092,1
0,0,510533,431,509916,0
0,0,1653046,113,1652444,1
0,0,602022,161,601444,0
0,0,9693,360,9067,0
0,0,331967,153,331098,0
0,0,57983,63,57381,1
0,0,488252,251,487683,0
0,0,152203,402,151562,0
0,0,7816,169,6941,1
0,0,473006,253,472107,0
0,0,8984,256,8412,1
0,0,296422,244,295724,0
0,0,786,373,88,0
0,0,521226,208,520573,0
0,0,1896,255,1198,1
0,0,433446,205,432955,0
0,0,297265,224,296609,0
0,0,421453,417,420860,0
0,0,10738,164,10142,1
0,0,422988,183,422386,0
0,0,739582,271,738989,0
0,0,741926,201,741234,0
0,0,2021354,37,2020752,1
1,0,22510,55,21845,0
0,0,12963,341,12349,0
0,0,1279824,189,1279111,1
0,0,2141017,327,2140400,0
0,0,203566,70,203195,1
0,0,641268,236,640657,1
1,0,1773473,334,1772775,1
0,0,537100,292,536468,1
0,0,3185,162,2544,1
0,0,1094415,318,1093786,1
0,0,548259,143,547909,0
0,0,4704,229,4066,0
0,0,55203,81,54550,0
0,0,288418,223,287768,0
0,0,165971,19,165327,0
0,0,627125,85,626559,1
0,0,606832,86,606242,0
0,0,11303,51,10641,1
0,0,661517,1,660867,1
