StrandOrientation,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,OrthologousGene,GenomicStartPosition
0,5847896,76,76,4,1,5846877
1,2920896,35,35,4,3,2919856
1,9964559,123,123,4,1,9963528
0,4463050,58,58,4,1,4462001
0,12243235,160,160,4,3,12242201
1,2610070,23,23,0,1,2609618
1,15158519,198,198,4,1,15157458
1,417139,3,3,9,2,416217
1,10514997,130,130,4,8,10513960
1,11866115,154,154,4,8,11865042
1,15394076,208,208,4,1,15393006
0,6172949,83,83,4,1,6171900
1,5424403,66,66,4,1,5423372
1,4722229,61,61,7,1,4721465
1,7603987,98,98,4,1,7602974
0,3162199,38,38,4,1,3161144
1,5267560,65,65,4,1,5266538
0,484416,4,4,4,3,483379
0,1004471,8,8,4,1,1003449
1,3423184,44,44,4,3,3422180
0,5100506,64,64,4,3,5099562
0,7716955,100,100,3,1,7716260
1,1077793,12,12,4,1,1076726
1,10142961,126,126,4,2,10142038
1,4111482,54,54,4,3,4110442
0,15673392,216,216,4,3,15672376
0,7984382,102,102,4,1,7983354
0,15267586,205,205,4,1,15266558
0,13411218,177,177,4,8,13409911
1,15414841,209,209,4,3,15413789
0,3700998,47,47,4,1,3699940
1,14064855,189,189,3,1,14064382
0,3178687,40,40,4,1,3177749
0,5934829,80,80,3,3,5934188
1,3084352,36,36,4,3,3083339
1,15162378,199,199,4,2,15161341
0,10674708,133,133,4,1,10673665
1,15165420,200,200,4,8,15164305
1,11282491,146,146,1,1,11281705
0,11083412,144,144,0,3,11082702
0,10443593,129,129,4,1,10442556
0,3399964,43,43,4,1,3398924
1,2862055,34,34,4,2,2861071
1,13661537,183,183,4,1,13660515
1,14825310,196,196,4,2,14824249
0,1234497,15,15,4,1,1233469
0,9718183,120,120,4,1,9717146
1,11415026,148,148,4,2,11413865
1,15238298,201,201,1,1,15237602
0,8971478,112,112,4,1,8970528
0,7622452,99,99,8,8,7621428
0,9056363,114,114,4,1,9055323
1,5645777,73,73,4,1,5644764
0,5095622,63,63,4,1,5094597
1,12934241,168,168,4,8,12933154
0,6972343,91,91,4,1,6971264
0,16053176,220,220,4,1,16052157
1,1105831,14,14,4,1,1104776
0,11087969,145,145,4,3,11086974
1,4105134,53,53,4,1,4104049
0,5887238,79,79,4,1,5886189
1,15475077,211,211,0,3,15474151
1,5801210,75,75,4,1,5800161
