StrandOrientation,OrthologId,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,EncodedProteinDescription
1,87,1675,227,227,0,39,854,11
1,7,375903,37,37,0,4,374896,20
0,53,1153229,252,252,0,19,1151997,21
1,7,712890,95,95,0,15,712129,18
0,65,492438,215,215,0,15,491209,21
0,10,297062,82,82,0,15,295851,21
1,21,826530,16,16,0,19,825718,18
0,55,1474427,53,53,0,20,1473666,32
0,65,387281,14,14,0,15,386064,22
0,86,779639,99,99,1,15,778437,2
0,65,822069,220,220,0,15,821287,18
0,97,38006,211,211,0,75,37197,11
0,5,290434,83,83,1,15,289571,2
0,8,497406,36,36,1,4,496306,2
1,48,499594,262,262,0,5,498617,33
0,47,41345,81,81,1,32,40839,39
0,10,285745,84,84,0,15,284939,11
1,33,2521,117,117,1,62,1283,2
1,13,1131697,178,178,1,20,1130438,2
0,96,301271,154,154,0,16,300510,18
1,100,987733,121,121,0,20,987176,0
1,57,599280,217,217,0,15,598465,11
1,25,8024,103,103,0,56,6789,4
0,82,1218003,115,115,0,20,1217665,0
0,25,18090,104,104,0,57,17131,36
0,103,1221966,188,188,0,18,1220947,14
0,6,2640,180,180,1,37,1327,2
0,82,1247221,189,189,1,18,1246121,2
1,80,3769,3,3,0,22,3023,0
0,26,358168,109,109,0,19,357524,24
1,25,614,51,51,0,50,222,0
0,75,400728,186,186,0,16,399566,0
0,79,510558,263,263,0,5,509581,31
1,25,13082,120,120,0,64,12327,0
1,100,1241990,112,112,0,20,1241022,33
0,53,335,13,13,0,27,3,0
1,7,1022329,226,226,0,15,1021526,18
1,76,1227756,113,113,0,20,1227118,26
1,5,1152958,207,207,1,15,1151783,2
1,77,41773,173,173,1,72,40529,2
1,86,5309,231,231,0,79,4047,22
1,25,1860,168,168,0,70,1114,0
1,26,2187940,194,194,0,19,2187290,24
0,55,1679298,75,75,0,20,1678525,25
0,103,1648331,131,131,0,18,1647294,12
0,76,1694274,72,72,0,20,1693627,24
1,92,531335,182,182,0,1,530982,0
0,10,1070767,208,208,0,15,1069991,11
0,55,375897,27,27,0,20,375253,26
1,25,81801,42,42,0,49,80905,11
0,75,247509,150,150,0,16,246700,11
0,25,13948,33,33,0,47,13148,10
0,25,18040,116,116,0,62,16886,22
0,96,320234,153,153,0,16,319014,22
1,10,402910,142,142,0,15,402068,11
0,31,223492,258,258,1,5,222386,40
1,86,563168,92,92,1,15,561921,2
1,44,1677,79,79,0,53,712,35
1,10,946792,9,9,0,15,945539,21
1,56,2165485,196,196,0,19,2164835,24
0,13,663114,20,20,1,20,662260,2
1,43,477748,126,126,1,16,476525,2
0,78,738,4,4,0,23,1,0
0,93,571633,48,48,0,7,570836,11
1,25,37248,172,172,0,72,35989,22
0,7,251858,25,25,0,15,251211,0
1,54,55904,35,35,1,29,55386,2
0,57,589228,218,218,0,15,588062,22
0,100,684782,59,59,0,20,683826,36
0,25,28969,28,28,0,44,28568,1
0,99,914563,160,160,0,19,913814,26
0,51,195113,158,158,0,4,194031,0
0,22,432927,261,261,0,5,431740,14
0,22,217780,257,257,0,5,216641,12
0,4,1887968,134,134,1,19,1886823,2
0,75,1194158,245,245,0,16,1193721,0
1,20,9906,7,7,0,24,8728,21
0,96,457778,184,184,0,16,456996,0
0,62,1422032,56,56,0,20,1421220,15
1,52,265814,213,213,0,12,265029,25
1,14,749937,97,97,0,15,749176,16
0,59,12102,233,233,0,40,11231,0
0,49,2155792,197,197,0,19,2155145,24
0,75,266241,149,149,0,16,265438,11
0,61,526428,62,62,0,6,525421,25
1,5,667923,96,96,1,15,666610,2
0,41,29439,228,228,1,76,28678,2
0,58,1098330,244,244,0,16,1097515,9
0,51,204825,255,255,0,5,203728,12
1,94,17814,248,248,0,82,16873,35
0,75,1193619,243,243,0,16,1192936,1
1,17,9178,78,78,0,31,8375,11
1,66,7239,193,193,1,0,5971,2
0,25,13009,157,157,0,69,11804,22
1,35,13592,108,108,1,60,12324,2
0,70,3587,169,169,1,71,2544,2
0,10,837722,223,223,0,15,837087,0
1,55,983808,122,122,0,20,982858,36
0,0,1863,110,110,0,61,1015,18
1,62,2097143,200,200,0,20,2096334,11
0,40,1932905,69,69,0,20,1932552,1
0,10,878597,147,147,0,15,877761,11
0,69,1897997,133,133,0,19,1897239,11
1,5,827468,221,221,1,15,826311,2
1,36,489292,90,90,1,5,488510,2
0,64,2901,234,234,1,41,1762,2
1,62,35179,45,45,1,14,34406,2
1,103,1487286,190,190,0,18,1486264,14
1,90,652441,52,52,1,8,651695,2
1,2,15525,118,118,0,33,14710,8
0,44,12388,141,141,0,66,11468,0
0,51,184240,250,250,0,4,182630,0
0,95,12268,249,249,0,83,10958,21
0,100,1428734,55,55,0,20,1428093,26
0,25,13418,156,156,0,68,12669,16
0,83,210588,256,256,0,5,209491,20
0,0,10624,100,100,0,55,9845,38
0,106,5008,12,12,0,27,4142,11
0,102,37518,34,34,0,29,36670,11
0,33,556235,181,181,1,1,555144,2
0,45,255296,148,148,0,16,254511,18
0,39,395123,89,89,0,5,394149,31
1,72,1338,209,209,0,38,835,0
1,18,1034038,251,251,0,19,1032938,13
1,68,7162,237,237,0,42,6368,11
0,25,18784,106,106,0,59,18002,18
0,61,1805,167,167,0,35,1182,1
0,75,1148502,242,242,0,16,1147669,11
0,27,79682,175,175,0,14,78918,34
0,82,1974665,201,201,0,20,1973874,16
0,58,1077230,241,241,0,16,1076451,11
1,59,41608,204,204,0,73,40412,21
0,75,386514,185,185,0,16,385279,21
0,86,15379,232,232,0,79,14528,11
0,49,74539,177,177,0,2,73328,27
0,10,305564,87,87,0,15,304740,8
0,25,23025,139,139,0,65,22318,0
0,7,247162,15,15,0,15,246347,11
0,51,260482,0,0,0,4,260114,1
1,56,663709,111,111,0,19,662936,11
0,79,612409,102,102,0,5,611441,30
0,77,29968,171,171,1,72,28721,2
0,25,1832,65,65,0,51,591,21
1,62,1989097,202,202,0,20,1988282,11
1,12,2102,119,119,1,63,1101,2
1,1,27009,46,46,1,30,25858,2
0,55,1687805,73,73,0,20,1687044,5
1,13,1925877,70,70,1,20,1925107,2
0,0,19059,174,174,0,72,18244,11
0,85,31870,235,235,0,42,31118,11
1,13,1026,238,238,0,80,841,0
0,105,26635,170,170,1,72,25832,40
0,0,18582,63,63,0,51,17713,11
1,76,1447013,54,54,0,20,1446237,25
0,46,1011398,162,162,0,19,1010715,1
0,93,550504,49,49,0,7,549704,11
1,82,2029082,24,24,0,20,2027874,21
1,55,975187,124,124,0,20,974237,36
1,0,30765,31,31,0,46,29968,11
0,65,907521,145,145,0,15,906301,21
0,23,137805,164,164,1,13,136807,2
0,24,486743,60,60,0,1,485586,14
0,79,381597,18,18,1,10,380962,2
1,5,517373,26,26,1,15,516597,2
0,76,1631767,74,74,0,20,1631120,24
0,48,408192,88,88,0,5,407215,31
1,25,10011,40,40,0,48,9199,11
0,10,705599,94,94,0,15,704769,18
1,54,323886,165,165,0,12,323095,25
0,71,76658,41,41,1,49,76494,0
1,89,4632,140,140,0,34,3406,21
0,37,252454,187,187,0,4,251303,3
0,10,658646,93,93,0,15,657867,11
0,0,39296,66,66,0,52,38151,21
0,46,1577124,199,199,0,19,1576114,12
1,28,65754,246,246,0,82,64810,35
1,43,493669,127,127,1,16,492404,40
1,11,17173,230,230,0,78,16040,22
0,2,2556,179,179,1,36,1318,2
1,23,182780,44,44,1,13,181743,2
1,30,613080,214,214,1,11,611866,2
1,46,1968229,132,132,0,19,1967444,11
1,76,970864,125,125,0,20,969914,36
0,42,6002,253,253,1,84,5043,2
0,62,731234,58,58,0,20,730422,11
1,56,1783506,135,135,0,19,1782673,11
1,23,295086,107,107,1,13,293887,2
0,56,745129,166,166,1,9,744176,2
1,63,19523,47,47,0,30,18321,22
0,85,36547,236,236,0,42,35690,9
0,7,422034,21,21,0,4,420934,14
1,4,937169,161,161,1,19,936387,2
0,81,17599,80,80,1,54,16553,2
1,76,979496,123,123,0,20,978543,36
1,25,3650,155,155,0,67,2478,7
1,0,10217,32,32,0,46,9084,21
0,38,23056,205,205,0,74,22262,18
0,103,1471918,192,192,0,18,1470884,6
1,96,416187,128,128,0,16,415021,22
1,103,1522877,191,191,0,18,1521903,25
0,65,832741,222,222,0,15,831566,21
0,7,617253,219,219,0,15,616495,11
0,32,1944141,6,6,0,20,1943758,1
0,96,250812,151,151,0,16,249592,21
1,19,655,1,1,1,85,2,2
0,37,384191,39,39,0,4,383100,14
1,55,749602,57,57,0,20,748862,16
0,10,313431,86,86,0,15,312547,11
1,65,941707,10,10,0,15,940901,11
1,25,23810,64,64,0,51,22572,21
0,10,863354,146,146,0,15,862533,9
