Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position,Ortholog_Gene
0,0,696919,74,74,2,694046,22
0,0,1582479,185,185,1,1579936,97
1,0,221070,140,140,2,218443,86
0,0,463778,81,81,2,460986,35
0,0,11062,5,5,2,8450,36
1,0,1570228,99,99,5,1568267,41
0,0,280853,65,65,2,278046,128
0,0,546370,47,47,2,543824,96
0,0,399549,238,238,2,396772,54
0,0,57145,57,57,3,54284,92
0,0,817323,79,79,2,814468,72
0,0,408107,17,17,1,405750,23
1,0,60414,227,227,2,57859,12
1,0,988200,207,207,2,985546,34
1,0,7898,10,10,2,5274,64
0,0,245264,49,49,2,242583,2
0,0,4732,123,123,2,2051,99
0,0,21506,60,60,2,18858,99
1,0,23129,126,126,3,20358,99
0,0,428401,70,70,2,425663,76
0,0,1014233,134,134,1,1011738,28
0,0,34218,61,61,2,31414,99
1,0,2102129,102,102,2,2099463,102
0,0,15093,156,156,3,12226,129
0,0,1251196,180,180,2,1248512,121
1,0,352788,249,249,2,350182,111
1,0,565683,139,139,2,563344,117
1,0,10603,7,7,3,7772,1
1,0,212927,0,0,5,211077,24
0,0,1200167,193,193,2,1197396,34
0,0,652210,96,96,2,649424,11
1,0,10893,92,92,2,8359,60
1,0,4709,31,31,2,2067,51
0,0,119436,255,255,2,116878,13
1,0,14331,230,230,2,11776,24
1,0,1650945,12,12,2,1648582,126
0,0,7054,122,122,2,4541,51
1,0,456596,16,16,2,453903,37
1,0,3590,211,211,2,942,29
0,0,1816759,189,189,2,1814429,112
1,0,2010450,109,109,2,2008033,113
1,0,529696,175,175,2,526820,66
0,0,272153,66,66,2,269451,72
1,0,423886,67,67,2,421607,117
1,0,408724,138,138,1,406415,31
0,0,1189938,225,225,2,1187140,109
0,0,25731,9,9,3,22858,58
0,0,35248,52,52,2,32438,99
1,0,2099,3,3,5,3,125
0,0,867065,115,115,2,864531,72
1,0,460231,147,147,2,457457,24
1,0,2171498,182,182,2,2169063,102
0,0,783613,78,78,2,780839,34
1,0,35322,191,191,2,32611,63
0,0,506933,19,19,3,504105,72
1,0,41459,219,219,3,38613,108
0,0,584285,174,174,0,581721,21
0,0,404953,160,160,2,402317,88
0,0,16042,111,111,3,13142,51
1,0,574686,146,146,1,571897,93
1,0,596823,95,95,2,594229,119
0,0,71558,153,153,1,69066,77
0,0,1102343,226,226,2,1099539,78
0,0,556640,252,252,2,553878,98
0,0,22835,145,145,2,20457,99
0,0,65602,25,25,2,62846,46
0,0,321121,170,170,2,318503,97
1,0,3099,86,86,2,313,51
1,0,2201057,55,55,2,2198634,112
0,0,1882048,104,104,1,1879670,118
0,0,2065088,101,101,1,2062416,28
1,0,8030,143,143,2,5538,51
1,0,54570,28,28,3,51787,56
1,0,12466,229,229,2,9926,103
0,0,1745786,13,13,2,1743231,74
0,0,1181628,224,224,2,1179322,78
1,0,580806,94,94,5,578836,85
1,0,565358,84,84,2,563163,112
1,0,935144,131,131,2,932427,86
1,0,7331,93,93,3,4482,61
1,0,156435,34,34,3,153649,86
1,0,249052,73,73,2,246272,3
1,0,344245,14,14,2,341906,100
1,0,194602,248,248,3,191840,86
0,0,536061,256,256,2,533287,88
0,0,1851640,106,106,2,1848668,81
1,0,450835,68,68,2,448496,117
0,0,14547,21,21,2,12235,46
0,0,417885,136,136,2,415123,53
1,0,237391,72,72,2,234584,20
0,0,7271,23,23,2,4884,99
0,0,3982,2,2,2,1541,70
1,0,21057,154,154,2,18763,43
0,0,388287,239,239,2,385492,116
0,0,11601,41,41,2,9187,51
0,0,185153,24,24,2,182502,129
0,0,110238,228,228,3,107374,101
0,0,768058,77,77,2,765323,72
1,0,8573,215,215,2,6039,65
1,0,7513,4,4,2,4757,124
1,0,191757,114,114,2,188965,59
1,0,205713,246,246,2,202903,19
1,0,1484951,181,181,3,1482129,45
1,0,880730,133,133,2,877992,40
1,0,12861,240,240,2,10087,109
0,0,763632,129,129,2,761305,74
0,0,1731005,190,190,3,1728183,7
0,0,171302,231,231,4,169443,11
1,0,187696,247,247,2,185057,14
1,0,2180588,54,54,2,2178147,57
1,0,17047,38,38,2,14579,105
0,0,222070,177,177,2,219359,67
0,0,1169591,223,223,3,1166769,108
1,0,2776,50,50,1,113,10
1,0,950785,132,132,2,948302,40
0,0,8596,125,125,2,5819,51
0,0,24923,63,63,2,22032,18
0,0,42017,199,199,1,39222,49
1,0,1150558,192,192,1,1147775,89
1,0,665447,75,75,3,662586,22
0,0,276688,210,210,1,274223,97
1,0,396615,250,250,1,394090,9
0,0,381075,237,237,2,378301,16
0,0,2113696,53,53,1,2111357,28
0,0,255561,18,18,1,253126,39
1,0,22052,241,241,2,19278,7
0,0,198843,127,127,2,196225,79
1,0,775880,130,130,2,773208,81
0,0,421319,159,159,2,418704,127
1,0,167573,37,37,3,164778,27
1,0,11536,33,33,2,9554,51
1,0,597333,1,1,1,595705,9
