Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,Nationality,Birthplace,UciRiderId,Languages,ProfileDescription,WeightKg,BirthDate,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId
1,9,89232.0,,16,,209985.0,16,6,28,301151.0,4,19,,39,21,16,154036.0,80489.0,13,194.0,24
1,5,54687.0,21365.0,37,5092.0,139751.0,37,8,27,88544.0,5,12,75.0,19,29,35,73117.0,22133.0,8,194.0,5
1,38,58050.0,20184.0,38,,135591.0,38,2,36,89133.0,0,3,72.5,14,5,36,71225.0,19274.0,16,173.0,2
0,17,47965.0,17988.0,36,,138125.0,36,2,37,70962.0,0,3,74.0,17,19,34,64279.0,8377.0,14,1.85,24
1,2,56070.0,20777.0,13,203494.0,179769.0,13,3,19,86568.0,9,8,71.0,25,23,13,79781.0,18575.0,7,180.0,24
1,40,54395.0,20730.0,40,252749.0,168961.0,40,2,14,75859.0,0,3,70.0,26,35,37,74709.0,18258.0,11,187.0,3
1,4,89309.0,29699.0,32,,211947.0,32,3,4,353375.0,9,9,,37,4,30,144923.0,81835.0,10,174.0,24
1,20,54758.0,19995.0,30,1861.0,133760.0,30,4,2,81993.0,2,16,74.0,18,2,28,77076.0,14902.0,14,179.0,24
1,21,45487.0,15789.0,18,7186.0,133565.0,18,12,18,55607.0,8,26,72.0,5,20,18,62028.0,9234.0,14,183.0,22
1,13,50824.0,18498.0,4,5628.0,138830.0,4,13,35,63841.0,1,7,72.0,15,18,5,58906.0,16154.0,8,187.0,12
1,13,50824.0,18498.0,4,5628.0,138830.0,4,13,35,63841.0,1,7,72.0,15,18,5,58906.0,16154.0,8,187.0,12
1,33,59207.0,,31,,192552.0,31,1,26,91180.0,5,2,82.0,30,23,29,74088.0,,18,180.0,24
1,6,69634.0,26526.0,35,5000.0,194619.0,35,12,17,149727.0,8,25,66.0,36,26,33,115790.0,45992.0,12,176.0,24
1,0,11476.0,6909.0,28,,140842.0,28,9,38,45055.0,5,22,77.0,4,23,26,18730.0,1709.0,15,190.0,18
