SPORT_TYPE,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,INSTAGRAM_HANDLE,SOCIAL_MEDIA_FOLLOWERS,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_NAME,MEMOIRE_DU_CYCLISME_CYCLIST_ID,NATIONALITY,TWITTER_HANDLE,BIRTH_PLACE,UCI_RIDER_ID,WEIGHT_KG,BIRTH_DATE,LAST_NAME,FIRST_NAME,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,FREEBASE_ID
3,25,,,39,0,,,1,,9,9,20,,,35,22,24,,,,20
3,9,22663.0,5789.0,15,2,1529344.0,140869.0,21,12014.0,5,16,18,43936.0,69.0,13,11,5,22017.0,713.0,186.0,14
3,20,7153.0,544.0,27,0,10861.0,140516.0,34,11845.0,0,6,4,12974.0,81.0,3,14,17,7364.0,547.0,190.0,12
3,37,,,48,0,,,5,,9,9,20,,,35,22,24,,,,40
3,25,,,3,0,,,10,,9,9,20,,,35,22,24,,,,28
0,21,49291.0,16898.0,24,0,,138803.0,30,54901.0,2,9,24,499064.0,,17,17,14,58966.0,8094.0,,37
4,40,23059.0,5262.0,29,0,22846.0,140612.0,36,1434.0,2,2,1,30737.0,67.0,18,4,19,19738.0,161.0,183.0,17
3,34,61775.0,23299.0,26,15,23252.0,164709.0,33,,13,24,29,89223.0,68.0,31,26,16,72207.0,25726.0,186.0,5
3,25,,,6,0,,,12,,9,9,20,,,35,22,24,,,,6
3,0,3262.0,387.0,9,1,1397142.0,137456.0,16,2513.0,13,13,15,518429.0,62.0,8,6,0,1567.0,3.0,176.0,24
3,32,23167.0,7728.0,41,14,78246.0,140240.0,46,34749.0,1,23,12,53912.0,76.0,19,33,30,28216.0,1581.0,189.0,22
3,39,15225.0,2437.0,42,0,,140630.0,47,9635.0,12,9,26,30369.0,68.0,15,34,31,13510.0,147.0,176.0,13
3,2,,,7,0,,,13,,9,9,20,,,35,22,24,,,,40
3,7,55192.0,19941.0,50,17,31137.0,135398.0,52,58156.0,1,27,11,86228.0,75.0,26,19,35,59790.0,10971.0,180.0,2
3,13,52629.0,19903.0,17,0,11686.0,138911.0,23,59978.0,2,17,3,75167.0,76.0,30,27,7,67145.0,12481.0,179.0,4
3,25,,,5,0,,,11,,9,9,20,,,35,22,24,,,,38
2,18,19558.0,3828.0,21,6,65423.0,140870.0,28,5609.0,6,18,9,34012.0,69.0,11,12,11,21215.0,264.0,182.0,15
3,4,,,8,0,,,14,,9,9,20,,,35,22,24,,,,40
2,28,26009.0,12193.0,36,10,1940308.0,140797.0,42,9096.0,11,22,33,54603.0,78.0,22,24,26,30229.0,784.0,184.0,21
0,35,30398.0,9794.0,11,0,37720.0,140493.0,18,31964.0,14,14,19,62315.0,63.0,20,28,2,43241.0,2277.0,175.0,30
0,22,12135.0,101.0,25,0,,140774.0,32,16495.0,4,9,16,15461.0,66.0,1,23,15,3302.0,281.0,174.0,26
3,25,,,34,0,,,3,,9,9,20,,,35,22,24,,,,40
3,33,55907.0,20793.0,44,0,2918.0,168755.0,50,,6,20,25,461093.0,73.0,34,0,33,66627.0,16610.0,178.0,9
3,23,15997.0,67.0,28,0,,140418.0,35,19254.0,4,9,5,12711.0,74.0,0,30,18,7526.0,184.0,181.0,27
3,25,,,34,0,171551.0,,49,,9,25,20,,,35,22,24,,,,40
3,16,420.0,2023.0,20,0,,140422.0,26,327.0,13,9,8,32099.0,63.0,9,15,10,14358.0,18.0,173.0,32
3,3,,,4,0,,,2,,9,9,20,,,35,22,24,,,,34
